cell_id,Tauraco fischeri,Tauraco fischeri fischeri,Tauraco fischeri zanzibaricus
847a66dffffffff,13.0,0.0,0.0
847a759ffffffff,1.0,0.0,0.0
847a75dffffffff,3.0,0.0,0.0
847b487ffffffff,174.0,13.0,0.0
847b4a1ffffffff,6.0,0.0,0.0
847b4a5ffffffff,12.0,0.0,0.0
847b4a7ffffffff,56.0,0.0,0.0
847b4b9ffffffff,20.0,4.0,0.0
847b591ffffffff,5.0,0.0,0.0
847b595ffffffff,8.0,0.0,0.0
847b597ffffffff,155.0,0.0,0.0
847b59bffffffff,3.0,0.0,0.0
847b5bbffffffff,4.0,0.0,0.0
