cell_id,Driophlox fuscicauda,Driophlox fuscicauda [salvini Group],Driophlox fuscicauda [fuscicauda Group]
8445087ffffffff,3.0,0.0,0.0
8445091ffffffff,2.0,2.0,0.0
84450a3ffffffff,2.0,2.0,0.0
8445209ffffffff,1.0,0.0,0.0
8445215ffffffff,3.0,3.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445255ffffffff,4.0,2.0,0.0
8445257ffffffff,14.0,0.0,0.0
8445263ffffffff,1.0,1.0,0.0
8445281ffffffff,2.0,0.0,0.0
84452a9ffffffff,9.0,9.0,0.0
84452e1ffffffff,19.0,3.0,0.0
84452e5ffffffff,8.0,8.0,0.0
8449901ffffffff,7.0,2.0,0.0
8449903ffffffff,6.0,0.0,0.0
8449905ffffffff,7.0,0.0,0.0
8449913ffffffff,3.0,0.0,0.0
8449961ffffffff,3.0,0.0,0.0
8449963ffffffff,1.0,0.0,0.0
8466313ffffffff,4.0,0.0,0.0
8466b49ffffffff,6.0,0.0,5.0
8466b51ffffffff,5.0,0.0,0.0
84679a5ffffffff,19.0,0.0,7.0
846d21dffffffff,4.0,0.0,0.0
846d22bffffffff,2.0,2.0,0.0
846d23dffffffff,3.0,0.0,0.0
846d2c7ffffffff,5.0,0.0,0.0
846d2c9ffffffff,1.0,0.0,0.0
846d30dffffffff,10.0,2.0,0.0
846d31bffffffff,2.0,0.0,0.0
846d34dffffffff,8.0,0.0,0.0
846d35dffffffff,3.0,0.0,0.0
846d369ffffffff,4.0,0.0,0.0
846d607ffffffff,2.0,0.0,0.0
846d60dffffffff,7.0,0.0,0.0
846d617ffffffff,81.0,0.0,0.0
846d645ffffffff,1.0,0.0,0.0
846d66dffffffff,23.0,0.0,0.0
846d681ffffffff,2.0,0.0,0.0
846d68dffffffff,2.0,0.0,0.0
846d691ffffffff,1.0,0.0,0.0
846d699ffffffff,2.0,0.0,0.0
846d69bffffffff,4.0,0.0,0.0
846d69dffffffff,15.0,0.0,3.0
