cell_id,Aulacorhynchus sulcatus,Aulacorhynchus sulcatus calorhynchus,Aulacorhynchus sulcatus sulcatus/erythrognathus
845f487ffffffff,41.0,0.0,1.0
845f4a3ffffffff,1.0,0.0,1.0
845f4a7ffffffff,10.0,0.0,0.0
845f4abffffffff,22.0,0.0,0.0
845f4b9ffffffff,7.0,0.0,1.0
845f4bdffffffff,41.0,0.0,1.0
845f59bffffffff,1.0,0.0,1.0
84660ddffffffff,22.0,6.0,0.0
8466207ffffffff,1.0,1.0,0.0
8466211ffffffff,12.0,0.0,0.0
8466213ffffffff,4.0,0.0,0.0
8466217ffffffff,52.0,0.0,0.0
846622bffffffff,1154.0,341.0,0.0
846623dffffffff,10.0,6.0,0.0
8466293ffffffff,4.0,1.0,0.0
8466295ffffffff,10.0,0.0,0.0
8466299ffffffff,2.0,2.0,0.0
846629bffffffff,4.0,2.0,0.0
846629dffffffff,32.0,20.0,0.0
84662b7ffffffff,4.0,1.0,0.0
84662d3ffffffff,2.0,2.0,0.0
84662e1ffffffff,1.0,0.0,0.0
84662e5ffffffff,2.0,0.0,0.0
84662edffffffff,1.0,0.0,0.0
8467413ffffffff,570.0,0.0,12.0
8467417ffffffff,117.0,0.0,4.0
8467425ffffffff,15.0,0.0,0.0
8467427ffffffff,2.0,0.0,0.0
8467433ffffffff,23.0,0.0,0.0
8467437ffffffff,181.0,3.0,5.0
846743bffffffff,26.0,0.0,0.0
84674c5ffffffff,114.0,0.0,0.0
84674c7ffffffff,20.0,0.0,0.0
84674cdffffffff,12.0,0.0,0.0
84674e5ffffffff,2.0,2.0,0.0
84674e9ffffffff,159.0,0.0,2.0
84674ebffffffff,13.0,0.0,0.0
84674edffffffff,324.0,0.0,6.0
8467519ffffffff,50.0,0.0,0.0
8467553ffffffff,3.0,0.0,0.0
846758dffffffff,2.0,0.0,0.0
84675a5ffffffff,9.0,3.0,0.0
84675a9ffffffff,3.0,0.0,0.0
84675c1ffffffff,35.0,0.0,0.0
84675c7ffffffff,6.0,1.0,0.0
84675c9ffffffff,16.0,0.0,0.0
84675cbffffffff,48.0,0.0,0.0
84675ddffffffff,2.0,0.0,0.0
84675e3ffffffff,4.0,0.0,0.0
84675e7ffffffff,1.0,0.0,0.0
84675ebffffffff,36.0,7.0,0.0
