cell_id,Pheugopedius sclateri,Pheugopedius sclateri columbianus,Pheugopedius sclateri paucimaculatus,Pheugopedius sclateri sclateri
8466183ffffffff,2.0,2.0,0.0,0.0
8466d25ffffffff,2.0,0.0,0.0,0.0
8466d35ffffffff,4.0,0.0,0.0,0.0
8466e67ffffffff,1.0,1.0,0.0,0.0
848f2c9ffffffff,3.0,0.0,0.0,0.0
848f2cbffffffff,28.0,0.0,0.0,0.0
848f509ffffffff,3.0,0.0,3.0,0.0
848f50dffffffff,3.0,0.0,3.0,0.0
848f549ffffffff,1.0,0.0,0.0,1.0
848f54bffffffff,1.0,0.0,0.0,1.0
848f54dffffffff,2.0,0.0,0.0,2.0
848f727ffffffff,2.0,0.0,0.0,2.0
