cell_id,Centropus sinensis,Centropus sinensis [sinensis Group],Centropus sinensis parroti
83209afffffffff,67.0,0.0,0.0
833c02fffffffff,321.0,8.0,0.0
833c03fffffffff,1.0,0.0,0.0
833c06fffffffff,25.0,0.0,0.0
833c11fffffffff,51.0,0.0,0.0
833c13fffffffff,46.0,0.0,0.0
833c14fffffffff,2.0,0.0,0.0
833c15fffffffff,256.0,11.0,0.0
833c16fffffffff,12.0,0.0,0.0
833c18fffffffff,29.0,1.0,0.0
833c19fffffffff,307.0,0.0,0.0
833c1afffffffff,17.0,0.0,0.0
833c1bfffffffff,177.0,8.0,0.0
833c1cfffffffff,398.0,0.0,0.0
833c1dfffffffff,36.0,0.0,0.0
833c1efffffffff,62.0,0.0,0.0
833c31fffffffff,5.0,0.0,0.0
833c32fffffffff,14.0,0.0,0.0
833c33fffffffff,197.0,0.0,0.0
833c34fffffffff,2.0,0.0,0.0
833c36fffffffff,89.0,0.0,0.0
833c52fffffffff,11.0,0.0,0.0
833c5afffffffff,273.0,0.0,0.0
833c5efffffffff,3.0,0.0,0.0
833c80fffffffff,128.0,0.0,0.0
833c81fffffffff,6.0,0.0,0.0
833c82fffffffff,4.0,0.0,0.0
833c83fffffffff,88.0,0.0,0.0
833c84fffffffff,42.0,0.0,0.0
833c85fffffffff,4.0,0.0,0.0
833c86fffffffff,3.0,0.0,0.0
833c88fffffffff,137.0,0.0,0.0
833c89fffffffff,297.0,3.0,0.0
833c8afffffffff,8.0,0.0,0.0
833c8cfffffffff,157.0,0.0,0.0
833c8dfffffffff,348.0,9.0,0.0
833c8efffffffff,775.0,0.0,0.0
833c90fffffffff,136.0,0.0,0.0
833c91fffffffff,24.0,0.0,0.0
833c92fffffffff,286.0,0.0,0.0
833c93fffffffff,388.0,0.0,0.0
833c94fffffffff,262.0,0.0,0.0
833c95fffffffff,59.0,0.0,0.0
833c96fffffffff,40.0,0.0,0.0
833c9cfffffffff,43.0,0.0,0.0
833c9dfffffffff,207.0,0.0,0.0
833c9efffffffff,21.0,0.0,0.0
833ca0fffffffff,15.0,0.0,0.0
833ca1fffffffff,2.0,0.0,0.0
833ca2fffffffff,249.0,0.0,0.0
833ca3fffffffff,12.0,0.0,0.0
833ca4fffffffff,91.0,0.0,0.0
833ca5fffffffff,19.0,0.0,0.0
833ca6fffffffff,5.0,0.0,0.0
833ca8fffffffff,172.0,0.0,0.0
833ca9fffffffff,405.0,0.0,0.0
833cabfffffffff,226.0,0.0,0.0
833cacfffffffff,31.0,0.0,0.0
833cadfffffffff,51.0,0.0,0.0
833caefffffffff,13.0,0.0,0.0
833cb0fffffffff,192.0,0.0,0.0
833cb1fffffffff,3554.0,0.0,0.0
833cb2fffffffff,10.0,0.0,0.0
833cb3fffffffff,203.0,0.0,0.0
833cb4fffffffff,722.0,0.0,0.0
833cb5fffffffff,1048.0,0.0,0.0
833cb6fffffffff,334.0,0.0,0.0
833cc0fffffffff,52.0,0.0,0.0
833cc2fffffffff,45.0,0.0,0.0
833cc4fffffffff,286.0,0.0,0.0
833cc5fffffffff,178.0,0.0,0.0
833cc6fffffffff,109.0,0.0,0.0
833cc9fffffffff,2.0,0.0,0.0
833ccafffffffff,5.0,0.0,0.0
833ccdfffffffff,6.0,0.0,0.0
833cd1fffffffff,5.0,0.0,0.0
833cd4fffffffff,39.0,0.0,0.0
833cd5fffffffff,15.0,0.0,0.0
833cd8fffffffff,29.0,0.0,0.0
833cd9fffffffff,57.0,12.0,0.0
833cdbfffffffff,5.0,0.0,0.0
833cdcfffffffff,7.0,0.0,0.0
833cddfffffffff,3.0,0.0,0.0
833ce0fffffffff,29.0,0.0,0.0
833ce1fffffffff,383.0,0.0,0.0
833ce2fffffffff,12.0,0.0,0.0
833ce3fffffffff,8.0,0.0,0.0
833ce4fffffffff,84.0,0.0,0.0
833ce5fffffffff,225.0,0.0,0.0
833ce8fffffffff,22.0,0.0,0.0
833ceafffffffff,31.0,0.0,0.0
833cecfffffffff,711.0,0.0,0.0
833cedfffffffff,41.0,0.0,0.0
833cf0fffffffff,267.0,2.0,0.0
833cf1fffffffff,379.0,0.0,0.0
833cf2fffffffff,3158.0,80.0,0.0
833cf3fffffffff,58.0,4.0,0.0
833cf4fffffffff,256.0,1.0,0.0
833cf5fffffffff,2.0,0.0,0.0
833cf6fffffffff,515.0,4.0,0.0
833d10fffffffff,1784.0,47.0,0.0
833d12fffffffff,29.0,0.0,0.0
833d13fffffffff,2893.0,12.0,0.0
833d14fffffffff,360.0,15.0,0.0
833d15fffffffff,2.0,0.0,0.0
833d16fffffffff,184.0,12.0,0.0
833d30fffffffff,29.0,0.0,0.0
833d32fffffffff,199.0,6.0,0.0
833d33fffffffff,61.0,1.0,0.0
833d34fffffffff,17.0,0.0,0.0
833d36fffffffff,375.0,0.0,0.0
833d80fffffffff,45.0,0.0,0.0
833d81fffffffff,18.0,0.0,0.0
833d83fffffffff,20.0,0.0,0.0
833d84fffffffff,532.0,0.0,0.0
833d85fffffffff,439.0,0.0,0.0
833d86fffffffff,84.0,0.0,0.0
833d88fffffffff,14.0,0.0,0.0
833d89fffffffff,34.0,0.0,0.0
833d8afffffffff,20.0,0.0,0.0
833d8bfffffffff,372.0,0.0,0.0
833d8cfffffffff,198.0,0.0,0.0
833d8dfffffffff,820.0,0.0,0.0
833d90fffffffff,21.0,0.0,0.0
833d91fffffffff,217.0,0.0,0.0
833d92fffffffff,352.0,0.0,0.0
833d93fffffffff,148.0,0.0,0.0
833d94fffffffff,2.0,0.0,0.0
833d95fffffffff,5.0,0.0,0.0
833d96fffffffff,726.0,0.0,0.0
833d98fffffffff,318.0,0.0,0.0
833d99fffffffff,252.0,0.0,0.0
833d9afffffffff,244.0,0.0,0.0
833d9bfffffffff,2171.0,0.0,0.0
833d9cfffffffff,4.0,0.0,0.0
833d9dfffffffff,525.0,0.0,0.0
833d9efffffffff,699.0,0.0,0.0
833da0fffffffff,35.0,0.0,0.0
833da1fffffffff,5356.0,0.0,0.0
833da2fffffffff,379.0,0.0,0.0
833da3fffffffff,1829.0,0.0,0.0
833da4fffffffff,7.0,0.0,0.0
833da5fffffffff,107.0,0.0,0.0
833da6fffffffff,174.0,0.0,0.0
