cell_id,Jynx ruficollis,Jynx ruficollis ruficollis,Jynx ruficollis pulchricollis,Jynx ruficollis aequatorialis
837a45fffffffff,11.0,0.0,0.0,0.0
837a48fffffffff,3.0,0.0,0.0,0.0
837a4cfffffffff,5.0,0.0,0.0,0.0
837a68fffffffff,4.0,0.0,0.0,0.0
837a6bfffffffff,1.0,0.0,0.0,0.0
837a6efffffffff,1.0,0.0,0.0,0.0
837ac8fffffffff,11.0,0.0,0.0,11.0
839609fffffffff,3.0,0.0,0.0,0.0
8396b0fffffffff,1.0,1.0,0.0,0.0
83978efffffffff,2.0,0.0,0.0,0.0
83bcc1fffffffff,2.0,0.0,0.0,0.0
83bcd4fffffffff,1.0,1.0,0.0,0.0
83bcd8fffffffff,1.0,0.0,0.0,0.0
