cell_id,Malurus leucopterus,Malurus leucopterus leuconotus,Malurus leucopterus leucopterus/edouardi
83a626fffffffff,2.0,2.0,0.0
83a71dfffffffff,4.0,4.0,0.0
83b841fffffffff,1.0,1.0,0.0
83b880fffffffff,1.0,1.0,0.0
83b884fffffffff,1.0,1.0,0.0
83b885fffffffff,5.0,5.0,0.0
83b985fffffffff,2.0,0.0,0.0
83b986fffffffff,4.0,0.0,0.0
83b995fffffffff,2.0,0.0,0.0
83b9a1fffffffff,1.0,1.0,0.0
83b9a5fffffffff,4.0,0.0,0.0
83be40fffffffff,7.0,0.0,0.0
83be42fffffffff,3.0,1.0,0.0
83be52fffffffff,3.0,3.0,0.0
83be56fffffffff,3.0,0.0,0.0
83bee4fffffffff,5.0,0.0,0.0
83bee6fffffffff,3.0,0.0,0.0
83bef0fffffffff,4.0,2.0,0.0
