cell_id,Aphelocoma wollweberi,Aphelocoma wollweberi [wollweberi Group],Aphelocoma wollweberi couchii,Aphelocoma wollweberi potosina
834802fffffffff,2.0,0.0,0.0,0.0
83480afffffffff,31.0,0.0,0.0,0.0
834810fffffffff,8.0,0.0,0.0,0.0
834813fffffffff,3.0,0.0,0.0,0.0
834814fffffffff,79.0,0.0,0.0,0.0
834818fffffffff,6.0,0.0,0.0,0.0
834819fffffffff,58.0,0.0,0.0,0.0
83481bfffffffff,21.0,0.0,0.0,0.0
83481cfffffffff,5.0,0.0,0.0,0.0
83481dfffffffff,44.0,0.0,0.0,0.0
83481efffffffff,3.0,0.0,0.0,0.0
834832fffffffff,20.0,0.0,0.0,0.0
834833fffffffff,4.0,0.0,0.0,0.0
834884fffffffff,8.0,0.0,0.0,0.0
83488dfffffffff,4.0,0.0,0.0,0.0
8348a0fffffffff,173.0,0.0,0.0,0.0
8348a2fffffffff,1534.0,0.0,0.0,0.0
8348a3fffffffff,5.0,0.0,0.0,0.0
8348a6fffffffff,183.0,0.0,0.0,0.0
8348aafffffffff,4.0,0.0,0.0,0.0
8348abfffffffff,3618.0,0.0,0.0,0.0
8348b5fffffffff,7.0,0.0,0.0,0.0
8348c0fffffffff,289.0,0.0,0.0,0.0
8348c1fffffffff,308.0,38.0,0.0,0.0
8348c5fffffffff,18931.0,4750.0,0.0,0.0
8348ccfffffffff,72.0,24.0,0.0,0.0
8348cdfffffffff,161.0,91.0,0.0,0.0
8348e0fffffffff,21.0,0.0,0.0,0.0
8348e1fffffffff,51.0,0.0,0.0,0.0
8348e2fffffffff,38.0,0.0,0.0,0.0
8348e3fffffffff,668.0,9.0,0.0,0.0
8348e4fffffffff,150.0,0.0,0.0,0.0
8348e5fffffffff,1.0,0.0,0.0,0.0
8348e6fffffffff,80.0,6.0,0.0,0.0
8348e8fffffffff,24638.0,6537.0,0.0,0.0
8348eafffffffff,226.0,57.0,0.0,0.0
8348ebfffffffff,66.0,30.0,0.0,0.0
8348ecfffffffff,2794.0,1053.0,0.0,0.0
8348eefffffffff,27185.0,6980.0,0.0,0.0
8348f2fffffffff,2.0,0.0,0.0,0.0
8348f5fffffffff,10.0,0.0,0.0,0.0
8348f6fffffffff,2.0,0.0,0.0,0.0
834982fffffffff,14.0,0.0,0.0,0.0
834983fffffffff,169.0,0.0,0.0,0.0
834988fffffffff,168.0,4.0,0.0,0.0
834989fffffffff,24.0,0.0,0.0,0.0
83498cfffffffff,20.0,0.0,0.0,0.0
83498dfffffffff,3.0,0.0,0.0,0.0
83498efffffffff,6.0,0.0,0.0,0.0
834991fffffffff,7.0,0.0,1.0,0.0
834998fffffffff,11.0,0.0,0.0,2.0
83499bfffffffff,35.0,0.0,0.0,0.0
83499cfffffffff,115.0,0.0,0.0,2.0
83499dfffffffff,79.0,0.0,0.0,3.0
