cell_id,Glaucidium capense,Glaucidium capense scheffleri,Glaucidium capense capense/ngamiense,Glaucidium capense etchecopari,Glaucidium capense castaneum
837513fffffffff,1.0,0.0,0.0,0.0,0.0
837529fffffffff,58.0,0.0,0.0,11.0,0.0
837a66fffffffff,2.0,0.0,0.0,0.0,0.0
837b4cfffffffff,1.0,0.0,0.0,0.0,0.0
837b59fffffffff,17.0,0.0,0.0,0.0,0.0
837b5bfffffffff,2.0,0.0,0.0,0.0,0.0
837b6afffffffff,10.0,0.0,0.0,0.0,0.0
838311fffffffff,4.0,0.0,1.0,0.0,0.0
838312fffffffff,9.0,0.0,1.0,0.0,0.0
8383acfffffffff,1.0,0.0,1.0,0.0,0.0
839600fffffffff,7.0,0.0,0.0,0.0,0.0
839601fffffffff,3.0,0.0,0.0,0.0,0.0
839602fffffffff,8.0,0.0,6.0,0.0,0.0
839603fffffffff,5.0,0.0,4.0,0.0,0.0
839605fffffffff,1.0,0.0,0.0,0.0,0.0
839609fffffffff,2.0,0.0,0.0,0.0,0.0
83960bfffffffff,1.0,0.0,0.0,0.0,0.0
83960efffffffff,2.0,0.0,0.0,0.0,0.0
839614fffffffff,1.0,0.0,0.0,0.0,0.0
839615fffffffff,11.0,0.0,0.0,0.0,0.0
839620fffffffff,20.0,0.0,0.0,0.0,0.0
839621fffffffff,3.0,0.0,0.0,0.0,0.0
839623fffffffff,4.0,0.0,0.0,0.0,0.0
839625fffffffff,1.0,0.0,0.0,0.0,0.0
839626fffffffff,10.0,0.0,0.0,0.0,0.0
839628fffffffff,28.0,0.0,0.0,0.0,0.0
83962afffffffff,2.0,0.0,0.0,0.0,0.0
83962bfffffffff,16.0,0.0,1.0,0.0,0.0
83962cfffffffff,7.0,0.0,2.0,0.0,0.0
83962dfffffffff,7.0,0.0,0.0,0.0,0.0
83962efffffffff,2.0,0.0,2.0,0.0,0.0
839633fffffffff,6.0,0.0,0.0,0.0,0.0
839636fffffffff,2.0,0.0,0.0,0.0,0.0
839670fffffffff,4.0,0.0,0.0,0.0,0.0
839675fffffffff,10.0,0.0,0.0,0.0,0.0
839688fffffffff,2.0,0.0,0.0,0.0,0.0
83968dfffffffff,4.0,0.0,0.0,0.0,0.0
839690fffffffff,16.0,0.0,0.0,0.0,0.0
839692fffffffff,2.0,0.0,0.0,0.0,0.0
839693fffffffff,4.0,0.0,0.0,0.0,0.0
8396abfffffffff,2.0,0.0,0.0,0.0,0.0
8396b0fffffffff,8.0,0.0,0.0,0.0,0.0
8396b1fffffffff,6.0,0.0,0.0,0.0,0.0
8396b5fffffffff,1.0,0.0,0.0,0.0,0.0
8396b6fffffffff,2.0,0.0,0.0,0.0,0.0
839701fffffffff,1.0,0.0,0.0,0.0,0.0
839702fffffffff,12.0,0.0,0.0,0.0,0.0
839703fffffffff,2.0,0.0,0.0,0.0,0.0
839705fffffffff,5.0,0.0,0.0,0.0,0.0
83970afffffffff,4.0,0.0,0.0,0.0,0.0
839710fffffffff,18.0,0.0,0.0,0.0,0.0
839711fffffffff,15.0,0.0,0.0,0.0,0.0
839713fffffffff,5.0,0.0,0.0,0.0,0.0
839724fffffffff,3.0,0.0,0.0,0.0,0.0
839728fffffffff,11.0,0.0,4.0,0.0,0.0
839729fffffffff,11.0,0.0,0.0,0.0,0.0
83972cfffffffff,24.0,0.0,5.0,0.0,0.0
83972efffffffff,4.0,0.0,2.0,0.0,0.0
839740fffffffff,7.0,0.0,0.0,0.0,0.0
839741fffffffff,26.0,0.0,0.0,0.0,0.0
839743fffffffff,114.0,0.0,0.0,0.0,0.0
839744fffffffff,4.0,0.0,0.0,0.0,0.0
839748fffffffff,6.0,0.0,0.0,0.0,0.0
83974afffffffff,128.0,0.0,5.0,0.0,0.0
83974bfffffffff,33.0,0.0,7.0,0.0,0.0
83974efffffffff,23.0,0.0,0.0,0.0,0.0
839750fffffffff,3.0,0.0,0.0,0.0,0.0
839751fffffffff,38.0,0.0,0.0,0.0,0.0
839754fffffffff,11.0,0.0,0.0,0.0,0.0
839755fffffffff,5.0,0.0,0.0,0.0,0.0
839758fffffffff,6.0,0.0,0.0,0.0,0.0
83975cfffffffff,55.0,0.0,3.0,0.0,0.0
83975dfffffffff,16.0,0.0,0.0,0.0,0.0
83975efffffffff,7.0,0.0,1.0,0.0,0.0
839772fffffffff,2.0,0.0,0.0,0.0,0.0
83978bfffffffff,6.0,0.0,0.0,0.0,0.0
83978dfffffffff,1.0,0.0,0.0,0.0,0.0
839798fffffffff,1.0,0.0,0.0,0.0,0.0
83979dfffffffff,3.0,0.0,0.0,0.0,0.0
8397a8fffffffff,3.0,0.0,0.0,0.0,0.0
8397aafffffffff,26.0,0.0,0.0,0.0,0.0
83ac8afffffffff,5.0,0.0,0.0,0.0,0.0
83ac96fffffffff,3.0,0.0,0.0,0.0,0.0
83acb1fffffffff,2.0,0.0,0.0,0.0,0.0
83bc99fffffffff,3.0,0.0,0.0,0.0,0.0
83bcd0fffffffff,41.0,0.0,5.0,0.0,0.0
83bcd2fffffffff,127.0,0.0,18.0,0.0,0.0
83bcd3fffffffff,6.0,0.0,2.0,0.0,0.0
83bcd4fffffffff,2.0,0.0,0.0,0.0,0.0
83bcd6fffffffff,19.0,0.0,4.0,0.0,0.0
