cell_id,Chondrohierax uncinatus,Chondrohierax uncinatus uncinatus,Chondrohierax uncinatus mirus
824507fffffffff,43.0,0.0,0.0
82450ffffffffff,253.0,0.0,0.0
824527fffffffff,2264.0,0.0,0.0
82452ffffffffff,1255.0,8.0,0.0
824537fffffffff,96.0,0.0,0.0
824577fffffffff,47.0,0.0,0.0
824817fffffffff,8.0,0.0,0.0
824837fffffffff,213.0,0.0,0.0
8248a7fffffffff,25.0,0.0,0.0
8248b7fffffffff,24.0,1.0,0.0
824987fffffffff,21.0,0.0,0.0
82498ffffffffff,1.0,0.0,0.0
824997fffffffff,1535.0,93.0,0.0
82499ffffffffff,6.0,0.0,0.0
8249a7fffffffff,13.0,0.0,0.0
8249affffffffff,110.0,8.0,0.0
8249b7fffffffff,32.0,0.0,0.0
825e67fffffffff,132.0,0.0,89.0
825f07fffffffff,12.0,0.0,0.0
825f0ffffffffff,1.0,0.0,0.0
825f17fffffffff,4.0,0.0,0.0
825f1ffffffffff,11.0,0.0,0.0
825f2ffffffffff,29.0,0.0,0.0
825f47fffffffff,4.0,0.0,0.0
825f4ffffffffff,9.0,0.0,0.0
825f6ffffffffff,3.0,0.0,0.0
825f77fffffffff,18.0,0.0,0.0
826607fffffffff,32.0,0.0,0.0
82660ffffffffff,65.0,0.0,0.0
826617fffffffff,58.0,0.0,0.0
82661ffffffffff,435.0,1.0,0.0
826627fffffffff,181.0,2.0,0.0
82662ffffffffff,50.0,3.0,0.0
826637fffffffff,94.0,0.0,0.0
826647fffffffff,16.0,0.0,0.0
826657fffffffff,9.0,0.0,0.0
82665ffffffffff,6.0,0.0,0.0
826667fffffffff,9.0,0.0,0.0
82666ffffffffff,4.0,0.0,0.0
826677fffffffff,3.0,0.0,0.0
8266a7fffffffff,353.0,0.0,0.0
8266b7fffffffff,652.0,0.0,0.0
8266c7fffffffff,273.0,0.0,0.0
8266cffffffffff,18.0,0.0,0.0
8266d7fffffffff,3078.0,318.0,0.0
8266dffffffffff,412.0,70.0,0.0
8266e7fffffffff,771.0,11.0,0.0
8266effffffffff,30.0,0.0,0.0
8266f7fffffffff,182.0,3.0,0.0
826747fffffffff,27.0,0.0,0.0
82674ffffffffff,210.0,8.0,0.0
826757fffffffff,3.0,2.0,0.0
82675ffffffffff,32.0,0.0,0.0
826797fffffffff,16.0,0.0,0.0
82679ffffffffff,163.0,0.0,0.0
826d07fffffffff,54.0,5.0,0.0
826d17fffffffff,61.0,0.0,0.0
826d27fffffffff,54.0,4.0,0.0
826d2ffffffffff,199.0,0.0,0.0
826d37fffffffff,136.0,3.0,0.0
826d67fffffffff,173.0,0.0,0.0
826d6ffffffffff,1215.0,0.0,0.0
826d77fffffffff,84.0,0.0,0.0
828007fffffffff,2.0,0.0,0.0
828017fffffffff,17.0,0.0,0.0
828037fffffffff,8.0,0.0,0.0
828047fffffffff,20.0,0.0,0.0
82806ffffffffff,2.0,0.0,0.0
828117fffffffff,7.0,0.0,0.0
828127fffffffff,6.0,0.0,0.0
828137fffffffff,13.0,0.0,0.0
828147fffffffff,18.0,4.0,0.0
82814ffffffffff,10.0,0.0,0.0
82815ffffffffff,4.0,0.0,0.0
828167fffffffff,3.0,0.0,0.0
828187fffffffff,23.0,1.0,0.0
82818ffffffffff,14.0,0.0,0.0
82819ffffffffff,11.0,0.0,0.0
8281a7fffffffff,2.0,2.0,0.0
8281affffffffff,2.0,0.0,0.0
828a07fffffffff,2.0,1.0,0.0
828a2ffffffffff,2.0,0.0,0.0
828a37fffffffff,3.0,0.0,0.0
828a47fffffffff,29.0,0.0,0.0
828a4ffffffffff,3.0,0.0,0.0
828a57fffffffff,2.0,0.0,0.0
828a6ffffffffff,54.0,0.0,0.0
828a77fffffffff,1.0,0.0,0.0
828aaffffffffff,10.0,0.0,0.0
828adffffffffff,9.0,0.0,0.0
828af7fffffffff,56.0,0.0,0.0
828b0ffffffffff,8.0,1.0,0.0
828b27fffffffff,17.0,0.0,0.0
828b2ffffffffff,5.0,0.0,0.0
828b37fffffffff,6.0,0.0,0.0
828b47fffffffff,27.0,0.0,0.0
828b57fffffffff,6.0,0.0,0.0
828b67fffffffff,35.0,0.0,0.0
828b6ffffffffff,60.0,0.0,0.0
828b77fffffffff,18.0,0.0,0.0
828b87fffffffff,2.0,0.0,0.0
828b8ffffffffff,3.0,0.0,0.0
828b9ffffffffff,134.0,0.0,0.0
828ba7fffffffff,8.0,0.0,0.0
828bb7fffffffff,8.0,0.0,0.0
828e67fffffffff,80.0,0.0,0.0
828f0ffffffffff,105.0,2.0,0.0
828f27fffffffff,34.0,0.0,0.0
828f2ffffffffff,858.0,49.0,0.0
828f47fffffffff,233.0,2.0,0.0
828f4ffffffffff,7.0,0.0,0.0
828f57fffffffff,75.0,0.0,0.0
828f5ffffffffff,13.0,0.0,0.0
828f67fffffffff,53.0,0.0,0.0
828f6ffffffffff,17.0,0.0,0.0
828f77fffffffff,72.0,5.0,0.0
82a597fffffffff,18.0,1.0,0.0
82a807fffffffff,13.0,1.0,0.0
82a80ffffffffff,2.0,0.0,0.0
82a817fffffffff,192.0,11.0,0.0
82a81ffffffffff,40.0,0.0,0.0
82a837fffffffff,1.0,0.0,0.0
82a847fffffffff,16.0,0.0,0.0
82a857fffffffff,8.0,0.0,0.0
82a85ffffffffff,53.0,0.0,0.0
82a867fffffffff,6.0,0.0,0.0
82a86ffffffffff,2.0,0.0,0.0
82a877fffffffff,1.0,0.0,0.0
82a887fffffffff,11.0,0.0,0.0
82a897fffffffff,24.0,2.0,0.0
82a8a7fffffffff,53.0,5.0,0.0
82a8affffffffff,14.0,7.0,0.0
82a8b7fffffffff,4.0,0.0,0.0
82a8c7fffffffff,13.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0
82a8d7fffffffff,13.0,4.0,0.0
82a8effffffffff,1.0,0.0,0.0
82a8f7fffffffff,6.0,0.0,0.0
82a947fffffffff,9.0,0.0,0.0
82a957fffffffff,19.0,0.0,0.0
82a95ffffffffff,10.0,0.0,0.0
82b277fffffffff,1.0,0.0,0.0
82b327fffffffff,2.0,0.0,0.0
82b347fffffffff,34.0,0.0,0.0
82b35ffffffffff,16.0,0.0,0.0
82b367fffffffff,7.0,0.0,0.0
