cell_id,Falco tinnunculus,Falco tinnunculus [tinnunculus Group],Falco tinnunculus canariensis/dacotiae,Falco tinnunculus neglectus/alexandri,Falco tinnunculus rufescens
8401261ffffffff,10.0,0.0,0.0,0.0,0.0
8401265ffffffff,9.0,0.0,0.0,0.0,0.0
8401269ffffffff,7.0,0.0,0.0,0.0,0.0
840126dffffffff,8.0,0.0,0.0,0.0,0.0
840130bffffffff,4.0,1.0,0.0,0.0,0.0
8401319ffffffff,2.0,0.0,0.0,0.0,0.0
840134bffffffff,3.0,0.0,0.0,0.0,0.0
8401351ffffffff,16.0,0.0,0.0,0.0,0.0
8401353ffffffff,8.0,0.0,0.0,0.0,0.0
8401359ffffffff,2.0,0.0,0.0,0.0,0.0
840135bffffffff,24.0,2.0,0.0,0.0,0.0
8408065ffffffff,5.0,0.0,0.0,0.0,0.0
840806dffffffff,2.0,0.0,0.0,0.0,0.0
8408105ffffffff,5.0,0.0,0.0,0.0,0.0
8408107ffffffff,7.0,0.0,0.0,0.0,0.0
8408117ffffffff,1.0,0.0,0.0,0.0,0.0
840811dffffffff,9.0,0.0,0.0,0.0,0.0
8408123ffffffff,2.0,0.0,0.0,0.0,0.0
8408125ffffffff,2.0,0.0,0.0,0.0,0.0
8408129ffffffff,24.0,2.0,0.0,0.0,0.0
840812dffffffff,1.0,0.0,0.0,0.0,0.0
8408133ffffffff,1.0,0.0,0.0,0.0,0.0
8408137ffffffff,2.0,0.0,0.0,0.0,0.0
8408141ffffffff,2.0,0.0,0.0,0.0,0.0
8408143ffffffff,2.0,0.0,0.0,0.0,0.0
8408149ffffffff,1.0,0.0,0.0,0.0,0.0
840814dffffffff,18.0,0.0,0.0,0.0,0.0
8408165ffffffff,5.0,0.0,0.0,0.0,0.0
840816bffffffff,1.0,0.0,0.0,0.0,0.0
8408193ffffffff,3.0,0.0,0.0,0.0,0.0
84081e5ffffffff,16.0,0.0,0.0,0.0,0.0
84081e7ffffffff,2.0,0.0,0.0,0.0,0.0
8408331ffffffff,4.0,0.0,0.0,0.0,0.0
8408333ffffffff,4.0,0.0,0.0,0.0,0.0
8408337ffffffff,2.0,0.0,0.0,0.0,0.0
8408361ffffffff,2.0,0.0,0.0,0.0,0.0
8408365ffffffff,2.0,2.0,0.0,0.0,0.0
840836dffffffff,10.0,0.0,0.0,0.0,0.0
8408807ffffffff,2.0,0.0,0.0,0.0,0.0
8408809ffffffff,8.0,0.0,0.0,0.0,0.0
840880bffffffff,10.0,0.0,0.0,0.0,0.0
840880dffffffff,34.0,0.0,0.0,0.0,0.0
8408821ffffffff,2.0,0.0,0.0,0.0,0.0
8408829ffffffff,6.0,0.0,0.0,0.0,0.0
840882bffffffff,2.0,0.0,0.0,0.0,0.0
840882dffffffff,2.0,0.0,0.0,0.0,0.0
8408831ffffffff,2.0,0.0,0.0,0.0,0.0
8408837ffffffff,2.0,0.0,0.0,0.0,0.0
8408839ffffffff,2.0,0.0,0.0,0.0,0.0
8408841ffffffff,6.0,0.0,0.0,0.0,0.0
8408845ffffffff,7.0,0.0,0.0,0.0,0.0
8408855ffffffff,3.0,0.0,0.0,0.0,0.0
8408863ffffffff,28.0,0.0,0.0,0.0,0.0
8408865ffffffff,3.0,0.0,0.0,0.0,0.0
8408867ffffffff,8.0,0.0,0.0,0.0,0.0
8408869ffffffff,7.0,0.0,0.0,0.0,0.0
840886bffffffff,68.0,0.0,0.0,0.0,0.0
8408881ffffffff,2.0,0.0,0.0,0.0,0.0
8408889ffffffff,28.0,0.0,0.0,0.0,0.0
840888bffffffff,13.0,0.0,0.0,0.0,0.0
840888dffffffff,8.0,4.0,0.0,0.0,0.0
8408891ffffffff,1.0,0.0,0.0,0.0,0.0
8408899ffffffff,2.0,0.0,0.0,0.0,0.0
84088a3ffffffff,2.0,0.0,0.0,0.0,0.0
84088a5ffffffff,4.0,2.0,0.0,0.0,0.0
84088a7ffffffff,2.0,0.0,0.0,0.0,0.0
84088a9ffffffff,5.0,0.0,0.0,0.0,0.0
84088adffffffff,3.0,0.0,0.0,0.0,0.0
84088bdffffffff,2.0,0.0,0.0,0.0,0.0
84088d3ffffffff,2.0,2.0,0.0,0.0,0.0
84088e3ffffffff,6.0,4.0,0.0,0.0,0.0
84088e7ffffffff,3.0,3.0,0.0,0.0,0.0
8408901ffffffff,5.0,0.0,0.0,0.0,0.0
8408937ffffffff,24.0,0.0,0.0,0.0,0.0
8408959ffffffff,7.0,0.0,0.0,0.0,0.0
840895bffffffff,8.0,0.0,0.0,0.0,0.0
8408961ffffffff,2.0,0.0,0.0,0.0,0.0
8408965ffffffff,7.0,0.0,0.0,0.0,0.0
8408967ffffffff,2.0,0.0,0.0,0.0,0.0
8408985ffffffff,18.0,1.0,0.0,0.0,0.0
8408987ffffffff,2.0,0.0,0.0,0.0,0.0
840898bffffffff,30.0,0.0,0.0,0.0,0.0
8408991ffffffff,2.0,0.0,0.0,0.0,0.0
8408993ffffffff,1.0,0.0,0.0,0.0,0.0
8408995ffffffff,31.0,2.0,0.0,0.0,0.0
8408997ffffffff,21.0,9.0,0.0,0.0,0.0
8408999ffffffff,9.0,4.0,0.0,0.0,0.0
840899dffffffff,4.0,0.0,0.0,0.0,0.0
84089a1ffffffff,12.0,0.0,0.0,0.0,0.0
84089a5ffffffff,1.0,0.0,0.0,0.0,0.0
84089a9ffffffff,35.0,0.0,0.0,0.0,0.0
84089abffffffff,9.0,0.0,0.0,0.0,0.0
84089b1ffffffff,3.0,0.0,0.0,0.0,0.0
84089b7ffffffff,3.0,0.0,0.0,0.0,0.0
84089bbffffffff,27.0,1.0,0.0,0.0,0.0
84089c3ffffffff,2.0,0.0,0.0,0.0,0.0
84089cbffffffff,2.0,0.0,0.0,0.0,0.0
84089d1ffffffff,2.0,0.0,0.0,0.0,0.0
84089d3ffffffff,13.0,2.0,0.0,0.0,0.0
84089dbffffffff,5.0,2.0,0.0,0.0,0.0
84089e3ffffffff,2.0,0.0,0.0,0.0,0.0
84089e5ffffffff,4.0,0.0,0.0,0.0,0.0
84089e7ffffffff,4.0,0.0,0.0,0.0,0.0
84089ebffffffff,11.0,0.0,0.0,0.0,0.0
84089edffffffff,6.0,0.0,0.0,0.0,0.0
8408a21ffffffff,6.0,0.0,0.0,0.0,0.0
8408a35ffffffff,4.0,0.0,0.0,0.0,0.0
8408a3dffffffff,2.0,0.0,0.0,0.0,0.0
8408a41ffffffff,4.0,0.0,0.0,0.0,0.0
8408a43ffffffff,4.0,0.0,0.0,0.0,0.0
8408a45ffffffff,1.0,0.0,0.0,0.0,0.0
8408a47ffffffff,2.0,0.0,0.0,0.0,0.0
8408a53ffffffff,8.0,0.0,0.0,0.0,0.0
8408a59ffffffff,2.0,0.0,0.0,0.0,0.0
8408a67ffffffff,2.0,0.0,0.0,0.0,0.0
8408a69ffffffff,4.0,0.0,0.0,0.0,0.0
8408a97ffffffff,1.0,0.0,0.0,0.0,0.0
8408ae9ffffffff,2.0,0.0,0.0,0.0,0.0
8408b05ffffffff,4.0,0.0,0.0,0.0,0.0
8408b07ffffffff,2.0,0.0,0.0,0.0,0.0
8408b09ffffffff,2.0,0.0,0.0,0.0,0.0
8408b0dffffffff,7.0,0.0,0.0,0.0,0.0
8408b11ffffffff,8.0,0.0,0.0,0.0,0.0
8408b15ffffffff,8.0,0.0,0.0,0.0,0.0
8408b17ffffffff,10.0,0.0,0.0,0.0,0.0
8408b3dffffffff,2.0,0.0,0.0,0.0,0.0
8408b47ffffffff,4.0,0.0,0.0,0.0,0.0
8408b51ffffffff,2.0,0.0,0.0,0.0,0.0
8408b5bffffffff,6.0,0.0,0.0,0.0,0.0
8408b65ffffffff,5.0,0.0,0.0,0.0,0.0
8408c01ffffffff,6.0,0.0,0.0,0.0,0.0
8408c07ffffffff,1.0,0.0,0.0,0.0,0.0
8408c19ffffffff,2.0,0.0,0.0,0.0,0.0
8408c21ffffffff,2.0,0.0,0.0,0.0,0.0
8408c25ffffffff,2.0,2.0,0.0,0.0,0.0
8408c29ffffffff,7.0,2.0,0.0,0.0,0.0
8408c2bffffffff,4.0,0.0,0.0,0.0,0.0
8408c3dffffffff,1.0,0.0,0.0,0.0,0.0
8408c63ffffffff,1.0,0.0,0.0,0.0,0.0
8408c89ffffffff,2.0,0.0,0.0,0.0,0.0
8408c8bffffffff,8.0,0.0,0.0,0.0,0.0
8408c91ffffffff,2.0,0.0,0.0,0.0,0.0
8408c93ffffffff,5.0,0.0,0.0,0.0,0.0
8408c95ffffffff,3.0,0.0,0.0,0.0,0.0
8408c99ffffffff,3.0,0.0,0.0,0.0,0.0
8408cc3ffffffff,2.0,0.0,0.0,0.0,0.0
8408cd3ffffffff,9.0,0.0,0.0,0.0,0.0
8408cd7ffffffff,10.0,0.0,0.0,0.0,0.0
8408ce1ffffffff,4.0,1.0,0.0,0.0,0.0
8408ce5ffffffff,1.0,0.0,0.0,0.0,0.0
8408cebffffffff,2.0,0.0,0.0,0.0,0.0
8408cedffffffff,1.0,0.0,0.0,0.0,0.0
8408d03ffffffff,4.0,0.0,0.0,0.0,0.0
8408d07ffffffff,9.0,0.0,0.0,0.0,0.0
8408d09ffffffff,3.0,0.0,0.0,0.0,0.0
8408d0bffffffff,2.0,0.0,0.0,0.0,0.0
8408d11ffffffff,3.0,0.0,0.0,0.0,0.0
8408d15ffffffff,1.0,0.0,0.0,0.0,0.0
8408d17ffffffff,2.0,2.0,0.0,0.0,0.0
8408d19ffffffff,41.0,4.0,0.0,0.0,0.0
8408d1dffffffff,6.0,0.0,0.0,0.0,0.0
8408d29ffffffff,2.0,0.0,0.0,0.0,0.0
8408d31ffffffff,1.0,0.0,0.0,0.0,0.0
8408d37ffffffff,5.0,0.0,0.0,0.0,0.0
8408d41ffffffff,2.0,0.0,0.0,0.0,0.0
8408d49ffffffff,6.0,0.0,0.0,0.0,0.0
8408d4dffffffff,2.0,0.0,0.0,0.0,0.0
8408d51ffffffff,4.0,0.0,0.0,0.0,0.0
8408d53ffffffff,3.0,0.0,0.0,0.0,0.0
8408d55ffffffff,7.0,0.0,0.0,0.0,0.0
8408d57ffffffff,21.0,6.0,0.0,0.0,0.0
8408d81ffffffff,20.0,0.0,0.0,0.0,0.0
8408d83ffffffff,3.0,0.0,0.0,0.0,0.0
8408d85ffffffff,3.0,0.0,0.0,0.0,0.0
8408d8bffffffff,5.0,0.0,0.0,0.0,0.0
8408da9ffffffff,1.0,0.0,0.0,0.0,0.0
8408de3ffffffff,3.0,0.0,0.0,0.0,0.0
8408e13ffffffff,3.0,0.0,0.0,0.0,0.0
8408e81ffffffff,1.0,0.0,0.0,0.0,0.0
8408e83ffffffff,1.0,0.0,0.0,0.0,0.0
8408e99ffffffff,3.0,0.0,0.0,0.0,0.0
8408e9bffffffff,1.0,0.0,0.0,0.0,0.0
8408ea7ffffffff,2.0,2.0,0.0,0.0,0.0
8408ebdffffffff,2.0,0.0,0.0,0.0,0.0
8408ec1ffffffff,17.0,0.0,0.0,0.0,0.0
8408ed7ffffffff,1.0,0.0,0.0,0.0,0.0
8408ed9ffffffff,1.0,0.0,0.0,0.0,0.0
8408edbffffffff,2.0,0.0,0.0,0.0,0.0
8408f09ffffffff,2.0,0.0,0.0,0.0,0.0
8408f0dffffffff,2.0,0.0,0.0,0.0,0.0
8408f25ffffffff,2.0,2.0,0.0,0.0,0.0
8408f29ffffffff,2.0,0.0,0.0,0.0,0.0
8408f47ffffffff,8.0,0.0,0.0,0.0,0.0
8408f63ffffffff,3.0,0.0,0.0,0.0,0.0
8409587ffffffff,2.0,0.0,0.0,0.0,0.0
8409595ffffffff,1.0,0.0,0.0,0.0,0.0
8409599ffffffff,1.0,0.0,0.0,0.0,0.0
84095a9ffffffff,2.0,0.0,0.0,0.0,0.0
84095adffffffff,4.0,0.0,0.0,0.0,0.0
84095bbffffffff,1.0,0.0,0.0,0.0,0.0
84095e7ffffffff,2.0,0.0,0.0,0.0,0.0
8409805ffffffff,11.0,0.0,0.0,0.0,0.0
8409819ffffffff,2.0,0.0,0.0,0.0,0.0
8409821ffffffff,2.0,0.0,0.0,0.0,0.0
8409823ffffffff,2.0,0.0,0.0,0.0,0.0
8409829ffffffff,1.0,0.0,0.0,0.0,0.0
840982bffffffff,4.0,0.0,0.0,0.0,0.0
8409881ffffffff,6.0,0.0,0.0,0.0,0.0
8409883ffffffff,12.0,1.0,0.0,0.0,0.0
8409893ffffffff,25.0,0.0,0.0,0.0,0.0
8409897ffffffff,3.0,0.0,0.0,0.0,0.0
84098a9ffffffff,2.0,0.0,0.0,0.0,0.0
84098c7ffffffff,2.0,0.0,0.0,0.0,0.0
84098d1ffffffff,2.0,0.0,0.0,0.0,0.0
84098d3ffffffff,2.0,0.0,0.0,0.0,0.0
84098dbffffffff,3.0,2.0,0.0,0.0,0.0
84098e3ffffffff,2.0,0.0,0.0,0.0,0.0
8409911ffffffff,28.0,0.0,0.0,0.0,0.0
8409917ffffffff,8.0,4.0,0.0,0.0,0.0
840991bffffffff,99.0,5.0,0.0,0.0,0.0
8409927ffffffff,1.0,0.0,0.0,0.0,0.0
8409937ffffffff,1.0,0.0,0.0,0.0,0.0
8409981ffffffff,2.0,0.0,0.0,0.0,0.0
8409983ffffffff,6.0,4.0,0.0,0.0,0.0
8409991ffffffff,1.0,0.0,0.0,0.0,0.0
8409993ffffffff,20.0,5.0,0.0,0.0,0.0
8409995ffffffff,1.0,0.0,0.0,0.0,0.0
8409997ffffffff,11.0,6.0,0.0,0.0,0.0
84099a3ffffffff,3.0,0.0,0.0,0.0,0.0
84099b1ffffffff,1.0,0.0,0.0,0.0,0.0
84099b9ffffffff,36.0,0.0,0.0,0.0,0.0
84099bdffffffff,9.0,0.0,0.0,0.0,0.0
84099c9ffffffff,2.0,0.0,0.0,0.0,0.0
84099e9ffffffff,12.0,0.0,0.0,0.0,0.0
84099ebffffffff,2.0,0.0,0.0,0.0,0.0
8409a09ffffffff,34.0,6.0,0.0,0.0,0.0
8409a43ffffffff,2.0,2.0,0.0,0.0,0.0
8409a45ffffffff,7.0,0.0,0.0,0.0,0.0
8409a47ffffffff,3.0,0.0,0.0,0.0,0.0
8409a4dffffffff,7.0,0.0,0.0,0.0,0.0
8409a55ffffffff,12.0,0.0,0.0,0.0,0.0
8409a69ffffffff,14.0,0.0,0.0,0.0,0.0
8409a6bffffffff,6.0,0.0,0.0,0.0,0.0
840a915ffffffff,1.0,0.0,0.0,0.0,0.0
840aa6dffffffff,1.0,0.0,0.0,0.0,0.0
840b931ffffffff,4.0,0.0,0.0,0.0,0.0
840b935ffffffff,4.0,0.0,0.0,0.0,0.0
840b937ffffffff,2.0,0.0,0.0,0.0,0.0
840b93dffffffff,2.0,0.0,0.0,0.0,0.0
840b9a7ffffffff,2.0,0.0,0.0,0.0,0.0
840bb01ffffffff,4.0,0.0,0.0,0.0,0.0
840bb05ffffffff,1.0,0.0,0.0,0.0,0.0
840bb0dffffffff,2.0,0.0,0.0,0.0,0.0
840bb1dffffffff,2.0,0.0,0.0,0.0,0.0
840bb39ffffffff,3.0,0.0,0.0,0.0,0.0
8410167ffffffff,4.0,0.0,0.0,0.0,0.0
84108dbffffffff,1.0,0.0,0.0,0.0,0.0
8410969ffffffff,6.0,0.0,0.0,0.0,0.0
84109b5ffffffff,1.0,0.0,0.0,0.0,0.0
8410a19ffffffff,4.0,0.0,0.0,0.0,0.0
8410aa9ffffffff,1.0,0.0,0.0,0.0,0.0
8410d21ffffffff,1.0,0.0,0.0,0.0,0.0
8410dc1ffffffff,1.0,0.0,0.0,0.0,0.0
8410dc9ffffffff,15.0,0.0,0.0,0.0,0.0
8410ee1ffffffff,2.0,0.0,0.0,0.0,0.0
8410f0dffffffff,2.0,1.0,0.0,0.0,0.0
8410f21ffffffff,1.0,0.0,0.0,0.0,0.0
8410f29ffffffff,4.0,0.0,0.0,0.0,0.0
8411031ffffffff,2.0,0.0,0.0,0.0,0.0
8411039ffffffff,2.0,0.0,0.0,0.0,0.0
841103bffffffff,1.0,0.0,0.0,0.0,0.0
8411051ffffffff,2.0,0.0,0.0,0.0,0.0
8411059ffffffff,21.0,0.0,0.0,0.0,0.0
841105bffffffff,3.0,0.0,0.0,0.0,0.0
8411061ffffffff,38.0,0.0,0.0,0.0,0.0
8411069ffffffff,14.0,0.0,0.0,0.0,0.0
841106bffffffff,23.0,0.0,0.0,0.0,0.0
841120bffffffff,2.0,2.0,0.0,0.0,0.0
8411217ffffffff,2.0,0.0,0.0,0.0,0.0
8411219ffffffff,2.0,0.0,0.0,0.0,0.0
841121bffffffff,2.0,0.0,0.0,0.0,0.0
8411221ffffffff,30.0,2.0,0.0,0.0,0.0
8411223ffffffff,8.0,0.0,0.0,0.0,0.0
8411229ffffffff,1.0,0.0,0.0,0.0,0.0
8411233ffffffff,1.0,0.0,0.0,0.0,0.0
8411235ffffffff,6.0,0.0,0.0,0.0,0.0
8411237ffffffff,2.0,0.0,0.0,0.0,0.0
8411245ffffffff,2.0,0.0,0.0,0.0,0.0
8411249ffffffff,3.0,0.0,0.0,0.0,0.0
8411261ffffffff,8.0,2.0,0.0,0.0,0.0
8411263ffffffff,2.0,0.0,0.0,0.0,0.0
8411267ffffffff,7.0,0.0,0.0,0.0,0.0
8411269ffffffff,5.0,0.0,0.0,0.0,0.0
