cell_id,Pachycephala simplex,Pachycephala simplex simplex/brunnescens,Pachycephala simplex [griseiceps Group]
8472895ffffffff,1.0,0.0,0.0
8472901ffffffff,12.0,0.0,5.0
8472905ffffffff,20.0,0.0,2.0
847290dffffffff,3.0,0.0,3.0
84729e9ffffffff,3.0,0.0,0.0
8472a07ffffffff,6.0,0.0,4.0
8472a2bffffffff,20.0,0.0,8.0
8472d23ffffffff,46.0,0.0,10.0
8472d59ffffffff,1.0,0.0,0.0
8472d5dffffffff,2.0,0.0,0.0
8472d97ffffffff,16.0,0.0,0.0
8472da3ffffffff,2.0,0.0,0.0
8472db3ffffffff,26.0,0.0,0.0
8472dbbffffffff,11.0,0.0,0.0
8472f23ffffffff,29.0,0.0,12.0
84739a1ffffffff,4.0,0.0,0.0
84739abffffffff,103.0,0.0,30.0
84739b1ffffffff,38.0,0.0,7.0
84739b5ffffffff,10.0,0.0,7.0
8494437ffffffff,1.0,0.0,0.0
84944bdffffffff,2.0,0.0,0.0
8494501ffffffff,4.0,2.0,0.0
8494503ffffffff,7.0,0.0,0.0
849450bffffffff,128.0,38.0,0.0
8494511ffffffff,273.0,65.0,0.0
8494513ffffffff,4.0,2.0,0.0
8494515ffffffff,11.0,2.0,0.0
849451bffffffff,1.0,0.0,0.0
849451dffffffff,714.0,218.0,0.0
8494535ffffffff,3.0,2.0,0.0
8494537ffffffff,1.0,0.0,0.0
8494539ffffffff,7.0,6.0,0.0
849453bffffffff,4.0,0.0,0.0
8494551ffffffff,5.0,0.0,0.0
8494559ffffffff,9.0,2.0,0.0
849458dffffffff,2.0,0.0,0.0
84945c3ffffffff,2.0,2.0,0.0
84945c5ffffffff,4.0,0.0,0.0
84945c7ffffffff,4.0,2.0,0.0
84945cbffffffff,2.0,0.0,0.0
84945e3ffffffff,3.0,2.0,0.0
84945ebffffffff,6.0,2.0,0.0
8494edbffffffff,3.0,3.0,0.0
849c003ffffffff,10.0,0.0,2.0
849c009ffffffff,2.0,0.0,0.0
849c00bffffffff,12.0,0.0,1.0
849c055ffffffff,15.0,0.0,4.0
849c059ffffffff,8.0,0.0,3.0
849c05dffffffff,127.0,0.0,17.0
849c0a1ffffffff,1.0,0.0,0.0
849c191ffffffff,518.0,0.0,125.0
849c193ffffffff,4.0,0.0,0.0
849c19dffffffff,3.0,0.0,2.0
849c203ffffffff,37.0,0.0,2.0
849c207ffffffff,6.0,0.0,0.0
849c20bffffffff,12.0,0.0,3.0
849c215ffffffff,44.0,0.0,3.0
849c231ffffffff,268.0,0.0,41.0
849c233ffffffff,28.0,0.0,7.0
849c237ffffffff,1137.0,0.0,112.0
849c239ffffffff,150.0,0.0,18.0
849c23bffffffff,20.0,0.0,0.0
849c257ffffffff,15.0,0.0,0.0
849c259ffffffff,16.0,0.0,7.0
849c589ffffffff,2.0,0.0,0.0
849c5a5ffffffff,7.0,6.0,0.0
849c5a7ffffffff,4.0,3.0,0.0
849c851ffffffff,6.0,0.0,0.0
849c853ffffffff,2.0,0.0,0.0
849c85bffffffff,138.0,8.0,16.0
849c8b5ffffffff,16.0,0.0,0.0
849c993ffffffff,9.0,0.0,0.0
849c997ffffffff,17.0,0.0,0.0
849c9d5ffffffff,9.0,0.0,9.0
849c9d7ffffffff,2.0,0.0,2.0
849ca65ffffffff,2.0,0.0,0.0
849caadffffffff,2.0,0.0,0.0
849cb51ffffffff,32.0,0.0,0.0
849cb59ffffffff,12.0,0.0,0.0
849cc29ffffffff,2.0,0.0,2.0
849cd31ffffffff,10.0,0.0,2.0
849cd33ffffffff,10.0,0.0,0.0
849ce47ffffffff,7.0,0.0,0.0
849ce9bffffffff,6.0,6.0,0.0
849cf53ffffffff,23.0,0.0,7.0
849cf5bffffffff,2.0,0.0,0.0
