cell_id,Hylophilus amaurocephalus,Hylophilus amaurocephalus [undescribed Beni form]
838002fffffffff,4.0,0.0
838006fffffffff,9.0,0.0
838010fffffffff,39.0,0.0
838011fffffffff,9.0,0.0
838012fffffffff,3.0,0.0
838013fffffffff,4.0,0.0
838015fffffffff,2.0,0.0
838016fffffffff,5.0,0.0
838024fffffffff,3.0,0.0
838030fffffffff,126.0,0.0
838035fffffffff,1.0,0.0
838036fffffffff,33.0,0.0
8380a4fffffffff,4.0,0.0
838100fffffffff,8.0,0.0
838102fffffffff,70.0,0.0
838104fffffffff,12.0,0.0
838106fffffffff,28.0,0.0
838112fffffffff,8.0,0.0
838114fffffffff,2.0,0.0
838116fffffffff,1.0,0.0
838118fffffffff,2.0,0.0
83811cfffffffff,2.0,0.0
83811efffffffff,12.0,0.0
838121fffffffff,8.0,0.0
838124fffffffff,245.0,0.0
83812cfffffffff,1.0,0.0
838130fffffffff,71.0,0.0
838131fffffffff,6.0,0.0
838133fffffffff,72.0,0.0
838136fffffffff,3.0,0.0
838181fffffffff,52.0,0.0
838183fffffffff,8.0,0.0
838185fffffffff,4.0,0.0
838188fffffffff,6.0,0.0
83818afffffffff,6.0,0.0
83818bfffffffff,2.0,0.0
83818cfffffffff,4.0,0.0
83818dfffffffff,2.0,0.0
83818efffffffff,39.0,0.0
83819dfffffffff,28.0,0.0
8381a1fffffffff,1.0,0.0
8381a9fffffffff,2.0,0.0
8381aafffffffff,12.0,0.0
8381acfffffffff,4.0,0.0
8381adfffffffff,32.0,0.0
83a596fffffffff,1.0,0.0
83a802fffffffff,2.0,0.0
83a803fffffffff,2.0,0.0
83a806fffffffff,5.0,0.0
83a80efffffffff,1.0,0.0
83a810fffffffff,7.0,0.0
83a811fffffffff,23.0,0.0
83a812fffffffff,1.0,0.0
83a813fffffffff,23.0,0.0
83a815fffffffff,5.0,0.0
83a818fffffffff,5.0,0.0
83a819fffffffff,2.0,0.0
83a81afffffffff,1.0,0.0
83a81cfffffffff,58.0,0.0
83a81efffffffff,80.0,0.0
83a880fffffffff,79.0,0.0
83a881fffffffff,409.0,0.0
83a882fffffffff,16.0,0.0
83a883fffffffff,2.0,0.0
83a884fffffffff,95.0,0.0
83a885fffffffff,31.0,0.0
83a886fffffffff,5.0,0.0
83a889fffffffff,5.0,0.0
83a88afffffffff,11.0,0.0
83a88bfffffffff,8.0,0.0
83a88cfffffffff,11.0,0.0
83a88dfffffffff,6.0,0.0
83a88efffffffff,52.0,0.0
83a891fffffffff,3.0,0.0
83a895fffffffff,2.0,0.0
83a89bfffffffff,3.0,0.0
83a8a1fffffffff,2.0,0.0
83a8a2fffffffff,20.0,0.0
83a8a3fffffffff,40.0,0.0
83a8a8fffffffff,19.0,0.0
83a8a9fffffffff,31.0,0.0
83a8aafffffffff,109.0,0.0
83a8acfffffffff,19.0,0.0
83a8adfffffffff,33.0,0.0
83a8aefffffffff,69.0,0.0
83a8d4fffffffff,4.0,0.0
83a8f4fffffffff,3.0,0.0
