cell_id,Melospiza melodia,Melospiza melodia melodia/atlantica,Melospiza melodia sanaka/maxima,Melospiza melodia [rufina Group],Melospiza melodia montana/merrilli,Melospiza melodia [heermanni Group],Melospiza melodia samuelsis,Melospiza melodia pusillula,Melospiza melodia [fallax Group],Melospiza melodia [mexicana Group]
820c47fffffffff,213.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
820c57fffffffff,38.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
820c5ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820c6ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820c77fffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820ccffffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820cdffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820ceffffffffff,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820ecffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82125ffffffffff,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821277fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82128ffffffffff,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212affffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212b7fffffffff,61.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8212c7fffffffff,23.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
8212cffffffffff,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212d7fffffffff,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8212dffffffffff,31.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
8212e7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212effffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8212f7fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
821387fffffffff,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821397fffffffff,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
82139ffffffffff,15.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
821aa7fffffffff,79.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821aaffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821ab7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821b9ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821fa7fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8222c7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8222d7fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8222dffffffffff,206.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822607fffffffff,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82260ffffffffff,50.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822617fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82261ffffffffff,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
822627fffffffff,112.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822637fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,89.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82264ffffffffff,273.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822657fffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82265ffffffffff,155.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,84.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82266ffffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822677fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,160.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82268ffffffffff,228.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
822697fffffffff,143.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0
82269ffffffffff,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226a7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,113.0,20.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0
8226b7fffffffff,25.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
8226c7fffffffff,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226cffffffffff,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226d7fffffffff,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226dffffffffff,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226effffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8226f7fffffffff,93.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822707fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822717fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82271ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822747fffffffff,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82274ffffffffff,2155.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822757fffffffff,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82275ffffffffff,96.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822767fffffffff,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82276ffffffffff,132.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822777fffffffff,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822787fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822797fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82279ffffffffff,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
8227a7fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8227affffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8227b7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822807fffffffff,40.0,0.0,0.0,12.0,22.0,2.0,0.0,0.0,0.0,0.0
822817fffffffff,66.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0
82281ffffffffff,131.0,2.0,0.0,41.0,57.0,7.0,0.0,0.0,0.0,0.0
822837fffffffff,4119.0,1.0,0.0,35.0,68.0,95.0,10.0,10.0,0.0,0.0
822887fffffffff,150.0,2.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
82288ffffffffff,61.0,0.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0
822897fffffffff,80.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
82289ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8228a7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8228affffffffff,17.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
8228b7fffffffff,36.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
8228c7fffffffff,68.0,4.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
