cell_id,Chloropsis hardwickii,Chloropsis hardwickii hardwickii/malayana,Chloropsis hardwickii lazulina/melliana
84309a5ffffffff,41.0,0.0,0.0
843c021ffffffff,1.0,0.0,0.0
843c027ffffffff,4.0,0.0,0.0
843c029ffffffff,176.0,9.0,0.0
843c02dffffffff,166.0,17.0,0.0
843c063ffffffff,7.0,0.0,0.0
843c065ffffffff,10.0,0.0,0.0
843c067ffffffff,94.0,0.0,0.0
843c069ffffffff,2.0,2.0,0.0
843c0a3ffffffff,2.0,0.0,0.0
843c0a5ffffffff,230.0,4.0,0.0
843c0a9ffffffff,4.0,0.0,0.0
843c0adffffffff,78.0,4.0,0.0
843c0b5ffffffff,24.0,4.0,0.0
843c0b7ffffffff,44.0,0.0,0.0
843c0bdffffffff,22.0,1.0,0.0
843c159ffffffff,2.0,0.0,0.0
843c199ffffffff,325.0,0.0,0.0
843c19bffffffff,4.0,0.0,0.0
843c1d1ffffffff,7.0,0.0,0.0
843c1d3ffffffff,56.0,0.0,0.0
843c1d7ffffffff,16.0,0.0,0.0
843c1dbffffffff,5.0,0.0,0.0
843c303ffffffff,1.0,0.0,0.0
843c315ffffffff,9.0,0.0,0.0
843c317ffffffff,1.0,0.0,0.0
843c33bffffffff,17.0,0.0,0.0
843c437ffffffff,1.0,0.0,0.0
843c521ffffffff,37.0,0.0,0.0
843c525ffffffff,46.0,0.0,0.0
843c527ffffffff,728.0,0.0,0.0
843c537ffffffff,12.0,0.0,0.0
843c581ffffffff,576.0,0.0,0.0
843c583ffffffff,10.0,0.0,0.0
843c585ffffffff,6.0,0.0,0.0
843c587ffffffff,78.0,0.0,0.0
843c589ffffffff,2.0,0.0,0.0
843c58dffffffff,2.0,0.0,0.0
843c595ffffffff,20.0,0.0,0.0
843c5a1ffffffff,125.0,0.0,0.0
843c5a3ffffffff,2.0,0.0,0.0
843c5a9ffffffff,12.0,0.0,0.0
843c5abffffffff,3.0,0.0,0.0
843c5adffffffff,6.0,0.0,0.0
843c5b3ffffffff,2.0,0.0,0.0
843c5b7ffffffff,5.0,0.0,0.0
843c5b9ffffffff,17.0,0.0,0.0
843c5bbffffffff,9.0,0.0,0.0
843c5bdffffffff,277.0,0.0,0.0
843c5c1ffffffff,57.0,0.0,0.0
843c5c5ffffffff,15.0,0.0,0.0
843c5c7ffffffff,2.0,0.0,0.0
843c5cbffffffff,25.0,0.0,0.0
843c5d5ffffffff,10.0,0.0,0.0
843c5e3ffffffff,11.0,0.0,0.0
843c5ebffffffff,6.0,0.0,0.0
843cc01ffffffff,10.0,0.0,0.0
843cc03ffffffff,18.0,0.0,0.0
843cc0bffffffff,61.0,0.0,0.0
843cc11ffffffff,19.0,0.0,0.0
843cc1dffffffff,5.0,0.0,0.0
843cc31ffffffff,7.0,0.0,0.0
843cc39ffffffff,1.0,0.0,0.0
843cc55ffffffff,2.0,0.0,0.0
843cc57ffffffff,1.0,0.0,0.0
843ccc9ffffffff,13.0,0.0,0.0
843cd8bffffffff,10.0,2.0,0.0
843cdbdffffffff,5.0,0.0,0.0
843ce15ffffffff,21.0,0.0,0.0
843ce17ffffffff,3.0,0.0,0.0
843ce19ffffffff,29.0,0.0,0.0
843ce1bffffffff,2.0,0.0,0.0
843ce29ffffffff,24.0,0.0,0.0
843ce2bffffffff,10.0,0.0,0.0
843ce31ffffffff,6.0,0.0,0.0
843ce33ffffffff,1.0,0.0,0.0
843ce3bffffffff,19.0,0.0,0.0
843ce41ffffffff,9.0,0.0,0.0
843ce43ffffffff,12.0,1.0,0.0
843ce4bffffffff,51.0,0.0,0.0
843ce4dffffffff,80.0,0.0,0.0
843ce51ffffffff,44.0,2.0,0.0
843ce53ffffffff,39.0,6.0,0.0
843ce55ffffffff,113.0,4.0,0.0
843ce57ffffffff,111.0,3.0,0.0
843ce59ffffffff,44.0,1.0,0.0
843ce5bffffffff,112.0,13.0,0.0
843ce5dffffffff,277.0,58.0,0.0
843ce83ffffffff,29.0,0.0,0.0
843ce85ffffffff,51.0,0.0,0.0
843ce87ffffffff,15.0,0.0,0.0
843ce95ffffffff,11.0,0.0,0.0
843cea1ffffffff,22.0,0.0,0.0
843cea5ffffffff,3.0,0.0,0.0
843cea7ffffffff,16.0,0.0,0.0
843cea9ffffffff,2.0,0.0,0.0
843ceabffffffff,2.0,0.0,0.0
843ceb9ffffffff,10.0,0.0,0.0
