cell_id,Myiothlypis rivularis,Myiothlypis rivularis mesoleuca,Myiothlypis rivularis boliviana,Myiothlypis rivularis rivularis
84804cbffffffff,2.0,2.0,0.0,0.0
8480655ffffffff,8.0,8.0,0.0,0.0
8480713ffffffff,4.0,4.0,0.0,0.0
8480745ffffffff,2.0,2.0,0.0,0.0
8480759ffffffff,2.0,2.0,0.0,0.0
84814adffffffff,7.0,7.0,0.0,0.0
84814e7ffffffff,2.0,2.0,0.0,0.0
848a313ffffffff,1.0,1.0,0.0,0.0
848a925ffffffff,8.0,8.0,0.0,0.0
848adbbffffffff,2.0,2.0,0.0,0.0
848af29ffffffff,3.0,3.0,0.0,0.0
848b229ffffffff,2.0,0.0,2.0,0.0
