cell_id,Camptostoma obsoletum,Camptostoma obsoletum [pusillum Group],Camptostoma obsoletum [obsoletum Group]
835f58fffffffff,4.0,4.0,0.0
835f5bfffffffff,1.0,1.0,0.0
836618fffffffff,1.0,1.0,0.0
836620fffffffff,4.0,4.0,0.0
836622fffffffff,1.0,1.0,0.0
836628fffffffff,1.0,0.0,0.0
836629fffffffff,1.0,0.0,0.0
8366a0fffffffff,8.0,0.0,0.0
8366a3fffffffff,6.0,0.0,0.0
8366a5fffffffff,15.0,2.0,0.0
8366b0fffffffff,2.0,2.0,0.0
8366b5fffffffff,4.0,0.0,0.0
8366c2fffffffff,15.0,0.0,0.0
8366d5fffffffff,4.0,0.0,0.0
8366defffffffff,2.0,0.0,0.0
8366e5fffffffff,5.0,0.0,0.0
8366e6fffffffff,12.0,0.0,0.0
8366f0fffffffff,1.0,0.0,0.0
836741fffffffff,13.0,0.0,0.0
836743fffffffff,3.0,2.0,0.0
836759fffffffff,2.0,2.0,0.0
83675bfffffffff,2.0,0.0,0.0
836d69fffffffff,4.0,0.0,0.0
83811afffffffff,2.0,0.0,0.0
838180fffffffff,13.0,0.0,0.0
838181fffffffff,55.0,0.0,0.0
838183fffffffff,2.0,0.0,0.0
838a2efffffffff,1.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0
838b06fffffffff,1.0,0.0,0.0
838b0cfffffffff,1.0,0.0,0.0
838b22fffffffff,4.0,0.0,4.0
838e62fffffffff,2.0,0.0,1.0
838f2efffffffff,2.0,0.0,0.0
838f50fffffffff,4.0,0.0,4.0
83a945fffffffff,1.0,0.0,0.0
83a953fffffffff,3.0,0.0,3.0
83a961fffffffff,39.0,0.0,0.0
83a965fffffffff,12.0,0.0,0.0
83a96afffffffff,1.0,0.0,0.0
83a96cfffffffff,19.0,0.0,0.0
83b209fffffffff,2.0,0.0,0.0
83b249fffffffff,27.0,0.0,0.0
83b24bfffffffff,2.0,0.0,0.0
83b24dfffffffff,192.0,0.0,0.0
83b251fffffffff,5.0,0.0,0.0
83b254fffffffff,2.0,0.0,0.0
83b25dfffffffff,2.0,0.0,0.0
83b261fffffffff,11.0,0.0,0.0
83b268fffffffff,6.0,0.0,0.0
83b269fffffffff,33.0,0.0,0.0
83b26bfffffffff,67.0,0.0,0.0
83b26cfffffffff,2.0,0.0,0.0
83b26dfffffffff,28.0,0.0,0.0
83b270fffffffff,2.0,0.0,0.0
83b2e9fffffffff,6.0,0.0,0.0
83b2ebfffffffff,2.0,0.0,0.0
83c2c5fffffffff,4.0,0.0,4.0
83c2c9fffffffff,35.0,0.0,0.0
83c2cdfffffffff,61.0,0.0,0.0
83c2e2fffffffff,8.0,0.0,0.0
83c2e3fffffffff,7.0,0.0,0.0
