cell_id,Zimmerius chrysops,Zimmerius chrysops minimus/cumanensis,Zimmerius chrysops chrysops
835f48fffffffff,9.0,0.0,0.0
835f49fffffffff,12.0,0.0,0.0
835f4afffffffff,71.0,5.0,0.0
835f4bfffffffff,31.0,0.0,0.0
836601fffffffff,220.0,0.0,21.0
836608fffffffff,1892.0,0.0,28.0
836609fffffffff,7.0,0.0,0.0
83660afffffffff,68.0,0.0,0.0
83660bfffffffff,964.0,0.0,4.0
83660cfffffffff,240.0,0.0,2.0
83660dfffffffff,69.0,0.0,2.0
83660efffffffff,5.0,0.0,0.0
836611fffffffff,11.0,0.0,0.0
836618fffffffff,737.0,0.0,9.0
836619fffffffff,3413.0,0.0,42.0
83661afffffffff,12.0,0.0,0.0
83661bfffffffff,7252.0,0.0,435.0
83661cfffffffff,73.0,0.0,0.0
83661dfffffffff,1172.0,0.0,18.0
83661efffffffff,34.0,0.0,0.0
836620fffffffff,561.0,313.0,0.0
836621fffffffff,71.0,0.0,0.0
836622fffffffff,160.0,77.0,0.0
836623fffffffff,6.0,2.0,0.0
836629fffffffff,75.0,0.0,1.0
83662bfffffffff,79.0,0.0,0.0
83662dfffffffff,5.0,0.0,0.0
83662efffffffff,54.0,0.0,0.0
836656fffffffff,22.0,0.0,0.0
836670fffffffff,6.0,0.0,0.0
8366c0fffffffff,606.0,0.0,6.0
8366c2fffffffff,560.0,0.0,0.0
8366c4fffffffff,200.0,0.0,0.0
8366c6fffffffff,2565.0,0.0,47.0
8366d0fffffffff,446.0,0.0,33.0
8366d1fffffffff,218.0,0.0,4.0
8366d4fffffffff,7.0,0.0,0.0
8366d5fffffffff,105.0,0.0,0.0
8366d8fffffffff,8.0,0.0,0.0
8366dafffffffff,222.0,0.0,28.0
8366dcfffffffff,130.0,0.0,14.0
8366ddfffffffff,22.0,0.0,4.0
8366defffffffff,3100.0,0.0,512.0
8366e0fffffffff,1237.0,0.0,39.0
8366e1fffffffff,5.0,0.0,0.0
8366e2fffffffff,169.0,0.0,3.0
8366e3fffffffff,89.0,0.0,0.0
8366e4fffffffff,1206.0,0.0,39.0
8366e5fffffffff,1303.0,0.0,15.0
8366e6fffffffff,14855.0,0.0,450.0
8366f0fffffffff,741.0,0.0,11.0
8366f1fffffffff,5447.0,0.0,131.0
8366f3fffffffff,19.0,0.0,0.0
8366f5fffffffff,3647.0,0.0,41.0
836753fffffffff,2.0,0.0,0.0
83675afffffffff,65.0,0.0,4.0
83675cfffffffff,13.0,0.0,0.0
83675efffffffff,115.0,0.0,2.0
838f29fffffffff,1.0,0.0,0.0
838f70fffffffff,119.0,0.0,17.0
838f72fffffffff,401.0,0.0,77.0
838f74fffffffff,151.0,0.0,8.0
838f76fffffffff,187.0,0.0,10.0
