cell_id,Celeus torquatus,Celeus torquatus torquatus,Celeus torquatus occidentalis,Celeus torquatus tinnunculus
825f07fffffffff,1.0,1.0,0.0,0.0
825f4ffffffffff,2.0,0.0,0.0,0.0
826647fffffffff,7.0,0.0,0.0,0.0
82665ffffffffff,7.0,0.0,0.0,0.0
8266c7fffffffff,10.0,0.0,0.0,0.0
8266effffffffff,1.0,0.0,0.0,0.0
828a87fffffffff,1.0,0.0,1.0,0.0
828b5ffffffffff,2.0,0.0,2.0,0.0
828f47fffffffff,3.0,0.0,0.0,0.0
828f4ffffffffff,4.0,0.0,0.0,0.0
82a597fffffffff,42.0,0.0,0.0,42.0
82a897fffffffff,98.0,0.0,0.0,43.0
