cell_id,Strix virgata,Strix virgata [virgata Group],Strix virgata superciliaris/macconnelli,Strix virgata borelliana
83450afffffffff,1.0,1.0,0.0,0.0
83450efffffffff,3.0,3.0,0.0,0.0
83452afffffffff,10.0,0.0,0.0,0.0
83452efffffffff,17.0,0.0,0.0,0.0
8348b1fffffffff,42.0,4.0,0.0,0.0
8348b3fffffffff,2.0,0.0,0.0,0.0
834986fffffffff,4.0,4.0,0.0,0.0
834990fffffffff,9.0,0.0,0.0,0.0
834994fffffffff,5.0,0.0,0.0,0.0
834995fffffffff,4.0,0.0,0.0,0.0
834996fffffffff,2.0,0.0,0.0,0.0
834998fffffffff,2.0,0.0,0.0,0.0
835f2bfffffffff,13.0,0.0,0.0,0.0
835f58fffffffff,44.0,0.0,0.0,0.0
835f5bfffffffff,2.0,0.0,0.0,0.0
835f5dfffffffff,4.0,0.0,0.0,0.0
83660afffffffff,3.0,0.0,0.0,0.0
83661afffffffff,2.0,0.0,0.0,0.0
8366b4fffffffff,3.0,1.0,0.0,0.0
8366e3fffffffff,1.0,0.0,0.0,0.0
8366e5fffffffff,15.0,0.0,0.0,0.0
8366ecfffffffff,3.0,0.0,0.0,0.0
8366f5fffffffff,2.0,0.0,0.0,0.0
836751fffffffff,11.0,0.0,0.0,0.0
836759fffffffff,2.0,0.0,0.0,0.0
836d21fffffffff,3.0,0.0,0.0,0.0
836d2bfffffffff,2.0,0.0,0.0,0.0
836d2cfffffffff,4.0,4.0,0.0,0.0
836d2dfffffffff,1.0,0.0,0.0,0.0
836d32fffffffff,4.0,0.0,0.0,0.0
836d35fffffffff,2.0,0.0,0.0,0.0
836d60fffffffff,1.0,0.0,0.0,0.0
838b9dfffffffff,2.0,0.0,2.0,0.0
838f0dfffffffff,8.0,0.0,0.0,0.0
838f54fffffffff,2.0,2.0,0.0,0.0
83a8c2fffffffff,10.0,0.0,0.0,0.0
83a8d1fffffffff,13.0,0.0,0.0,0.0
83a942fffffffff,3.0,0.0,0.0,2.0
83a943fffffffff,1.0,0.0,0.0,0.0
83a946fffffffff,45.0,0.0,0.0,0.0
83a94cfffffffff,8.0,0.0,0.0,0.0
83a94dfffffffff,11.0,0.0,0.0,0.0
83a953fffffffff,23.0,0.0,0.0,2.0
83a95cfffffffff,1.0,0.0,0.0,0.0
83a95efffffffff,2.0,0.0,0.0,0.0
