cell_id,Campethera bennettii,Campethera bennettii bennettii,Campethera bennettii capricorni
846ad8bffffffff,5.0,0.0,0.0
846add7ffffffff,1.0,0.0,0.0
8483125ffffffff,2.0,0.0,0.0
848320dffffffff,9.0,0.0,0.0
8483a89ffffffff,3.0,0.0,0.0
8496009ffffffff,7.0,1.0,0.0
8496015ffffffff,9.0,1.0,0.0
849608bffffffff,1.0,0.0,0.0
84960b5ffffffff,1.0,0.0,0.0
849610dffffffff,1.0,0.0,0.0
8496141ffffffff,3.0,0.0,0.0
8496147ffffffff,1.0,0.0,0.0
8496149ffffffff,2.0,0.0,0.0
8496201ffffffff,2.0,0.0,0.0
8496203ffffffff,4.0,0.0,0.0
8496207ffffffff,17.0,0.0,0.0
8496219ffffffff,4.0,0.0,0.0
849622bffffffff,1.0,0.0,0.0
8496233ffffffff,1.0,0.0,0.0
849623bffffffff,4.0,0.0,0.0
8496263ffffffff,6.0,0.0,0.0
8496283ffffffff,2.0,0.0,0.0
849629dffffffff,1.0,0.0,0.0
84962c9ffffffff,11.0,4.0,0.0
84962d1ffffffff,5.0,2.0,0.0
84962d7ffffffff,4.0,2.0,0.0
84962d9ffffffff,1.0,1.0,0.0
84962e5ffffffff,2.0,0.0,0.0
8496335ffffffff,23.0,8.0,0.0
849666bffffffff,4.0,0.0,0.0
8496721ffffffff,2.0,0.0,0.0
84968c9ffffffff,2.0,0.0,0.0
84968cdffffffff,2.0,0.0,0.0
8496a59ffffffff,8.0,0.0,0.0
8496aa3ffffffff,1.0,0.0,0.0
8496e49ffffffff,2.0,0.0,0.0
8497015ffffffff,4.0,0.0,0.0
8497019ffffffff,3.0,0.0,0.0
8497051ffffffff,1.0,0.0,0.0
84970d3ffffffff,1.0,0.0,0.0
8497119ffffffff,1.0,0.0,0.0
8497199ffffffff,3.0,0.0,0.0
849719bffffffff,1.0,0.0,0.0
849728dffffffff,21.0,3.0,0.0
8497291ffffffff,7.0,1.0,0.0
8497295ffffffff,1.0,0.0,0.0
849729bffffffff,1.0,0.0,0.0
84972a5ffffffff,2.0,0.0,0.0
84972c5ffffffff,49.0,21.0,0.0
84972cbffffffff,3.0,0.0,0.0
84972cdffffffff,1.0,0.0,0.0
84972e3ffffffff,24.0,13.0,0.0
84972ebffffffff,10.0,1.0,0.0
8497411ffffffff,1.0,0.0,0.0
8497415ffffffff,12.0,0.0,0.0
8497417ffffffff,27.0,0.0,0.0
849741dffffffff,4.0,0.0,0.0
8497431ffffffff,39.0,0.0,4.0
8497435ffffffff,4.0,0.0,0.0
8497437ffffffff,29.0,0.0,0.0
8497439ffffffff,5.0,0.0,0.0
849743bffffffff,66.0,0.0,5.0
849743dffffffff,2.0,0.0,0.0
84974a9ffffffff,35.0,0.0,3.0
84974abffffffff,9.0,0.0,0.0
84974e1ffffffff,4.0,0.0,0.0
84974e3ffffffff,4.0,0.0,0.0
84974e5ffffffff,7.0,0.0,0.0
84974e9ffffffff,9.0,0.0,1.0
84974edffffffff,9.0,0.0,4.0
8497509ffffffff,2.0,0.0,0.0
849750bffffffff,2.0,0.0,0.0
8497511ffffffff,2.0,0.0,0.0
8497513ffffffff,10.0,0.0,1.0
8497515ffffffff,13.0,0.0,0.0
8497517ffffffff,4.0,0.0,0.0
8497543ffffffff,5.0,0.0,0.0
8497547ffffffff,3.0,0.0,0.0
8497551ffffffff,1.0,0.0,0.0
8497557ffffffff,4.0,0.0,0.0
8497569ffffffff,1.0,0.0,0.0
8497583ffffffff,5.0,0.0,0.0
