cell_id,Lanius collaris,Lanius collaris marwitzi,Lanius collaris [collaris Group]
8483045ffffffff,3.0,0.0,1.0
848304dffffffff,9.0,0.0,0.0
84831e5ffffffff,3.0,0.0,0.0
8483201ffffffff,3.0,0.0,0.0
8483203ffffffff,2.0,0.0,0.0
848320bffffffff,1.0,0.0,1.0
848320dffffffff,5.0,0.0,0.0
8483263ffffffff,5.0,0.0,4.0
8496627ffffffff,2.0,0.0,0.0
849666bffffffff,1.0,0.0,0.0
84966cdffffffff,1.0,0.0,0.0
849682dffffffff,2.0,0.0,0.0
8496919ffffffff,1.0,0.0,0.0
8496a05ffffffff,2.0,0.0,0.0
8496a07ffffffff,2.0,0.0,0.0
8496a2dffffffff,4.0,0.0,0.0
8496b0bffffffff,4.0,0.0,0.0
8496b19ffffffff,3.0,0.0,0.0
8496b21ffffffff,6.0,0.0,0.0
8496b27ffffffff,2.0,0.0,0.0
8496b53ffffffff,4.0,0.0,0.0
8496b57ffffffff,1.0,0.0,0.0
8497003ffffffff,6.0,0.0,0.0
8497027ffffffff,3.0,0.0,0.0
849702bffffffff,11.0,0.0,0.0
8497035ffffffff,25.0,0.0,6.0
849703dffffffff,1.0,0.0,0.0
8497081ffffffff,2.0,0.0,0.0
84970c5ffffffff,13.0,0.0,6.0
8497119ffffffff,1.0,0.0,0.0
8497199ffffffff,32.0,0.0,0.0
849719bffffffff,14.0,0.0,0.0
84971c1ffffffff,13.0,0.0,0.0
84971c3ffffffff,16.0,0.0,0.0
84971c7ffffffff,2.0,0.0,0.0
84971c9ffffffff,2.0,0.0,0.0
84971cbffffffff,31.0,0.0,4.0
84971d7ffffffff,2.0,0.0,0.0
84971d9ffffffff,2.0,0.0,2.0
849728dffffffff,5.0,0.0,0.0
8497291ffffffff,4.0,0.0,0.0
8497295ffffffff,2.0,0.0,0.0
84972c5ffffffff,1.0,0.0,0.0
84972c9ffffffff,4.0,0.0,4.0
84972d5ffffffff,9.0,0.0,2.0
