cell_id,Buteogallus anthracinus,Buteogallus anthracinus anthracinus,Buteogallus anthracinus [subtilis Group]
832990fffffffff,6.0,3.0,0.0
832995fffffffff,239.0,56.0,0.0
8329b0fffffffff,3.0,2.0,0.0
8329b2fffffffff,2280.0,140.0,0.0
8329b6fffffffff,191.0,25.0,0.0
834424fffffffff,96.0,6.0,0.0
834501fffffffff,42.0,2.0,0.0
834505fffffffff,1203.0,96.0,0.0
834508fffffffff,19.0,0.0,0.0
834509fffffffff,64.0,10.0,0.0
83450afffffffff,198.0,12.0,0.0
83450bfffffffff,683.0,93.0,0.0
83450cfffffffff,9.0,3.0,0.0
83450dfffffffff,2.0,0.0,0.0
83450efffffffff,197.0,16.0,0.0
834519fffffffff,12.0,0.0,0.0
834520fffffffff,232.0,12.0,4.0
834521fffffffff,2788.0,40.0,26.0
834522fffffffff,1112.0,59.0,75.0
834523fffffffff,695.0,30.0,0.0
834524fffffffff,670.0,51.0,2.0
834525fffffffff,171.0,19.0,0.0
834526fffffffff,360.0,37.0,0.0
834528fffffffff,9.0,1.0,0.0
834529fffffffff,19.0,4.0,0.0
83452afffffffff,53.0,0.0,0.0
83452bfffffffff,7.0,1.0,0.0
83452cfffffffff,23.0,3.0,0.0
83452dfffffffff,198.0,91.0,0.0
83452efffffffff,79.0,5.0,0.0
834530fffffffff,32.0,0.0,4.0
834531fffffffff,173.0,4.0,4.0
834532fffffffff,114.0,1.0,0.0
834533fffffffff,92.0,4.0,0.0
834534fffffffff,11.0,2.0,0.0
834535fffffffff,51.0,3.0,0.0
834536fffffffff,24.0,4.0,0.0
834564fffffffff,15.0,2.0,0.0
83456dfffffffff,8.0,0.0,0.0
834572fffffffff,397.0,97.0,0.0
834574fffffffff,49.0,9.0,0.0
834576fffffffff,19.0,3.0,0.0
834801fffffffff,4.0,0.0,0.0
834802fffffffff,9.0,0.0,0.0
834803fffffffff,6.0,0.0,0.0
834806fffffffff,38.0,2.0,0.0
834809fffffffff,36.0,0.0,0.0
83480afffffffff,313.0,41.0,0.0
83480efffffffff,76.0,6.0,0.0
834810fffffffff,4.0,1.0,0.0
834812fffffffff,18.0,5.0,0.0
834813fffffffff,1.0,1.0,0.0
834814fffffffff,140.0,20.0,0.0
834815fffffffff,27.0,0.0,0.0
834816fffffffff,26.0,3.0,0.0
834819fffffffff,5.0,1.0,0.0
83481afffffffff,5.0,0.0,0.0
83481cfffffffff,2.0,0.0,0.0
83481dfffffffff,50.0,4.0,0.0
834830fffffffff,44.0,4.0,0.0
834832fffffffff,52.0,1.0,0.0
834833fffffffff,200.0,11.0,0.0
834836fffffffff,2584.0,99.0,0.0
834856fffffffff,11.0,0.0,0.0
834884fffffffff,36.0,3.0,0.0
834885fffffffff,3.0,0.0,0.0
83488dfffffffff,13.0,2.0,0.0
8348a2fffffffff,319.0,10.0,0.0
8348abfffffffff,1048.0,61.0,0.0
8348b1fffffffff,6.0,0.0,0.0
8348b4fffffffff,2.0,0.0,0.0
8348b5fffffffff,15.0,3.0,0.0
8348c0fffffffff,108.0,2.0,0.0
8348c1fffffffff,631.0,35.0,0.0
8348c3fffffffff,164.0,0.0,0.0
8348c5fffffffff,212.0,63.0,0.0
8348ccfffffffff,50.0,8.0,0.0
8348cdfffffffff,473.0,42.0,0.0
8348cefffffffff,3.0,0.0,0.0
8348d1fffffffff,82.0,3.0,0.0
8348d8fffffffff,402.0,0.0,0.0
8348dcfffffffff,14.0,0.0,0.0
8348ddfffffffff,1.0,0.0,0.0
8348defffffffff,58.0,5.0,0.0
8348e0fffffffff,5.0,2.0,0.0
8348e1fffffffff,3.0,1.0,0.0
8348e2fffffffff,2.0,0.0,0.0
8348e3fffffffff,36.0,3.0,0.0
8348e4fffffffff,43.0,3.0,0.0
8348e5fffffffff,1.0,0.0,0.0
8348e6fffffffff,7.0,1.0,0.0
8348e8fffffffff,109.0,16.0,0.0
8348e9fffffffff,8.0,2.0,0.0
8348eafffffffff,271.0,30.0,0.0
8348ebfffffffff,388.0,88.0,0.0
8348ecfffffffff,1086.0,108.0,0.0
8348eefffffffff,137.0,8.0,0.0
8348f2fffffffff,348.0,19.0,0.0
8348f6fffffffff,5.0,2.0,0.0
834980fffffffff,16.0,4.0,0.0
834983fffffffff,2.0,0.0,0.0
834985fffffffff,2.0,0.0,0.0
834986fffffffff,7.0,2.0,0.0
834988fffffffff,6.0,0.0,0.0
834989fffffffff,4.0,4.0,0.0
83498cfffffffff,55.0,0.0,0.0
83498dfffffffff,1.0,0.0,0.0
83498efffffffff,2.0,0.0,0.0
834990fffffffff,21.0,1.0,0.0
834991fffffffff,18.0,0.0,0.0
834992fffffffff,153.0,17.0,0.0
834993fffffffff,49.0,8.0,0.0
834994fffffffff,4.0,0.0,0.0
834995fffffffff,2.0,0.0,0.0
834996fffffffff,1834.0,173.0,0.0
834998fffffffff,49.0,8.0,0.0
83499bfffffffff,11.0,1.0,0.0
83499cfffffffff,28.0,1.0,0.0
83499dfffffffff,7.0,0.0,0.0
83499efffffffff,13.0,0.0,0.0
8349a2fffffffff,9.0,0.0,0.0
8349a8fffffffff,140.0,8.0,0.0
8349a9fffffffff,696.0,52.0,0.0
8349aafffffffff,9.0,0.0,0.0
8349abfffffffff,35.0,0.0,0.0
8349acfffffffff,4.0,0.0,0.0
8349adfffffffff,24.0,0.0,0.0
8349aefffffffff,6.0,0.0,0.0
