cell_id,Turdus ignobilis,Turdus ignobilis ignobilis/goodfellowi,Turdus ignobilis debilis
845f75dffffffff,2.0,0.0,0.0
8466005ffffffff,4.0,0.0,0.0
846601bffffffff,62.0,2.0,0.0
8466021ffffffff,4.0,0.0,0.0
8466027ffffffff,2.0,0.0,0.0
8466067ffffffff,1.0,0.0,0.0
8466081ffffffff,285.0,2.0,0.0
8466083ffffffff,48.0,0.0,0.0
8466085ffffffff,34.0,0.0,0.0
8466087ffffffff,233.0,2.0,0.0
8466089ffffffff,582.0,0.0,0.0
846608bffffffff,18.0,0.0,0.0
846608dffffffff,1456.0,7.0,0.0
8466091ffffffff,9.0,0.0,0.0
8466093ffffffff,20.0,0.0,0.0
8466097ffffffff,35.0,0.0,0.0
8466099ffffffff,2.0,0.0,0.0
846609bffffffff,15.0,0.0,0.0
84660a1ffffffff,4.0,0.0,0.0
84660a3ffffffff,15.0,0.0,0.0
84660a5ffffffff,8.0,0.0,0.0
84660a7ffffffff,63.0,0.0,0.0
84660a9ffffffff,2.0,0.0,0.0
84660abffffffff,4.0,0.0,0.0
84660adffffffff,1.0,0.0,0.0
84660b3ffffffff,70.0,0.0,0.0
84660b5ffffffff,31.0,0.0,0.0
84660b7ffffffff,22.0,0.0,0.0
84660b9ffffffff,63.0,0.0,0.0
84660bbffffffff,18.0,0.0,0.0
84660bdffffffff,232.0,0.0,0.0
84660c1ffffffff,37.0,0.0,0.0
84660c3ffffffff,5.0,0.0,0.0
84660c5ffffffff,6.0,0.0,0.0
84660c7ffffffff,97.0,0.0,0.0
84660cbffffffff,91.0,0.0,0.0
84660d1ffffffff,55.0,0.0,0.0
84660d3ffffffff,35.0,0.0,0.0
84660d9ffffffff,11.0,0.0,0.0
84660dbffffffff,10.0,0.0,0.0
84660ddffffffff,28.0,0.0,0.0
84660e1ffffffff,10.0,0.0,0.0
84660e3ffffffff,14.0,0.0,0.0
84660e5ffffffff,1.0,0.0,0.0
84660ebffffffff,9.0,0.0,0.0
8466117ffffffff,1.0,0.0,0.0
8466181ffffffff,34.0,4.0,0.0
8466183ffffffff,1134.0,6.0,0.0
8466185ffffffff,5.0,0.0,0.0
8466187ffffffff,18.0,0.0,0.0
8466189ffffffff,86.0,0.0,0.0
846618bffffffff,196.0,0.0,0.0
846618dffffffff,7.0,0.0,0.0
8466191ffffffff,487.0,0.0,0.0
8466193ffffffff,1452.0,7.0,0.0
8466195ffffffff,320.0,0.0,0.0
8466197ffffffff,640.0,0.0,0.0
8466199ffffffff,303.0,0.0,0.0
846619bffffffff,437.0,0.0,0.0
846619dffffffff,1512.0,4.0,0.0
84661a5ffffffff,10.0,0.0,0.0
84661a7ffffffff,2.0,0.0,0.0
84661b1ffffffff,1452.0,129.0,0.0
84661b3ffffffff,1181.0,22.0,0.0
84661b7ffffffff,29.0,0.0,0.0
84661b9ffffffff,1763.0,8.0,0.0
84661bbffffffff,1965.0,10.0,0.0
84661bdffffffff,36.0,0.0,0.0
84661c3ffffffff,17.0,0.0,0.0
84661cbffffffff,1.0,0.0,0.0
84661d1ffffffff,523.0,5.0,0.0
84661d3ffffffff,21.0,0.0,0.0
84661d5ffffffff,47.0,0.0,0.0
84661d7ffffffff,234.0,0.0,0.0
84661d9ffffffff,4.0,0.0,0.0
84661dbffffffff,2.0,0.0,0.0
84661ddffffffff,48.0,0.0,0.0
84661ebffffffff,12.0,0.0,0.0
8466213ffffffff,1.0,0.0,0.0
8466291ffffffff,3.0,0.0,0.0
8466299ffffffff,2.0,0.0,0.0
846629bffffffff,7.0,0.0,0.0
846629dffffffff,43.0,0.0,0.0
84662b5ffffffff,10.0,0.0,0.0
84662b7ffffffff,31.0,0.0,0.0
84662d3ffffffff,97.0,0.0,0.0
84662d7ffffffff,2.0,0.0,0.0
84662e1ffffffff,4.0,0.0,0.0
8466411ffffffff,54.0,0.0,3.0
8466415ffffffff,57.0,0.0,0.0
8466417ffffffff,6.0,0.0,0.0
846641dffffffff,78.0,0.0,21.0
8466437ffffffff,1.0,0.0,0.0
846645dffffffff,1.0,0.0,0.0
8466505ffffffff,20.0,0.0,0.0
8466509ffffffff,19.0,0.0,0.0
8466529ffffffff,245.0,0.0,0.0
846652dffffffff,76.0,0.0,0.0
8466537ffffffff,6.0,0.0,0.0
8466543ffffffff,2.0,0.0,0.0
8466545ffffffff,67.0,0.0,0.0
8466549ffffffff,21.0,0.0,0.0
846654bffffffff,25.0,0.0,0.0
846654dffffffff,6.0,0.0,0.0
8466561ffffffff,31.0,0.0,0.0
8466563ffffffff,6.0,0.0,0.0
8466565ffffffff,53.0,0.0,0.0
8466567ffffffff,5.0,0.0,0.0
8466569ffffffff,37.0,0.0,0.0
846656bffffffff,6.0,0.0,0.0
846656dffffffff,214.0,0.0,0.0
84665abffffffff,17.0,0.0,2.0
84665bdffffffff,6.0,0.0,0.0
84665e9ffffffff,11.0,0.0,0.0
8466631ffffffff,5.0,0.0,0.0
8466635ffffffff,2.0,0.0,0.0
8466639ffffffff,10.0,0.0,0.0
846663dffffffff,8.0,0.0,0.0
846670dffffffff,11.0,0.0,0.0
8466725ffffffff,11.0,0.0,0.0
8466727ffffffff,96.0,0.0,0.0
8466729ffffffff,1.0,0.0,0.0
8466733ffffffff,1.0,0.0,0.0
8466735ffffffff,12.0,0.0,0.0
8466737ffffffff,36.0,0.0,0.0
8466763ffffffff,18.0,0.0,0.0
8466c01ffffffff,329.0,0.0,16.0
8466c03ffffffff,2.0,0.0,0.0
8466c05ffffffff,64.0,0.0,0.0
8466c07ffffffff,7.0,0.0,0.0
8466c09ffffffff,21.0,0.0,0.0
8466c0dffffffff,485.0,4.0,3.0
8466c15ffffffff,28.0,0.0,0.0
8466c17ffffffff,4.0,0.0,0.0
8466c19ffffffff,3.0,0.0,0.0
8466c1dffffffff,12.0,0.0,0.0
8466c21ffffffff,1089.0,0.0,41.0
8466c23ffffffff,312.0,0.0,3.0
8466c27ffffffff,132.0,0.0,0.0
8466c29ffffffff,312.0,0.0,2.0
8466c2bffffffff,56.0,0.0,0.0
8466c2dffffffff,299.0,0.0,9.0
8466c33ffffffff,5.0,0.0,0.0
8466c35ffffffff,4.0,0.0,0.0
8466c37ffffffff,11.0,0.0,0.0
8466c39ffffffff,2.0,0.0,0.0
8466c41ffffffff,263.0,0.0,0.0
8466c45ffffffff,189.0,0.0,0.0
8466c47ffffffff,376.0,0.0,0.0
8466c49ffffffff,360.0,0.0,0.0
8466c4bffffffff,31.0,0.0,0.0
8466c4dffffffff,107.0,0.0,0.0
8466c53ffffffff,5.0,0.0,0.0
8466c55ffffffff,2.0,0.0,0.0
8466c57ffffffff,32.0,0.0,0.0
8466c59ffffffff,4.0,0.0,0.0
8466c5bffffffff,13.0,0.0,0.0
8466c5dffffffff,105.0,0.0,0.0
8466c61ffffffff,22.0,0.0,0.0
8466c63ffffffff,1072.0,30.0,0.0
8466c65ffffffff,74.0,0.0,0.0
8466c67ffffffff,291.0,0.0,0.0
8466c69ffffffff,32.0,0.0,0.0
8466c6bffffffff,128.0,0.0,0.0
8466c6dffffffff,1263.0,6.0,0.0
8466c95ffffffff,13.0,0.0,0.0
8466cc5ffffffff,2.0,0.0,2.0
8466cdbffffffff,2.0,0.0,0.0
8466ce1ffffffff,102.0,0.0,13.0
8466ce9ffffffff,25.0,0.0,0.0
8466cedffffffff,13.0,0.0,0.0
8466d0bffffffff,5.0,0.0,0.0
8466d0dffffffff,4.0,0.0,0.0
8466d13ffffffff,14.0,0.0,2.0
8466d19ffffffff,13.0,0.0,0.0
8466d1bffffffff,51.0,0.0,0.0
8466d51ffffffff,22.0,0.0,0.0
8466d53ffffffff,81.0,0.0,0.0
8466d55ffffffff,7.0,0.0,0.0
8466d57ffffffff,14.0,0.0,0.0
8466d59ffffffff,10.0,0.0,0.0
8466d5bffffffff,29.0,0.0,0.0
8466d81ffffffff,9.0,0.0,2.0
8466d8dffffffff,31.0,0.0,0.0
8466da1ffffffff,26.0,0.0,2.0
8466da3ffffffff,3.0,0.0,0.0
8466da7ffffffff,75.0,0.0,0.0
8466da9ffffffff,14.0,0.0,0.0
8466dabffffffff,2.0,0.0,0.0
8466dadffffffff,425.0,0.0,36.0
8466db1ffffffff,30.0,0.0,0.0
8466db5ffffffff,26.0,0.0,0.0
8466dc1ffffffff,9.0,0.0,0.0
8466dc3ffffffff,719.0,0.0,60.0
8466dc7ffffffff,149.0,0.0,18.0
8466dc9ffffffff,228.0,0.0,13.0
8466dcbffffffff,25.0,0.0,4.0
8466dcdffffffff,10.0,0.0,0.0
8466dd1ffffffff,5.0,0.0,0.0
8466dd3ffffffff,4.0,0.0,0.0
8466dd5ffffffff,15.0,0.0,0.0
8466dd7ffffffff,6.0,0.0,0.0
8466dd9ffffffff,4.0,0.0,0.0
8466ddbffffffff,12.0,0.0,0.0
8466dddffffffff,24.0,0.0,4.0
8466de1ffffffff,2501.0,0.0,187.0
8466de3ffffffff,361.0,0.0,41.0
8466de7ffffffff,310.0,0.0,29.0
8466de9ffffffff,27.0,0.0,1.0
8466debffffffff,126.0,0.0,13.0
8466dedffffffff,55.0,0.0,5.0
8466e01ffffffff,56.0,0.0,0.0
8466e03ffffffff,57.0,0.0,0.0
8466e05ffffffff,79.0,0.0,0.0
8466e07ffffffff,13.0,0.0,0.0
8466e09ffffffff,338.0,2.0,0.0
8466e0bffffffff,808.0,2.0,0.0
8466e0dffffffff,959.0,1.0,0.0
8466e11ffffffff,103.0,0.0,0.0
8466e13ffffffff,14.0,0.0,0.0
8466e15ffffffff,312.0,0.0,0.0
8466e17ffffffff,44.0,0.0,0.0
8466e19ffffffff,36.0,0.0,0.0
8466e1dffffffff,332.0,0.0,0.0
8466e21ffffffff,20.0,0.0,0.0
8466e23ffffffff,82.0,0.0,0.0
8466e25ffffffff,1.0,0.0,0.0
8466e27ffffffff,78.0,0.0,0.0
8466e29ffffffff,44.0,0.0,0.0
8466e2bffffffff,25.0,0.0,0.0
8466e2dffffffff,149.0,0.0,0.0
8466e31ffffffff,4.0,0.0,0.0
8466e35ffffffff,3.0,0.0,0.0
8466e37ffffffff,8.0,0.0,0.0
8466e39ffffffff,41.0,0.0,0.0
8466e3bffffffff,46.0,0.0,0.0
8466e3dffffffff,21.0,0.0,0.0
8466e41ffffffff,1064.0,16.0,0.0
8466e43ffffffff,30.0,0.0,0.0
8466e45ffffffff,319.0,0.0,0.0
8466e47ffffffff,1452.0,9.0,0.0
8466e49ffffffff,274.0,0.0,0.0
8466e4bffffffff,5.0,2.0,0.0
8466e4dffffffff,36.0,0.0,0.0
8466e51ffffffff,137.0,0.0,0.0
8466e53ffffffff,213.0,0.0,0.0
8466e55ffffffff,93.0,0.0,0.0
8466e57ffffffff,2993.0,0.0,6.0
8466e59ffffffff,353.0,12.0,0.0
8466e5bffffffff,53.0,0.0,0.0
8466e5dffffffff,32.0,0.0,0.0
8466e61ffffffff,106.0,4.0,0.0
8466e63ffffffff,806.0,5.0,0.0
8466e65ffffffff,5445.0,126.0,0.0
8466e67ffffffff,1611.0,16.0,0.0
8466e69ffffffff,1648.0,4.0,0.0
8466e6bffffffff,82.0,0.0,0.0
8466e6dffffffff,6499.0,47.0,0.0
8466e8dffffffff,8.0,0.0,0.0
8466e9dffffffff,2.0,0.0,0.0
8466eadffffffff,7.0,0.0,0.0
8466ec1ffffffff,18.0,0.0,0.0
8466ec3ffffffff,5.0,0.0,0.0
8466ec5ffffffff,26.0,0.0,0.0
8466ec7ffffffff,285.0,0.0,8.0
8466ec9ffffffff,11.0,0.0,0.0
8466ecbffffffff,273.0,0.0,1.0
8466ee1ffffffff,1.0,0.0,0.0
8466ee5ffffffff,485.0,0.0,3.0
8466ee7ffffffff,8.0,0.0,0.0
8466eebffffffff,6.0,0.0,0.0
8466eedffffffff,4.0,0.0,0.0
8466f01ffffffff,3.0,0.0,0.0
8466f03ffffffff,365.0,4.0,0.0
8466f0bffffffff,167.0,0.0,0.0
8466f11ffffffff,558.0,0.0,0.0
8466f13ffffffff,5.0,0.0,0.0
8466f15ffffffff,618.0,9.0,0.0
8466f17ffffffff,323.0,0.0,0.0
8466f19ffffffff,947.0,2.0,0.0
8466f1bffffffff,9.0,0.0,0.0
8466f1dffffffff,8196.0,104.0,0.0
8466f33ffffffff,17.0,0.0,0.0
