cell_id,Hafferia zeledoni,Hafferia zeledoni zeledoni,Hafferia zeledoni berlepschi
826617fffffffff,23.0,3.0,6.0
82661ffffffffff,17.0,0.0,4.0
8266a7fffffffff,2.0,0.0,0.0
8266b7fffffffff,9.0,3.0,0.0
8266f7fffffffff,6.0,0.0,0.0
82679ffffffffff,1.0,0.0,0.0
826d6ffffffffff,22.0,11.0,0.0
828f2ffffffffff,2.0,0.0,2.0
