cell_id,Polioptila albiloris,Polioptila albiloris vanrossemi,Polioptila albiloris albiloris
824527fffffffff,650.0,0.0,0.0
824537fffffffff,358.0,0.0,0.0
824987fffffffff,10.0,0.0,0.0
824997fffffffff,11.0,0.0,0.0
8249a7fffffffff,28.0,0.0,0.0
8249b7fffffffff,105.0,0.0,0.0
8266b7fffffffff,13.0,0.0,0.0
826d07fffffffff,687.0,0.0,0.0
826d17fffffffff,848.0,0.0,0.0
826d27fffffffff,354.0,0.0,0.0
826d2ffffffffff,329.0,0.0,0.0
826d37fffffffff,1316.0,0.0,0.0
826d67fffffffff,2891.0,0.0,0.0
826d6ffffffffff,5389.0,0.0,0.0
826d77fffffffff,322.0,0.0,0.0
