cell_id,Cinnyris venustus,Cinnyris venustus [venustus Group],Cinnyris venustus igneiventris,Cinnyris venustus albiventris
825287fffffffff,55.0,9.0,0.0,0.0
82528ffffffffff,4.0,0.0,0.0,0.0
825297fffffffff,21.0,0.0,0.0,0.0
82529ffffffffff,289.0,55.0,0.0,5.0
8252affffffffff,2.0,0.0,0.0,0.0
8252cffffffffff,1.0,0.0,0.0,1.0
8252d7fffffffff,6.0,0.0,0.0,2.0
8252dffffffffff,1.0,0.0,0.0,1.0
825417fffffffff,11.0,0.0,0.0,0.0
82541ffffffffff,80.0,18.0,0.0,0.0
8254affffffffff,416.0,57.0,0.0,0.0
8254c7fffffffff,12.0,0.0,0.0,0.0
8254cffffffffff,3.0,0.0,0.0,0.0
8254e7fffffffff,29.0,1.0,0.0,0.0
8254effffffffff,1.0,0.0,0.0,0.0
8254f7fffffffff,288.0,26.0,0.0,0.0
82580ffffffffff,2.0,0.0,0.0,0.0
82585ffffffffff,1.0,0.0,0.0,0.0
825887fffffffff,5.0,0.0,0.0,0.0
82588ffffffffff,2.0,0.0,0.0,0.0
825897fffffffff,107.0,4.0,0.0,0.0
82589ffffffffff,1.0,0.0,0.0,0.0
8258a7fffffffff,4.0,2.0,0.0,0.0
8258c7fffffffff,3.0,0.0,0.0,0.0
8258cffffffffff,3.0,0.0,0.0,0.0
8258d7fffffffff,3.0,0.0,0.0,0.0
8258dffffffffff,11.0,0.0,0.0,0.0
8258e7fffffffff,181.0,0.0,0.0,0.0
8258effffffffff,1.0,1.0,0.0,0.0
8258f7fffffffff,4.0,1.0,0.0,0.0
82599ffffffffff,5.0,5.0,0.0,0.0
826a4ffffffffff,10.0,2.0,0.0,0.0
826a5ffffffffff,40.0,0.0,0.0,0.0
826a67fffffffff,3.0,3.0,0.0,0.0
826a6ffffffffff,19.0,4.0,0.0,0.0
826ac7fffffffff,158.0,0.0,11.0,0.0
826acffffffffff,243.0,8.0,13.0,0.0
826adffffffffff,1112.0,56.0,143.0,0.0
826aeffffffffff,105.0,0.0,7.0,0.0
82750ffffffffff,5.0,2.0,0.0,0.0
827527fffffffff,11.0,3.0,0.0,0.0
82752ffffffffff,26.0,0.0,0.0,0.0
827537fffffffff,2.0,2.0,0.0,0.0
827577fffffffff,2.0,0.0,0.0,0.0
827587fffffffff,1.0,0.0,0.0,0.0
8275a7fffffffff,3.0,0.0,0.0,0.0
827a47fffffffff,440.0,73.0,0.0,0.0
827a4ffffffffff,374.0,62.0,0.0,0.0
827a5ffffffffff,4.0,0.0,0.0,4.0
827a67fffffffff,743.0,60.0,0.0,0.0
827a6ffffffffff,2039.0,426.0,0.0,0.0
827a77fffffffff,17.0,0.0,0.0,6.0
827acffffffffff,530.0,113.0,0.0,6.0
827adffffffffff,37.0,3.0,0.0,1.0
827aeffffffffff,109.0,7.0,0.0,37.0
827b4ffffffffff,60.0,13.0,0.0,0.0
827b5ffffffffff,11.0,0.0,0.0,0.0
827b6ffffffffff,3.0,0.0,0.0,0.0
828317fffffffff,3.0,1.0,0.0,0.0
828327fffffffff,13.0,5.0,0.0,0.0
828337fffffffff,26.0,10.0,0.0,0.0
8283a7fffffffff,5.0,1.0,0.0,0.0
8283affffffffff,8.0,2.0,0.0,0.0
829607fffffffff,42.0,7.0,0.0,0.0
82960ffffffffff,33.0,12.0,0.0,0.0
829617fffffffff,18.0,9.0,0.0,0.0
829627fffffffff,231.0,17.0,0.0,0.0
82962ffffffffff,14.0,0.0,0.0,0.0
829637fffffffff,61.0,17.0,0.0,0.0
82964ffffffffff,2.0,0.0,0.0,0.0
829657fffffffff,11.0,6.0,0.0,0.0
829677fffffffff,5.0,2.0,0.0,0.0
829687fffffffff,4.0,2.0,0.0,0.0
82968ffffffffff,4.0,0.0,0.0,0.0
829697fffffffff,1404.0,255.0,0.0,0.0
82969ffffffffff,4.0,1.0,0.0,0.0
8296a7fffffffff,102.0,46.0,0.0,0.0
8296affffffffff,27.0,6.0,0.0,0.0
8296b7fffffffff,349.0,27.0,0.0,0.0
829707fffffffff,164.0,37.0,0.0,0.0
82970ffffffffff,7.0,3.0,0.0,0.0
829717fffffffff,45.0,10.0,0.0,0.0
82971ffffffffff,263.0,55.0,0.0,0.0
829757fffffffff,16.0,3.0,0.0,0.0
829777fffffffff,2.0,0.0,0.0,0.0
82978ffffffffff,49.0,27.0,0.0,0.0
829797fffffffff,3.0,0.0,0.0,0.0
82979ffffffffff,17.0,3.0,0.0,0.0
8297affffffffff,39.0,12.0,0.0,0.0
