cell_id,Piranga flava,Piranga flava [hepatica Group],Piranga flava [lutea Group],Piranga flava [flava Group]
8426887ffffffff,2.0,0.0,0.0,0.0
84268b3ffffffff,2.0,0.0,0.0,0.0
84268b9ffffffff,76.0,0.0,0.0,0.0
84268bbffffffff,2.0,0.0,0.0,0.0
8426d05ffffffff,2.0,0.0,0.0,0.0
8426d2dffffffff,13.0,0.0,0.0,0.0
8426d6bffffffff,3.0,0.0,0.0,0.0
8426d6dffffffff,13.0,0.0,0.0,0.0
8429941ffffffff,2.0,0.0,0.0,0.0
842994dffffffff,13.0,0.0,0.0,0.0
8429b03ffffffff,42.0,7.0,0.0,0.0
8429b05ffffffff,1.0,0.0,0.0,0.0
8429b21ffffffff,15.0,3.0,0.0,0.0
8429b25ffffffff,68.0,18.0,0.0,0.0
8429b27ffffffff,4.0,0.0,0.0,0.0
8429b29ffffffff,93.0,4.0,0.0,0.0
8429b2bffffffff,7.0,0.0,0.0,0.0
8429b2dffffffff,123.0,1.0,0.0,0.0
8429b61ffffffff,19.0,4.0,0.0,0.0
8429b63ffffffff,9.0,0.0,0.0,0.0
8429b67ffffffff,198.0,11.0,0.0,0.0
8429b6bffffffff,3.0,0.0,0.0,0.0
8429b6dffffffff,3.0,0.0,0.0,0.0
8445059ffffffff,3.0,0.0,0.0,0.0
844505bffffffff,6.0,0.0,0.0,0.0
8445201ffffffff,16.0,0.0,0.0,0.0
8445205ffffffff,4.0,0.0,0.0,0.0
8445209ffffffff,25.0,0.0,0.0,0.0
844520dffffffff,11.0,0.0,0.0,0.0
8445233ffffffff,59.0,0.0,0.0,0.0
844523bffffffff,60.0,0.0,0.0,0.0
8445241ffffffff,70.0,0.0,0.0,0.0
8445243ffffffff,275.0,0.0,0.0,0.0
8445245ffffffff,60.0,0.0,0.0,0.0
8445247ffffffff,255.0,0.0,0.0,0.0
8445249ffffffff,2.0,0.0,0.0,0.0
844524bffffffff,107.0,0.0,0.0,0.0
844524dffffffff,2.0,0.0,0.0,0.0
8445251ffffffff,17.0,0.0,0.0,0.0
8445253ffffffff,8.0,0.0,0.0,0.0
8445255ffffffff,29.0,0.0,0.0,0.0
8445257ffffffff,33.0,0.0,0.0,0.0
844525bffffffff,39.0,0.0,0.0,0.0
844525dffffffff,14.0,0.0,0.0,0.0
8445261ffffffff,36.0,0.0,0.0,0.0
8445263ffffffff,83.0,0.0,0.0,0.0
8445267ffffffff,5.0,0.0,0.0,0.0
8445269ffffffff,9.0,0.0,0.0,0.0
844526bffffffff,112.0,0.0,0.0,0.0
844526dffffffff,40.0,0.0,0.0,0.0
84452e1ffffffff,3023.0,88.0,0.0,0.0
84452e5ffffffff,196.0,27.0,0.0,0.0
84452e7ffffffff,69.0,0.0,0.0,0.0
84452e9ffffffff,3.0,0.0,0.0,0.0
84452edffffffff,312.0,8.0,0.0,0.0
8445309ffffffff,15.0,0.0,0.0,0.0
8445321ffffffff,2.0,0.0,0.0,0.0
8445343ffffffff,2.0,0.0,0.0,0.0
8445349ffffffff,3.0,0.0,0.0,0.0
8445351ffffffff,56.0,0.0,0.0,0.0
8445353ffffffff,3.0,0.0,0.0,0.0
8445355ffffffff,31.0,0.0,0.0,0.0
8445359ffffffff,2.0,0.0,0.0,0.0
8445365ffffffff,160.0,0.0,0.0,0.0
8445367ffffffff,7.0,0.0,0.0,0.0
8448027ffffffff,1.0,0.0,0.0,0.0
8448097ffffffff,1.0,0.0,0.0,0.0
84480adffffffff,322.0,0.0,0.0,0.0
8448101ffffffff,2.0,0.0,0.0,0.0
8448109ffffffff,2.0,0.0,0.0,0.0
8448141ffffffff,7.0,0.0,0.0,0.0
8448143ffffffff,2.0,0.0,0.0,0.0
8448145ffffffff,1.0,0.0,0.0,0.0
8448147ffffffff,38.0,0.0,0.0,0.0
844814bffffffff,20.0,0.0,0.0,0.0
844814dffffffff,9.0,0.0,0.0,0.0
844815bffffffff,3.0,0.0,0.0,0.0
844816bffffffff,11.0,0.0,0.0,0.0
844818bffffffff,3.0,0.0,0.0,0.0
8448191ffffffff,5.0,0.0,0.0,0.0
8448193ffffffff,12.0,0.0,0.0,0.0
8448197ffffffff,4.0,0.0,0.0,0.0
8448199ffffffff,5.0,0.0,0.0,0.0
844819bffffffff,1.0,0.0,0.0,0.0
844819dffffffff,38.0,0.0,0.0,0.0
84481c1ffffffff,4.0,0.0,0.0,0.0
84481c5ffffffff,2.0,0.0,0.0,0.0
84481d5ffffffff,4.0,0.0,0.0,0.0
84481d7ffffffff,36.0,0.0,0.0,0.0
8448321ffffffff,7.0,0.0,0.0,0.0
8448323ffffffff,4.0,0.0,0.0,0.0
8448325ffffffff,21.0,0.0,0.0,0.0
8448331ffffffff,3.0,0.0,0.0,0.0
8448333ffffffff,1.0,0.0,0.0,0.0
8448337ffffffff,841.0,7.0,0.0,0.0
844833bffffffff,2.0,0.0,0.0,0.0
8448361ffffffff,556.0,47.0,0.0,0.0
8448365ffffffff,82.0,1.0,0.0,0.0
8448367ffffffff,23.0,2.0,0.0,0.0
8448369ffffffff,22.0,0.0,0.0,0.0
844836dffffffff,272.0,13.0,0.0,0.0
8448847ffffffff,2.0,0.0,0.0,0.0
8448849ffffffff,2.0,0.0,0.0,0.0
844884bffffffff,13.0,0.0,0.0,0.0
8448853ffffffff,1.0,0.0,0.0,0.0
8448859ffffffff,1.0,0.0,0.0,0.0
84488d1ffffffff,5.0,0.0,0.0,0.0
84488d3ffffffff,5.0,0.0,0.0,0.0
84488d9ffffffff,2.0,0.0,0.0,0.0
8448a05ffffffff,7.0,0.0,0.0,0.0
8448a21ffffffff,634.0,12.0,0.0,0.0
8448a23ffffffff,2.0,0.0,0.0,0.0
8448a27ffffffff,15.0,2.0,0.0,0.0
8448a29ffffffff,120.0,0.0,0.0,0.0
8448a2bffffffff,35.0,1.0,0.0,0.0
8448a2dffffffff,59.0,7.0,0.0,0.0
8448a39ffffffff,2.0,0.0,0.0,0.0
8448a65ffffffff,3.0,0.0,0.0,0.0
8448a67ffffffff,22.0,0.0,0.0,0.0
8448a6dffffffff,14.0,0.0,0.0,0.0
8448ab3ffffffff,41.0,0.0,0.0,0.0
8448ab7ffffffff,868.0,59.0,0.0,0.0
8448b51ffffffff,9.0,0.0,0.0,0.0
8448b57ffffffff,1.0,0.0,0.0,0.0
8448b5bffffffff,16.0,1.0,0.0,0.0
8448c01ffffffff,2.0,0.0,0.0,0.0
8448c03ffffffff,96.0,26.0,0.0,0.0
8448c07ffffffff,7.0,0.0,0.0,0.0
8448c09ffffffff,2.0,0.0,0.0,0.0
8448c0bffffffff,106.0,14.0,0.0,0.0
8448c11ffffffff,35.0,0.0,0.0,0.0
8448c13ffffffff,19.0,14.0,0.0,0.0
8448c15ffffffff,19.0,2.0,0.0,0.0
8448c17ffffffff,7.0,0.0,0.0,0.0
8448c19ffffffff,45.0,2.0,0.0,0.0
8448c1bffffffff,24.0,12.0,0.0,0.0
8448c1dffffffff,47.0,3.0,0.0,0.0
8448c25ffffffff,6.0,0.0,0.0,0.0
8448c27ffffffff,3.0,1.0,0.0,0.0
8448c2bffffffff,2.0,0.0,0.0,0.0
8448c2dffffffff,9.0,0.0,0.0,0.0
8448c31ffffffff,31.0,0.0,0.0,0.0
8448c33ffffffff,1.0,0.0,0.0,0.0
8448c35ffffffff,225.0,10.0,0.0,0.0
8448c39ffffffff,8.0,0.0,0.0,0.0
