cell_id,Macropygia doreya,Macropygia doreya [albicapilla Group],Macropygia doreya [doreya Group]
8468c23ffffffff,2.0,0.0,0.0
8468c27ffffffff,2.0,0.0,0.0
8468c37ffffffff,1.0,1.0,0.0
8468c3dffffffff,13.0,1.0,0.0
8468c81ffffffff,112.0,29.0,0.0
8468c89ffffffff,2.0,1.0,0.0
8468c8bffffffff,136.0,50.0,0.0
8468ca9ffffffff,44.0,15.0,0.0
8468cadffffffff,1.0,1.0,0.0
8468cd1ffffffff,4.0,4.0,0.0
8468cd7ffffffff,1.0,1.0,0.0
8468ce7ffffffff,93.0,22.0,0.0
8468d13ffffffff,5.0,2.0,0.0
8468d23ffffffff,21.0,11.0,0.0
8468d29ffffffff,23.0,0.0,0.0
8468d2bffffffff,229.0,59.0,0.0
8468d81ffffffff,2.0,2.0,0.0
8468d83ffffffff,2.0,0.0,0.0
8468d85ffffffff,32.0,30.0,0.0
8468d87ffffffff,8.0,4.0,0.0
8468d8bffffffff,4.0,4.0,0.0
8468d8dffffffff,2.0,2.0,0.0
8468dcdffffffff,8.0,8.0,0.0
8468ddbffffffff,37.0,8.0,0.0
8472895ffffffff,5.0,0.0,0.0
84728b9ffffffff,7.0,0.0,0.0
84728bbffffffff,2.0,0.0,0.0
8472a2bffffffff,61.0,0.0,11.0
8472b03ffffffff,1.0,0.0,0.0
8472b49ffffffff,2.0,0.0,2.0
8472f23ffffffff,25.0,0.0,0.0
8472f35ffffffff,2.0,0.0,0.0
8473901ffffffff,34.0,0.0,8.0
8473905ffffffff,40.0,0.0,3.0
8473907ffffffff,61.0,0.0,5.0
8473909ffffffff,2.0,0.0,2.0
847390bffffffff,111.0,0.0,21.0
847390dffffffff,29.0,0.0,4.0
8473925ffffffff,10.0,0.0,0.0
8473927ffffffff,1.0,0.0,0.0
8473951ffffffff,3.0,0.0,0.0
8473959ffffffff,2.0,0.0,2.0
847395bffffffff,7.0,0.0,1.0
847395dffffffff,1.0,0.0,1.0
8473985ffffffff,1.0,0.0,0.0
8473987ffffffff,1.0,0.0,0.0
84739a1ffffffff,4.0,0.0,0.0
84739a9ffffffff,12.0,0.0,0.0
84739abffffffff,130.0,0.0,16.0
84739b1ffffffff,64.0,0.0,5.0
84739b5ffffffff,33.0,0.0,2.0
8473b09ffffffff,7.0,2.0,0.0
8473b51ffffffff,1.0,1.0,0.0
8473b61ffffffff,6.0,2.0,0.0
849500bffffffff,36.0,25.0,0.0
8495055ffffffff,15.0,15.0,0.0
84950d1ffffffff,1.0,0.0,0.0
8495289ffffffff,1.0,1.0,0.0
84952d5ffffffff,2.0,0.0,0.0
8495605ffffffff,5.0,0.0,0.0
8495613ffffffff,108.0,0.0,2.0
8495617ffffffff,2.0,0.0,0.0
8495661ffffffff,15.0,1.0,0.0
84956c5ffffffff,8.0,0.0,1.0
84956c7ffffffff,5.0,0.0,0.0
84956d3ffffffff,18.0,0.0,0.0
8495725ffffffff,8.0,8.0,0.0
849576dffffffff,2.0,2.0,0.0
