cell_id,Chalcothraupis ruficervix,Chalcothraupis ruficervix [ruficervix Group],Chalcothraupis ruficervix [fulvicervix Group]
836608fffffffff,45.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0
83660bfffffffff,25.0,0.0,0.0
836618fffffffff,40.0,0.0,0.0
836619fffffffff,18.0,0.0,0.0
83661afffffffff,2.0,0.0,0.0
83661bfffffffff,482.0,5.0,0.0
83661dfffffffff,1.0,0.0,0.0
8366c0fffffffff,21.0,0.0,0.0
8366c2fffffffff,73.0,0.0,0.0
8366c4fffffffff,86.0,0.0,0.0
8366c6fffffffff,169.0,0.0,0.0
8366d0fffffffff,247.0,5.0,0.0
8366d1fffffffff,14.0,0.0,0.0
8366d2fffffffff,3.0,0.0,0.0
8366d3fffffffff,7742.0,470.0,0.0
8366d5fffffffff,5.0,0.0,0.0
8366dafffffffff,4.0,0.0,0.0
8366defffffffff,365.0,16.0,0.0
8366e0fffffffff,44.0,0.0,0.0
8366e2fffffffff,38.0,0.0,0.0
8366e3fffffffff,2.0,0.0,0.0
8366e4fffffffff,1.0,0.0,0.0
8366e5fffffffff,27.0,0.0,0.0
8366e6fffffffff,240.0,5.0,0.0
8366f0fffffffff,29.0,0.0,0.0
8366f1fffffffff,3524.0,43.0,0.0
8366f3fffffffff,4.0,0.0,0.0
8366f5fffffffff,374.0,0.0,0.0
838b20fffffffff,1.0,0.0,0.0
838b21fffffffff,5.0,0.0,0.0
838b2cfffffffff,17.0,0.0,0.0
838b2dfffffffff,4.0,0.0,0.0
838b61fffffffff,504.0,0.0,3.0
838b6cfffffffff,409.0,0.0,1.0
838b75fffffffff,29.0,0.0,0.0
838e64fffffffff,112.0,0.0,0.0
838e65fffffffff,31.0,0.0,0.0
838e6cfffffffff,7.0,0.0,0.0
838f0dfffffffff,86.0,4.0,0.0
838f29fffffffff,37.0,0.0,0.0
838f2bfffffffff,30.0,0.0,0.0
838f2dfffffffff,5.0,0.0,0.0
838f42fffffffff,29.0,0.0,0.0
838f43fffffffff,72.0,0.0,0.0
838f46fffffffff,77.0,0.0,0.0
838f4afffffffff,12.0,0.0,0.0
838f54fffffffff,52.0,0.0,0.0
838f55fffffffff,14.0,0.0,0.0
838f59fffffffff,2.0,0.0,0.0
838f5cfffffffff,5.0,0.0,0.0
838f5dfffffffff,9.0,0.0,0.0
838f70fffffffff,6.0,0.0,0.0
838f72fffffffff,67.0,0.0,0.0
838f73fffffffff,38.0,0.0,0.0
838f76fffffffff,22.0,0.0,0.0
83b321fffffffff,1.0,0.0,0.0
83b325fffffffff,19.0,0.0,0.0
