cell_id,Diglossa cyanea,Diglossa cyanea [cyanea Group],Diglossa cyanea melanopis
8466089ffffffff,5.0,0.0,0.0
84660bdffffffff,3.0,0.0,0.0
84660ddffffffff,6.0,0.0,0.0
84661bbffffffff,3.0,0.0,0.0
8466d31ffffffff,44.0,0.0,0.0
8466d33ffffffff,2.0,0.0,0.0
8466dedffffffff,2.0,0.0,0.0
8466e67ffffffff,2.0,0.0,0.0
8466e6dffffffff,2.0,0.0,0.0
8466f19ffffffff,4.0,0.0,0.0
8466f1dffffffff,3.0,0.0,0.0
8467413ffffffff,5.0,0.0,0.0
84674e9ffffffff,7.0,0.0,0.0
84675a5ffffffff,2.0,0.0,0.0
84675e3ffffffff,2.0,0.0,0.0
848b611ffffffff,2.0,0.0,2.0
848b617ffffffff,17.0,0.0,17.0
848b6cdffffffff,4.0,0.0,4.0
848f0dbffffffff,4.0,0.0,0.0
848f547ffffffff,7.0,0.0,0.0
848f765ffffffff,1.0,0.0,0.0
