cell_id,Lathrotriccus euleri,Lathrotriccus euleri [flaviventris Group],Lathrotriccus euleri euleri/argentinus
845f583ffffffff,4.0,3.0,0.0
8466099ffffffff,1.0,0.0,0.0
84660d1ffffffff,4.0,0.0,0.0
8466e0bffffffff,2.0,0.0,0.0
8466e59ffffffff,5.0,0.0,0.0
8466ec5ffffffff,2.0,0.0,0.0
8466ec7ffffffff,2.0,0.0,0.0
8467413ffffffff,1.0,0.0,0.0
8467425ffffffff,2.0,0.0,0.0
84674c7ffffffff,6.0,0.0,0.0
846758dffffffff,2.0,0.0,0.0
8480363ffffffff,2.0,0.0,2.0
8481363ffffffff,1.0,0.0,1.0
848b61dffffffff,5.0,0.0,0.0
848f461ffffffff,1.0,0.0,0.0
84a918bffffffff,2.0,0.0,0.0
84a919dffffffff,1.0,0.0,0.0
84a92cbffffffff,3.0,0.0,0.0
84a9419ffffffff,1.0,0.0,0.0
84a945bffffffff,5.0,0.0,0.0
84a94ddffffffff,2.0,0.0,0.0
84a9507ffffffff,6.0,0.0,0.0
84a9525ffffffff,1.0,0.0,0.0
84a9533ffffffff,1.0,0.0,0.0
84a953bffffffff,1.0,0.0,0.0
84a9611ffffffff,4.0,0.0,0.0
84a9613ffffffff,17.0,0.0,0.0
84a9617ffffffff,14.0,0.0,0.0
84a9619ffffffff,18.0,0.0,0.0
84a9623ffffffff,9.0,0.0,0.0
84a9645ffffffff,2.0,0.0,0.0
84a9653ffffffff,13.0,0.0,0.0
84a96c5ffffffff,13.0,0.0,0.0
84a96e9ffffffff,9.0,0.0,0.0
84a9717ffffffff,1.0,0.0,0.0
84b243dffffffff,9.0,0.0,0.0
84b24d3ffffffff,2.0,0.0,0.0
84b2693ffffffff,3.0,0.0,0.0
84b2695ffffffff,1.0,0.0,0.0
84b26bdffffffff,5.0,0.0,0.0
84b26d1ffffffff,8.0,0.0,0.0
84b2709ffffffff,3.0,0.0,0.0
84b2723ffffffff,8.0,0.0,0.0
84b2727ffffffff,4.0,0.0,0.0
84b3425ffffffff,2.0,1.0,0.0
84b3429ffffffff,1.0,0.0,0.0
84b3445ffffffff,9.0,0.0,0.0
84b3447ffffffff,2.0,0.0,0.0
84b34b1ffffffff,4.0,0.0,0.0
84b3513ffffffff,4.0,0.0,0.0
84b3589ffffffff,2.0,0.0,0.0
84b35c5ffffffff,4.0,0.0,2.0
84b35e9ffffffff,2.0,0.0,0.0
84c2c5bffffffff,2.0,0.0,0.0
84c2c97ffffffff,2.0,0.0,0.0
84c2cc7ffffffff,1.0,0.0,0.0
84c2cd3ffffffff,2.0,0.0,0.0
84c2d85ffffffff,1.0,0.0,0.0
84c2e31ffffffff,2.0,0.0,0.0
