cell_id,Artamus cinereus,Artamus cinereus normani/inkermani,Artamus cinereus [cinereus Group]
849404dffffffff,1.0,0.0,0.0
8494187ffffffff,4.0,0.0,0.0
84941b1ffffffff,2.0,0.0,0.0
84941b7ffffffff,3.0,0.0,0.0
84941bdffffffff,11.0,0.0,0.0
8494213ffffffff,6.0,0.0,0.0
8494235ffffffff,4.0,0.0,0.0
8494289ffffffff,1.0,0.0,0.0
84942c1ffffffff,16.0,0.0,0.0
84942c3ffffffff,18.0,0.0,0.0
84942cdffffffff,4.0,0.0,0.0
84942d1ffffffff,10.0,0.0,0.0
84942d3ffffffff,9.0,0.0,0.0
84942d5ffffffff,2.0,0.0,0.0
8494511ffffffff,63.0,0.0,0.0
8494515ffffffff,12.0,0.0,0.0
8494517ffffffff,1.0,0.0,0.0
849451dffffffff,6.0,0.0,0.0
8494533ffffffff,6.0,0.0,2.0
8494539ffffffff,4.0,0.0,1.0
849453bffffffff,6.0,0.0,0.0
8494593ffffffff,4.0,0.0,0.0
84945a5ffffffff,152.0,0.0,41.0
84945a7ffffffff,9.0,0.0,0.0
84945adffffffff,6.0,0.0,2.0
84945bbffffffff,4.0,0.0,0.0
84945c3ffffffff,2.0,0.0,0.0
84945c5ffffffff,1.0,0.0,0.0
84945c7ffffffff,12.0,0.0,0.0
84945e1ffffffff,7.0,0.0,0.0
84945e3ffffffff,11.0,0.0,0.0
84945e5ffffffff,105.0,0.0,21.0
84945e7ffffffff,3.0,0.0,0.0
84945ebffffffff,3.0,0.0,2.0
8494803ffffffff,231.0,0.0,33.0
8494807ffffffff,18.0,0.0,0.0
849480bffffffff,61.0,0.0,9.0
8494811ffffffff,101.0,0.0,31.0
8494815ffffffff,109.0,0.0,42.0
8494819ffffffff,1.0,0.0,0.0
849481bffffffff,5.0,0.0,0.0
849481dffffffff,191.0,0.0,67.0
8494821ffffffff,2.0,0.0,0.0
8494825ffffffff,20.0,0.0,8.0
849483bffffffff,18.0,0.0,9.0
8494855ffffffff,4.0,0.0,0.0
8494857ffffffff,4.0,0.0,0.0
849485bffffffff,8.0,0.0,0.0
8494893ffffffff,8.0,0.0,0.0
8494899ffffffff,5.0,0.0,2.0
84948c1ffffffff,2.0,0.0,0.0
84948c3ffffffff,1.0,0.0,0.0
84948c7ffffffff,3.0,0.0,0.0
84948cbffffffff,7.0,0.0,0.0
84948cdffffffff,6.0,0.0,2.0
84948d7ffffffff,2.0,0.0,0.0
84948d9ffffffff,8.0,0.0,0.0
84948dbffffffff,7.0,0.0,0.0
84948e5ffffffff,8.0,0.0,0.0
84948edffffffff,16.0,0.0,2.0
8494917ffffffff,2.0,0.0,0.0
8494923ffffffff,1.0,0.0,0.0
8494929ffffffff,2.0,0.0,0.0
8494933ffffffff,1.0,0.0,0.0
8494963ffffffff,1.0,0.0,1.0
8494967ffffffff,1.0,0.0,0.0
8494a81ffffffff,2.0,0.0,0.0
8494aa7ffffffff,17.0,0.0,1.0
8494aadffffffff,2.0,0.0,0.0
8494ab3ffffffff,2.0,0.0,0.0
8494abbffffffff,1.0,0.0,1.0
8494ae3ffffffff,2.0,0.0,0.0
8494ae7ffffffff,5.0,0.0,0.0
8494c13ffffffff,3.0,0.0,0.0
8494c17ffffffff,14.0,0.0,0.0
8494c39ffffffff,2.0,0.0,2.0
8494c49ffffffff,38.0,0.0,1.0
8494c4bffffffff,8.0,0.0,2.0
8494c4dffffffff,4.0,0.0,0.0
8494c5bffffffff,1.0,0.0,0.0
8494c61ffffffff,10.0,0.0,0.0
8494c69ffffffff,4.0,0.0,0.0
8494c6dffffffff,6.0,0.0,0.0
8494c91ffffffff,10.0,0.0,2.0
8494c97ffffffff,1.0,0.0,1.0
8494c99ffffffff,21.0,0.0,4.0
8494cc9ffffffff,5.0,0.0,0.0
8494ccdffffffff,4.0,0.0,2.0
8494cd3ffffffff,2.0,0.0,2.0
8494d0dffffffff,1.0,0.0,0.0
8494d45ffffffff,4.0,0.0,0.0
8494d53ffffffff,2.0,0.0,2.0
8494d59ffffffff,3.0,0.0,0.0
8494d5dffffffff,21.0,0.0,2.0
8494dedffffffff,1.0,0.0,0.0
8494e21ffffffff,4.0,0.0,3.0
8494e23ffffffff,20.0,0.0,0.0
8494e25ffffffff,2.0,0.0,0.0
8494e27ffffffff,4.0,0.0,0.0
8494e29ffffffff,15.0,0.0,3.0
8494e2bffffffff,11.0,0.0,4.0
8494e2dffffffff,3.0,0.0,0.0
8494e35ffffffff,47.0,0.0,4.0
8494e37ffffffff,3.0,0.0,0.0
8494e3dffffffff,8.0,0.0,2.0
8494e81ffffffff,105.0,0.0,17.0
8494e85ffffffff,20.0,0.0,13.0
8494e87ffffffff,8.0,0.0,1.0
8494e8bffffffff,6.0,0.0,1.0
8494e93ffffffff,5.0,0.0,0.0
8494e95ffffffff,2.0,0.0,2.0
8494e9dffffffff,4.0,0.0,4.0
8494ea1ffffffff,5.0,0.0,0.0
8494ea3ffffffff,3.0,0.0,0.0
8494eadffffffff,1.0,0.0,0.0
8494eb5ffffffff,14.0,0.0,4.0
8494ed3ffffffff,215.0,0.0,23.0
8494ed7ffffffff,66.0,0.0,40.0
8494ed9ffffffff,3.0,0.0,2.0
8494edbffffffff,91.0,0.0,24.0
8494ee1ffffffff,66.0,0.0,5.0
8494ee3ffffffff,23.0,0.0,2.0
8494ee5ffffffff,2.0,0.0,2.0
8494ee7ffffffff,119.0,0.0,35.0
8494f09ffffffff,2.0,0.0,0.0
8494f0dffffffff,12.0,0.0,0.0
8494f13ffffffff,1.0,0.0,0.0
8494f21ffffffff,35.0,0.0,0.0
8494f25ffffffff,2.0,0.0,0.0
8494f29ffffffff,3.0,0.0,0.0
8494f33ffffffff,1.0,0.0,0.0
8494f43ffffffff,2.0,0.0,0.0
8494f47ffffffff,6.0,0.0,0.0
8494f4bffffffff,2.0,0.0,0.0
8494f51ffffffff,3.0,0.0,0.0
8494f55ffffffff,6.0,0.0,0.0
8494f5dffffffff,7.0,0.0,0.0
8494f61ffffffff,19.0,0.0,0.0
8494f63ffffffff,28.0,0.0,6.0
8494f65ffffffff,30.0,0.0,0.0
8494f69ffffffff,2.0,0.0,0.0
8494f6bffffffff,5.0,0.0,3.0
8494f6dffffffff,2.0,0.0,0.0
849c011ffffffff,7.0,7.0,0.0
849c017ffffffff,6.0,0.0,0.0
849c01dffffffff,1.0,0.0,0.0
849c051ffffffff,4.0,3.0,0.0
849c055ffffffff,3.0,0.0,0.0
849c057ffffffff,8.0,5.0,0.0
849c059ffffffff,49.0,7.0,0.0
849c05dffffffff,3.0,0.0,0.0
849c0cdffffffff,2.0,0.0,0.0
849c0e9ffffffff,8.0,3.0,0.0
849c0edffffffff,25.0,0.0,0.0
849c20bffffffff,2.0,0.0,0.0
849c211ffffffff,3.0,0.0,0.0
849c215ffffffff,2.0,0.0,0.0
849c231ffffffff,6.0,0.0,0.0
849c233ffffffff,3.0,0.0,0.0
849c237ffffffff,8.0,2.0,0.0
849c239ffffffff,1.0,0.0,0.0
849c23bffffffff,3.0,0.0,0.0
849c251ffffffff,25.0,0.0,0.0
849c255ffffffff,3.0,0.0,0.0
849c25dffffffff,35.0,1.0,0.0
849c2cbffffffff,4.0,1.0,0.0
849c2d3ffffffff,10.0,0.0,1.0
849c2ddffffffff,221.0,25.0,0.0
849c2e1ffffffff,1.0,1.0,0.0
849c2e9ffffffff,3.0,0.0,0.0
849c413ffffffff,1.0,0.0,0.0
849c417ffffffff,23.0,0.0,4.0
849c433ffffffff,1.0,0.0,0.0
849c43bffffffff,6.0,0.0,0.0
849c443ffffffff,5.0,0.0,0.0
849c45dffffffff,2.0,0.0,0.0
849c491ffffffff,2.0,0.0,2.0
849c495ffffffff,8.0,0.0,2.0
849c497ffffffff,10.0,0.0,0.0
849c499ffffffff,7.0,0.0,5.0
849c4a1ffffffff,2.0,0.0,0.0
849c4a3ffffffff,3.0,0.0,0.0
849c4b3ffffffff,6.0,0.0,0.0
849c4bdffffffff,1.0,0.0,1.0
849c4c3ffffffff,1.0,0.0,1.0
849c4cdffffffff,4.0,0.0,0.0
849c4d3ffffffff,2.0,0.0,0.0
849c5a5ffffffff,2.0,0.0,0.0
849c5a7ffffffff,7.0,0.0,0.0
849c5b5ffffffff,2.0,0.0,0.0
849c605ffffffff,45.0,0.0,9.0
849c607ffffffff,6.0,0.0,0.0
849c60dffffffff,24.0,0.0,17.0
849c62dffffffff,8.0,0.0,8.0
849c641ffffffff,5.0,0.0,5.0
849c643ffffffff,2.0,0.0,1.0
849c647ffffffff,4.0,0.0,3.0
849c649ffffffff,51.0,0.0,7.0
849c64bffffffff,6.0,0.0,4.0
849c651ffffffff,1.0,0.0,1.0
849c653ffffffff,1.0,0.0,1.0
849c655ffffffff,2.0,0.0,0.0
849c65dffffffff,6.0,0.0,3.0
849c661ffffffff,10.0,0.0,4.0
849c663ffffffff,4.0,0.0,0.0
849c667ffffffff,3.0,0.0,3.0
849c66bffffffff,3.0,0.0,0.0
849c66dffffffff,4.0,0.0,2.0
849c685ffffffff,3.0,0.0,0.0
849c687ffffffff,3.0,0.0,0.0
849c693ffffffff,13.0,0.0,0.0
849c69bffffffff,3.0,0.0,0.0
849c6a1ffffffff,1.0,0.0,0.0
849c6a7ffffffff,6.0,0.0,0.0
849c6abffffffff,2.0,0.0,0.0
849c6c1ffffffff,1.0,0.0,0.0
849c6cbffffffff,11.0,0.0,0.0
849c6ddffffffff,12.0,0.0,2.0
849c6e7ffffffff,2.0,0.0,0.0
849c741ffffffff,27.0,0.0,0.0
849c743ffffffff,67.0,0.0,1.0
849c747ffffffff,15.0,0.0,0.0
849c74bffffffff,7.0,0.0,0.0
849c753ffffffff,11.0,0.0,2.0
849c75bffffffff,2.0,0.0,0.0
849d097ffffffff,2.0,0.0,0.0
849d099ffffffff,2.0,0.0,0.0
849d0b1ffffffff,89.0,0.0,0.0
849d0b5ffffffff,7.0,0.0,0.0
849d0bdffffffff,39.0,0.0,0.0
849d0d3ffffffff,1.0,1.0,0.0
849d0e3ffffffff,2.0,0.0,0.0
849d211ffffffff,43.0,2.0,0.0
849d215ffffffff,7.0,3.0,0.0
849d217ffffffff,23.0,2.0,0.0
849d219ffffffff,3.0,0.0,0.0
849d21dffffffff,2.0,0.0,0.0
849d253ffffffff,4.0,0.0,0.0
849d25dffffffff,2.0,0.0,0.0
849d289ffffffff,31.0,25.0,0.0
849d28bffffffff,4.0,0.0,0.0
849d2a5ffffffff,3.0,0.0,0.0
849d2bdffffffff,2.0,0.0,0.0
849d2c3ffffffff,2.0,2.0,0.0
849d2c9ffffffff,2.0,0.0,0.0
849d2d1ffffffff,2.0,0.0,0.0
849d2d7ffffffff,3.0,0.0,0.0
849d2e1ffffffff,2.0,0.0,0.0
849d2edffffffff,2.0,0.0,0.0
849d401ffffffff,4.0,0.0,0.0
849d405ffffffff,2.0,0.0,0.0
849d407ffffffff,12.0,0.0,2.0
849d40dffffffff,2.0,0.0,0.0
849d419ffffffff,4.0,0.0,0.0
849d41bffffffff,4.0,0.0,0.0
849d41dffffffff,1.0,0.0,0.0
849d425ffffffff,1.0,0.0,0.0
849d427ffffffff,2.0,0.0,0.0
849d42bffffffff,3.0,0.0,3.0
849d431ffffffff,9.0,0.0,4.0
849d433ffffffff,9.0,0.0,4.0
849d43dffffffff,4.0,0.0,2.0
849d441ffffffff,6.0,0.0,2.0
849d443ffffffff,61.0,0.0,10.0
849d445ffffffff,5.0,0.0,1.0
849d447ffffffff,72.0,0.0,13.0
849d44bffffffff,15.0,0.0,7.0
849d455ffffffff,1.0,0.0,0.0
849d45bffffffff,16.0,0.0,0.0
849d45dffffffff,2.0,0.0,0.0
849d46bffffffff,165.0,0.0,36.0
849d48dffffffff,8.0,0.0,2.0
849d495ffffffff,2.0,0.0,0.0
849d4a1ffffffff,176.0,0.0,42.0
849d4a3ffffffff,15.0,0.0,0.0
849d4a7ffffffff,12.0,0.0,5.0
849d4a9ffffffff,5.0,0.0,0.0
849d4abffffffff,8.0,0.0,0.0
849d4adffffffff,15.0,0.0,4.0
849d4c1ffffffff,3.0,0.0,0.0
849d4c7ffffffff,5.0,0.0,0.0
849d4c9ffffffff,26.0,0.0,2.0
849d4d3ffffffff,2.0,0.0,0.0
849d4ddffffffff,2.0,0.0,0.0
849d4e7ffffffff,8.0,0.0,8.0
849d509ffffffff,4.0,0.0,0.0
849d52dffffffff,1.0,0.0,0.0
849d537ffffffff,6.0,0.0,0.0
849d543ffffffff,2.0,0.0,1.0
849d551ffffffff,4.0,0.0,4.0
849d555ffffffff,5.0,0.0,3.0
849d559ffffffff,4.0,0.0,0.0
849d55bffffffff,8.0,0.0,4.0
849d55dffffffff,23.0,0.0,8.0
849d565ffffffff,5.0,0.0,0.0
849d58bffffffff,2.0,0.0,0.0
849d595ffffffff,4.0,0.0,0.0
849d597ffffffff,4.0,0.0,4.0
849d599ffffffff,4.0,0.0,0.0
849d5b7ffffffff,4.0,0.0,0.0
849d5c3ffffffff,2.0,0.0,0.0
849d5cbffffffff,8.0,0.0,1.0
849d5d9ffffffff,5.0,0.0,0.0
849d5dbffffffff,61.0,0.0,7.0
849d5ddffffffff,2.0,0.0,0.0
849d601ffffffff,13.0,0.0,6.0
849d609ffffffff,4.0,0.0,0.0
849d60bffffffff,6.0,0.0,0.0
849d619ffffffff,2.0,0.0,0.0
849d61bffffffff,2.0,0.0,0.0
849d61dffffffff,3.0,0.0,0.0
849d621ffffffff,9.0,0.0,0.0
849d625ffffffff,11.0,0.0,0.0
849d62bffffffff,6.0,0.0,0.0
849d62dffffffff,5.0,0.0,0.0
849d637ffffffff,10.0,0.0,4.0
849d63dffffffff,26.0,0.0,0.0
849d655ffffffff,4.0,0.0,0.0
849d657ffffffff,26.0,0.0,3.0
849d65dffffffff,4.0,0.0,0.0
849d66dffffffff,1.0,0.0,0.0
849d681ffffffff,1.0,0.0,0.0
849d683ffffffff,17.0,0.0,4.0
849d685ffffffff,2.0,0.0,0.0
849d687ffffffff,3.0,0.0,3.0
849d68bffffffff,2.0,0.0,0.0
849d6a1ffffffff,5.0,0.0,2.0
849d6a3ffffffff,3.0,0.0,0.0
849d6a5ffffffff,2.0,0.0,0.0
849d6a7ffffffff,18.0,0.0,3.0
849d6a9ffffffff,2.0,0.0,0.0
849d6abffffffff,5.0,0.0,4.0
849d6b5ffffffff,15.0,0.0,0.0
849d6b9ffffffff,5.0,0.0,0.0
849d6bdffffffff,3.0,0.0,0.0
849d6d1ffffffff,5.0,0.0,0.0
849d6d9ffffffff,5.0,0.0,0.0
849d6dbffffffff,38.0,0.0,0.0
849d6ddffffffff,8.0,0.0,0.0
849d6e7ffffffff,6.0,1.0,0.0
849d701ffffffff,1.0,0.0,0.0
849d703ffffffff,7.0,0.0,0.0
849d70dffffffff,2.0,0.0,0.0
849d713ffffffff,4.0,0.0,0.0
849d715ffffffff,2.0,0.0,0.0
849d719ffffffff,18.0,0.0,0.0
849d71bffffffff,3.0,0.0,3.0
849d733ffffffff,2.0,0.0,0.0
849d737ffffffff,2.0,0.0,0.0
849d73bffffffff,2.0,0.0,0.0
849d741ffffffff,2.0,0.0,0.0
849d755ffffffff,12.0,0.0,1.0
849d75dffffffff,6.0,0.0,0.0
84a6103ffffffff,9.0,0.0,0.0
84a611dffffffff,4.0,0.0,0.0
84a6129ffffffff,12.0,0.0,0.0
84a612dffffffff,34.0,0.0,0.0
84a6153ffffffff,2.0,0.0,0.0
84a6155ffffffff,2.0,0.0,0.0
84a6165ffffffff,2.0,0.0,0.0
84a6167ffffffff,15.0,0.0,0.0
84a6223ffffffff,6.0,0.0,0.0
84a6261ffffffff,9.0,0.0,0.0
84a6267ffffffff,7.0,0.0,0.0
84a626dffffffff,2.0,0.0,0.0
84a6309ffffffff,2.0,0.0,0.0
84a630bffffffff,2.0,0.0,0.0
84a6319ffffffff,5.0,0.0,0.0
84a631bffffffff,2.0,0.0,0.0
84a631dffffffff,1.0,0.0,0.0
84a6359ffffffff,1.0,0.0,0.0
84a635bffffffff,2.0,0.0,0.0
84a6a4dffffffff,4.0,0.0,0.0
84a6a5dffffffff,2.0,0.0,0.0
84a6a61ffffffff,41.0,0.0,0.0
84a6a63ffffffff,13.0,0.0,0.0
84a6a65ffffffff,2.0,0.0,0.0
84a6a69ffffffff,7.0,0.0,0.0
84a6a6bffffffff,5.0,0.0,0.0
84a6a6dffffffff,10.0,0.0,0.0
84a7005ffffffff,2.0,0.0,0.0
84a7007ffffffff,2.0,0.0,0.0
84a700dffffffff,2.0,0.0,0.0
84a7021ffffffff,3.0,0.0,0.0
84a7023ffffffff,2.0,0.0,0.0
84a7027ffffffff,9.0,0.0,0.0
84a7029ffffffff,12.0,0.0,0.0
84a702bffffffff,2.0,0.0,0.0
84a7035ffffffff,2.0,0.0,0.0
84a7037ffffffff,7.0,0.0,0.0
84a703dffffffff,4.0,0.0,0.0
84a7045ffffffff,4.0,0.0,0.0
84a704dffffffff,5.0,0.0,0.0
84a7061ffffffff,5.0,0.0,0.0
84a7063ffffffff,2.0,0.0,0.0
84a7065ffffffff,3.0,0.0,0.0
84a7067ffffffff,2.0,0.0,0.0
84a7069ffffffff,2.0,0.0,0.0
84a706dffffffff,2.0,0.0,0.0
84a7109ffffffff,4.0,0.0,0.0
84a710bffffffff,9.0,0.0,2.0
84a7119ffffffff,2.0,0.0,2.0
84a711bffffffff,3.0,0.0,0.0
84a7121ffffffff,11.0,0.0,0.0
84a7123ffffffff,4.0,0.0,0.0
84a7125ffffffff,2.0,0.0,0.0
84a7129ffffffff,29.0,0.0,2.0
84a712bffffffff,16.0,0.0,2.0
84a712dffffffff,19.0,0.0,0.0
84a7141ffffffff,3.0,0.0,3.0
84a7145ffffffff,12.0,0.0,0.0
84a714bffffffff,5.0,0.0,3.0
84a714dffffffff,6.0,0.0,0.0
84a715bffffffff,3.0,0.0,0.0
84a7161ffffffff,5.0,0.0,0.0
84a7163ffffffff,12.0,0.0,2.0
84a7165ffffffff,42.0,0.0,17.0
84a716bffffffff,6.0,0.0,0.0
84a7183ffffffff,3.0,0.0,0.0
84a7195ffffffff,2.0,0.0,0.0
84a71bbffffffff,13.0,0.0,0.0
84a71c3ffffffff,2.0,0.0,0.0
84a71cbffffffff,3.0,0.0,0.0
84a71d1ffffffff,2.0,0.0,0.0
84a71ddffffffff,7.0,0.0,0.0
84a71e3ffffffff,2.0,0.0,0.0
84a71e7ffffffff,4.0,0.0,0.0
84a71edffffffff,12.0,0.0,0.0
84a7221ffffffff,4.0,0.0,0.0
84a7227ffffffff,8.0,0.0,0.0
84a722dffffffff,3.0,0.0,0.0
84a7265ffffffff,21.0,0.0,0.0
84a726dffffffff,38.0,0.0,0.0
84a7301ffffffff,5.0,0.0,0.0
84a7303ffffffff,9.0,0.0,0.0
84a7305ffffffff,6.0,0.0,0.0
84a7307ffffffff,4.0,0.0,0.0
84a7309ffffffff,2.0,0.0,0.0
84a730bffffffff,60.0,0.0,7.0
84a730dffffffff,8.0,0.0,0.0
84a7319ffffffff,2.0,0.0,0.0
84a7323ffffffff,1.0,0.0,0.0
84a7327ffffffff,10.0,0.0,0.0
84a7329ffffffff,8.0,0.0,2.0
84a7333ffffffff,3.0,0.0,0.0
84a7335ffffffff,11.0,0.0,2.0
84a7337ffffffff,7.0,0.0,0.0
84a7339ffffffff,9.0,0.0,1.0
84a7341ffffffff,4.0,0.0,0.0
84a7343ffffffff,5.0,0.0,0.0
84a7345ffffffff,4.0,0.0,0.0
84a7347ffffffff,2.0,0.0,0.0
84a7349ffffffff,7.0,0.0,0.0
84a734bffffffff,4.0,0.0,0.0
84a734dffffffff,2.0,0.0,0.0
84a7355ffffffff,12.0,0.0,0.0
84a735bffffffff,4.0,0.0,0.0
84a735dffffffff,25.0,0.0,0.0
84a7363ffffffff,9.0,0.0,0.0
84a7365ffffffff,4.0,0.0,0.0
84a7369ffffffff,10.0,0.0,1.0
84a7815ffffffff,2.0,0.0,0.0
84a7829ffffffff,22.0,0.0,1.0
84a782bffffffff,2.0,0.0,0.0
84a7831ffffffff,4.0,0.0,0.0
84a7835ffffffff,4.0,0.0,0.0
84a7837ffffffff,5.0,0.0,0.0
84a7839ffffffff,4.0,0.0,0.0
84a783dffffffff,6.0,0.0,0.0
84a7863ffffffff,17.0,0.0,0.0
84a7867ffffffff,2.0,0.0,0.0
84a786bffffffff,6.0,0.0,0.0
84a7881ffffffff,3.0,0.0,0.0
84a7883ffffffff,4.0,0.0,0.0
84a7887ffffffff,3.0,0.0,0.0
