cell_id,Caprimulgus pectoralis,Caprimulgus pectoralis nigriscapularis,Caprimulgus pectoralis [pectoralis Group]
83bc73fffffffff,37.0,0.0,0.0
83bc89fffffffff,33.0,0.0,0.0
83bc99fffffffff,6.0,0.0,0.0
83bcc2fffffffff,2.0,0.0,0.0
83bcc3fffffffff,12.0,0.0,0.0
83bcc6fffffffff,8.0,0.0,0.0
83bccafffffffff,7.0,0.0,0.0
83bcd0fffffffff,68.0,0.0,0.0
83bcd1fffffffff,4.0,0.0,0.0
83bcd2fffffffff,307.0,0.0,1.0
83bcd3fffffffff,29.0,0.0,0.0
83bcd4fffffffff,22.0,0.0,0.0
83bcd5fffffffff,8.0,0.0,0.0
83bcd6fffffffff,58.0,0.0,0.0
83bcd8fffffffff,16.0,0.0,0.0
83bcd9fffffffff,31.0,0.0,0.0
83bcdcfffffffff,55.0,0.0,0.0
83bcddfffffffff,31.0,0.0,4.0
83bcdefffffffff,27.0,0.0,0.0
83bce2fffffffff,3.0,0.0,0.0
83bce6fffffffff,4.0,0.0,0.0
83bcf0fffffffff,13.0,0.0,0.0
83bcf1fffffffff,3.0,0.0,0.0
83bcf2fffffffff,358.0,0.0,5.0
83bcf3fffffffff,11.0,0.0,0.0
83bcf4fffffffff,7.0,0.0,4.0
83bcf5fffffffff,26.0,0.0,0.0
83bcf6fffffffff,137.0,0.0,1.0
