cell_id,Turdus iliacus,Turdus iliacus coburni,Turdus iliacus iliacus
820137fffffffff,7.0,0.0,7.0
820747fffffffff,3.0,0.0,0.0
82075ffffffffff,2.0,2.0,0.0
820777fffffffff,6.0,0.0,6.0
8208a7fffffffff,4.0,0.0,4.0
8208cffffffffff,2.0,0.0,2.0
8208e7fffffffff,4.0,0.0,4.0
8209b7fffffffff,4.0,0.0,0.0
820bb7fffffffff,2.0,0.0,2.0
820c47fffffffff,6.0,0.0,2.0
820d07fffffffff,6.0,0.0,0.0
821827fffffffff,8.0,8.0,0.0
82182ffffffffff,17.0,0.0,6.0
821847fffffffff,6.0,0.0,0.0
82184ffffffffff,21.0,0.0,0.0
82185ffffffffff,7.0,0.0,1.0
82186ffffffffff,1.0,0.0,0.0
821877fffffffff,4.0,2.0,0.0
821907fffffffff,4.0,4.0,0.0
82190ffffffffff,2.0,1.0,0.0
82192ffffffffff,11.0,4.0,4.0
821947fffffffff,11.0,5.0,0.0
82194ffffffffff,7.0,0.0,0.0
821957fffffffff,7.0,0.0,1.0
82195ffffffffff,2.0,0.0,0.0
821aa7fffffffff,28.0,2.0,0.0
821e07fffffffff,10.0,0.0,0.0
821e17fffffffff,2.0,0.0,0.0
821e27fffffffff,6.0,0.0,0.0
821e2ffffffffff,1.0,0.0,0.0
821e37fffffffff,4.0,0.0,0.0
821e5ffffffffff,2.0,0.0,0.0
821e77fffffffff,2.0,0.0,0.0
821e87fffffffff,2.0,0.0,0.0
821ea7fffffffff,1.0,0.0,0.0
821ec7fffffffff,6.0,0.0,0.0
821ecffffffffff,8.0,0.0,0.0
821eeffffffffff,1.0,0.0,0.0
821f0ffffffffff,1.0,0.0,0.0
821f2ffffffffff,4.0,0.0,4.0
821f37fffffffff,7.0,0.0,0.0
821f77fffffffff,1.0,0.0,0.0
821f87fffffffff,5.0,0.0,1.0
821f8ffffffffff,2.0,0.0,0.0
821f9ffffffffff,2.0,0.0,0.0
821faffffffffff,2.0,0.0,2.0
82255ffffffffff,2.0,0.0,0.0
8228d7fffffffff,117.0,0.0,0.0
822a37fffffffff,255.0,15.0,0.0
822b07fffffffff,5.0,0.0,0.0
822b0ffffffffff,26.0,0.0,0.0
822b27fffffffff,12.0,0.0,0.0
822b37fffffffff,2.0,0.0,0.0
822baffffffffff,2.0,0.0,0.0
822c1ffffffffff,1.0,0.0,1.0
822c97fffffffff,3.0,0.0,0.0
822cc7fffffffff,2.0,0.0,0.0
822d27fffffffff,4.0,0.0,0.0
822db7fffffffff,10.0,0.0,0.0
822eaffffffffff,1.0,0.0,0.0
823187fffffffff,4.0,0.0,0.0
8231affffffffff,19.0,0.0,0.0
82346ffffffffff,4.0,0.0,0.0
8235affffffffff,2.0,0.0,0.0
823867fffffffff,2.0,0.0,0.0
823877fffffffff,3.0,0.0,0.0
823907fffffffff,40.0,0.0,0.0
823917fffffffff,57.0,0.0,0.0
82391ffffffffff,13.0,0.0,0.0
823927fffffffff,67.0,0.0,0.0
82392ffffffffff,23.0,0.0,0.0
823937fffffffff,35.0,0.0,0.0
823947fffffffff,28.0,0.0,0.0
823957fffffffff,4.0,0.0,0.0
82395ffffffffff,13.0,0.0,0.0
823977fffffffff,30.0,0.0,0.0
823e47fffffffff,2.0,0.0,0.0
823e6ffffffffff,9.0,0.0,0.0
823f37fffffffff,20.0,0.0,0.0
823f4ffffffffff,2.0,0.0,0.0
823f6ffffffffff,7.0,0.0,0.0
8243a7fffffffff,1.0,0.0,1.0
