cell_id,Buteo rufinus,Buteo rufinus rufinus,Buteo rufinus cirtensis
824237fffffffff,26.0,0.0,0.0
82424ffffffffff,23.0,0.0,0.0
824257fffffffff,717.0,0.0,0.0
82425ffffffffff,347.0,0.0,0.0
82426ffffffffff,45.0,0.0,0.0
8242c7fffffffff,569.0,0.0,0.0
8242cffffffffff,208.0,0.0,0.0
8242d7fffffffff,6.0,0.0,0.0
8242dffffffffff,49.0,0.0,0.0
8242e7fffffffff,35.0,0.0,0.0
8242effffffffff,58.0,0.0,0.0
824307fffffffff,16.0,0.0,0.0
82430ffffffffff,2.0,0.0,0.0
824317fffffffff,11.0,0.0,0.0
82431ffffffffff,56.0,0.0,0.0
824327fffffffff,39.0,0.0,0.0
82432ffffffffff,7.0,0.0,0.0
824337fffffffff,28.0,0.0,0.0
824357fffffffff,10.0,0.0,0.0
824367fffffffff,460.0,0.0,0.0
824377fffffffff,10.0,0.0,0.0
82438ffffffffff,3.0,0.0,0.0
82439ffffffffff,2.0,0.0,0.0
8243a7fffffffff,59.0,0.0,0.0
8243affffffffff,64.0,1.0,3.0
825207fffffffff,33.0,0.0,0.0
825217fffffffff,9.0,0.0,0.0
82521ffffffffff,24.0,0.0,0.0
825237fffffffff,10.0,0.0,0.0
82524ffffffffff,13.0,0.0,0.0
82526ffffffffff,3.0,0.0,0.0
825287fffffffff,5.0,0.0,0.0
82529ffffffffff,10.0,0.0,0.0
8252d7fffffffff,2.0,0.0,0.0
825317fffffffff,5.0,0.0,0.0
825327fffffffff,2.0,0.0,0.0
825337fffffffff,4.0,0.0,0.0
825347fffffffff,16.0,0.0,0.0
825357fffffffff,7.0,0.0,0.0
825367fffffffff,11.0,0.0,0.0
82536ffffffffff,38.0,2.0,0.0
825377fffffffff,2.0,0.0,0.0
8253a7fffffffff,3.0,0.0,0.0
82550ffffffffff,3.0,0.0,3.0
825517fffffffff,81.0,0.0,19.0
82551ffffffffff,3.0,0.0,0.0
825537fffffffff,5.0,0.0,3.0
82585ffffffffff,1.0,0.0,0.0
82592ffffffffff,1.0,0.0,1.0
826327fffffffff,4.0,0.0,0.0
826337fffffffff,53.0,0.0,0.0
826a4ffffffffff,1.0,0.0,0.0
827a6ffffffffff,1.0,0.0,0.0
827acffffffffff,6.0,2.0,0.0
827adffffffffff,15.0,0.0,0.0
829697fffffffff,14.0,0.0,0.0
8296a7fffffffff,2.0,0.0,0.0
