cell_id,Leucosticte arctoa,Leucosticte arctoa [arctoa Group],Leucosticte arctoa brunneonucha/gigliolii
841598bffffffff,5.0,0.0,0.0
84204c3ffffffff,1.0,0.0,0.0
84204c7ffffffff,1.0,0.0,0.0
842406bffffffff,1.0,0.0,0.0
8424265ffffffff,1.0,0.0,0.0
842e135ffffffff,2.0,0.0,0.0
842e627ffffffff,1.0,0.0,0.0
842e759ffffffff,1.0,0.0,0.0
842eac9ffffffff,1.0,0.0,0.0
842f5bdffffffff,1.0,0.0,0.0
842f5d7ffffffff,4.0,0.0,0.0
8430305ffffffff,2.0,0.0,0.0
8430c03ffffffff,2.0,0.0,0.0
8430dd1ffffffff,1.0,0.0,0.0
8430e8dffffffff,13.0,0.0,0.0
8430ee3ffffffff,1.0,0.0,0.0
8431851ffffffff,21.0,0.0,0.0
8431aa9ffffffff,1.0,0.0,0.0
844b757ffffffff,2.0,0.0,0.0
