cell_id,Epinecrophylla haematonota,Epinecrophylla haematonota pyrrhonota,Epinecrophylla haematonota fjeldsaai,Epinecrophylla haematonota haematonota,Epinecrophylla haematonota fjeldsaai x haematonota
8266c7fffffffff,3.0,3.0,0.0,0.0,0.0
8266cffffffffff,5.0,0.0,0.0,5.0,0.0
8266dffffffffff,2.0,0.0,2.0,0.0,0.0
828a07fffffffff,2.0,0.0,0.0,0.0,0.0
828a47fffffffff,14.0,0.0,0.0,14.0,0.0
828af7fffffffff,1.0,1.0,0.0,0.0,0.0
828b47fffffffff,1.0,0.0,0.0,1.0,0.0
828b5ffffffffff,2.0,0.0,0.0,0.0,0.0
828f47fffffffff,4.0,0.0,0.0,0.0,0.0
828f4ffffffffff,13.0,0.0,0.0,11.0,0.0
828f6ffffffffff,17.0,0.0,0.0,7.0,0.0
