cell_id,Thalurania colombica,Thalurania colombica venusta/townsendi,Thalurania colombica colombica/rostrifera,Thalurania colombica [fannyae Group],Thalurania colombica hypochlora,Thalurania colombica (Violet-crowned Woodnymph),Thalurania colombica (Green-crowned Woodnymph)
824527fffffffff,941.0,0.0,0.0,0.0,0.0,198.0,0.0
82452ffffffffff,111.0,0.0,0.0,0.0,0.0,0.0,0.0
824537fffffffff,1229.0,0.0,0.0,0.0,0.0,322.0,0.0
826607fffffffff,108.0,0.0,0.0,0.0,0.0,6.0,0.0
82660ffffffffff,1429.0,0.0,16.0,0.0,0.0,64.0,0.0
826617fffffffff,957.0,0.0,0.0,34.0,0.0,84.0,83.0
82661ffffffffff,3333.0,0.0,5.0,115.0,0.0,0.0,280.0
826627fffffffff,4977.0,0.0,527.0,0.0,0.0,621.0,0.0
82662ffffffffff,105.0,0.0,0.0,0.0,0.0,10.0,0.0
826637fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,6857.0,157.0,0.0,0.0,0.0,1270.0,0.0
8266affffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8266b7fffffffff,7873.0,16.0,0.0,0.0,0.0,51.0,0.0
8266c7fffffffff,449.0,0.0,32.0,0.0,0.0,0.0,0.0
8266d7fffffffff,7322.0,0.0,0.0,843.0,0.0,0.0,5.0
8266e7fffffffff,1241.0,0.0,42.0,0.0,0.0,23.0,0.0
8266f7fffffffff,5746.0,0.0,0.0,114.0,0.0,9.0,290.0
826757fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,38.0,0.0,0.0,0.0,0.0,5.0,0.0
826797fffffffff,160.0,0.0,0.0,0.0,0.0,37.0,0.0
82679ffffffffff,1479.0,0.0,0.0,0.0,0.0,6.0,0.0
826d67fffffffff,204.0,0.0,0.0,0.0,0.0,17.0,0.0
826d6ffffffffff,9373.0,0.0,0.0,0.0,0.0,17.0,0.0
828f0ffffffffff,564.0,0.0,0.0,0.0,231.0,0.0,2.0
828f27fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,390.0,0.0,0.0,23.0,0.0,0.0,17.0
828f77fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
