cell_id,Anthus bogotensis,Anthus bogotensis meridae,Anthus bogotensis [bogotensis Group]
84660bbffffffff,3.0,0.0,0.0
8466d1dffffffff,4.0,0.0,0.0
8466e09ffffffff,7.0,0.0,0.0
8466e43ffffffff,6.0,0.0,0.0
848b29bffffffff,1.0,0.0,0.0
848b611ffffffff,2.0,0.0,2.0
848b6cdffffffff,5.0,0.0,5.0
848f547ffffffff,3.0,0.0,0.0
848f72dffffffff,3.0,0.0,0.0
848f765ffffffff,1.0,0.0,0.0
84b342dffffffff,5.0,0.0,0.0
84b3517ffffffff,4.0,0.0,0.0
84b35a1ffffffff,31.0,0.0,0.0
84b35a7ffffffff,2.0,0.0,0.0
84b35e1ffffffff,4.0,0.0,0.0
84b3733ffffffff,2.0,0.0,0.0
