cell_id,Somateria mollissima,Somateria mollissima mollissima,Somateria mollissima faeroeensis,Somateria mollissima v-nigrum,Somateria mollissima dresseri,Somateria mollissima borealis,Somateria mollissima sedentaria
830001fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830021fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830028fffffffff,21.0,0.0,0.0,0.0,0.0,6.0,0.0
830029fffffffff,10.0,0.0,0.0,0.0,0.0,2.0,0.0
83002bfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83002cfffffffff,12.0,0.0,0.0,0.0,0.0,3.0,0.0
83002dfffffffff,11.0,0.0,0.0,0.0,0.0,2.0,0.0
83010dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
830120fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830122fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
830123fffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0
830124fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
830125fffffffff,12.0,2.0,0.0,0.0,0.0,0.0,0.0
830126fffffffff,7.0,3.0,0.0,0.0,0.0,0.0,0.0
830130fffffffff,478.0,103.0,0.0,0.0,0.0,0.0,0.0
830131fffffffff,167.0,23.0,0.0,0.0,0.0,0.0,0.0
830135fffffffff,722.0,140.0,0.0,0.0,0.0,0.0,0.0
830136fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830150fffffffff,35.0,0.0,0.0,0.0,0.0,1.0,0.0
830151fffffffff,62.0,0.0,0.0,0.0,0.0,19.0,0.0
830152fffffffff,21.0,0.0,0.0,0.0,0.0,2.0,0.0
830153fffffffff,313.0,0.0,0.0,0.0,0.0,69.0,0.0
830154fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830156fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83015afffffffff,158.0,0.0,0.0,0.0,0.0,61.0,0.0
83015efffffffff,284.0,0.0,0.0,0.0,0.0,205.0,0.0
8301b3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830240fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
830241fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830242fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
830243fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83024cfffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
83024dfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
830250fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830253fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830255fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83025cfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
83025dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
830264fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830265fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
830292fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8302c8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8302cafffffffff,250.0,0.0,0.0,0.0,0.0,0.0,0.0
8302cefffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8302ddfffffffff,89.0,0.0,0.0,0.0,0.0,0.0,0.0
8302edfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8304ebfffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
830601fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830620fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
830622fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830626fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830630fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830631fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830634fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830635fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
830670fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830683fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830689fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83068dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830695fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8306c9fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8306cafffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8306d0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8306d1fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8306d4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8306d6fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8306ddfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8306edfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830705fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830741fffffffff,162.0,0.0,0.0,0.0,0.0,0.0,0.0
830742fffffffff,94.0,0.0,0.0,0.0,0.0,0.0,0.0
830743fffffffff,353.0,0.0,0.0,0.0,0.0,0.0,0.0
830744fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
830745fffffffff,208.0,0.0,0.0,0.0,0.0,0.0,0.0
830746fffffffff,531.0,0.0,0.0,0.0,0.0,0.0,0.0
83074efffffffff,291.0,0.0,0.0,0.0,0.0,0.0,0.0
830751fffffffff,152.0,0.0,0.0,0.0,0.0,0.0,0.0
830753fffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0
830755fffffffff,258.0,0.0,0.0,0.0,0.0,0.0,0.0
830758fffffffff,698.0,0.0,0.0,0.0,0.0,0.0,0.0
83075cfffffffff,476.0,0.0,0.0,0.0,0.0,0.0,0.0
83075dfffffffff,2734.0,0.0,0.0,0.0,0.0,0.0,0.0
83075efffffffff,1121.0,0.0,0.0,0.0,0.0,0.0,0.0
830762fffffffff,458.0,0.0,0.0,0.0,0.0,0.0,0.0
830763fffffffff,176.0,0.0,0.0,0.0,0.0,0.0,0.0
830770fffffffff,156.0,0.0,0.0,0.0,0.0,0.0,0.0
830771fffffffff,132.0,0.0,0.0,0.0,0.0,0.0,0.0
830773fffffffff,1263.0,0.0,0.0,0.0,0.0,0.0,0.0
830775fffffffff,103.0,0.0,0.0,0.0,0.0,0.0,0.0
8307a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8307a9fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
830802fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
830803fffffffff,3.0,1.0,0.0,0.0,0.0,0.0,0.0
830805fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
830806fffffffff,53.0,6.0,0.0,0.0,0.0,0.0,0.0
830815fffffffff,260.0,8.0,0.0,0.0,0.0,0.0,0.0
830828fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830829fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83082afffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83082dfffffffff,3.0,2.0,0.0,0.0,0.0,0.0,0.0
830832fffffffff,12.0,5.0,0.0,0.0,0.0,0.0,0.0
