cell_id,Chrysomma altirostre,Chrysomma altirostre scindicum,Chrysomma altirostre griseigulare,Chrysomma altirostre altirostre
843c36bffffffff,1.0,0.0,0.0,0.0
843c581ffffffff,6.0,0.0,0.0,0.0
843c585ffffffff,35.0,0.0,0.0,0.0
843c5a9ffffffff,2.0,0.0,1.0,0.0
843c5e3ffffffff,8.0,0.0,0.0,0.0
843c5e7ffffffff,1.0,0.0,0.0,0.0
843ce55ffffffff,1.0,0.0,0.0,0.0
843cea7ffffffff,1.0,0.0,0.0,0.0
843cea9ffffffff,2.0,0.0,0.0,0.0
843cec1ffffffff,1.0,0.0,1.0,0.0
843cec9ffffffff,2.0,0.0,0.0,0.0
843da97ffffffff,1.0,0.0,0.0,0.0
8442499ffffffff,34.0,0.0,0.0,0.0
84648cbffffffff,2.0,0.0,0.0,0.0
