cell_id,Thripophaga fusciceps,Thripophaga fusciceps dimorpha,Thripophaga fusciceps obidensis,Thripophaga fusciceps fusciceps
838a00fffffffff,29.0,0.0,2.0,0.0
838a01fffffffff,1.0,0.0,0.0,0.0
838a6dfffffffff,2.0,0.0,0.0,0.0
838a8cfffffffff,31.0,0.0,8.0,0.0
838a8efffffffff,2.0,0.0,0.0,0.0
838aabfffffffff,15.0,0.0,6.0,0.0
838aacfffffffff,2.0,0.0,0.0,0.0
838aadfffffffff,4.0,0.0,0.0,0.0
838b08fffffffff,3.0,0.0,0.0,0.0
838b0cfffffffff,127.0,0.0,0.0,0.0
838b0dfffffffff,5.0,0.0,0.0,0.0
838b2afffffffff,16.0,0.0,0.0,0.0
838b40fffffffff,9.0,0.0,0.0,0.0
838b44fffffffff,55.0,0.0,0.0,0.0
838b61fffffffff,323.0,0.0,0.0,0.0
838b62fffffffff,8.0,0.0,0.0,0.0
838b63fffffffff,111.0,0.0,0.0,0.0
838b6efffffffff,1.0,0.0,0.0,0.0
838b71fffffffff,22.0,1.0,0.0,0.0
838f63fffffffff,1.0,0.0,0.0,0.0
