cell_id,Estrilda paludicola,Estrilda paludicola ochrogaster,Estrilda paludicola [paludicola Group],Estrilda paludicola benguellensis
835280fffffffff,1.0,0.0,0.0,0.0
835298fffffffff,7.0,7.0,0.0,0.0
836a45fffffffff,8.0,8.0,0.0,0.0
836a49fffffffff,1.0,0.0,0.0,0.0
836a5afffffffff,17.0,0.0,0.0,0.0
836a61fffffffff,2.0,2.0,0.0,0.0
836a69fffffffff,24.0,21.0,0.0,0.0
836a6cfffffffff,1.0,0.0,0.0,0.0
836ac0fffffffff,13.0,0.0,3.0,0.0
836ac1fffffffff,13.0,0.0,4.0,0.0
836ac3fffffffff,202.0,0.0,37.0,0.0
836ac5fffffffff,1.0,0.0,0.0,0.0
836ac8fffffffff,21.0,0.0,2.0,0.0
836ac9fffffffff,2.0,0.0,0.0,0.0
836acafffffffff,4.0,0.0,0.0,0.0
836accfffffffff,2.0,0.0,0.0,0.0
836acdfffffffff,4.0,0.0,0.0,0.0
836acefffffffff,30.0,0.0,2.0,0.0
836ad8fffffffff,62.0,0.0,28.0,0.0
836adcfffffffff,68.0,0.0,9.0,0.0
836addfffffffff,4.0,0.0,0.0,0.0
836adefffffffff,50.0,0.0,4.0,0.0
836ae0fffffffff,3.0,0.0,0.0,0.0
836ae1fffffffff,2.0,0.0,0.0,0.0
836ae8fffffffff,26.0,0.0,8.0,0.0
836aeafffffffff,98.0,0.0,14.0,0.0
836aecfffffffff,2.0,0.0,0.0,0.0
836aedfffffffff,1.0,0.0,0.0,0.0
836aeefffffffff,15.0,0.0,0.0,0.0
836b8afffffffff,1.0,0.0,1.0,0.0
837a48fffffffff,28.0,0.0,0.0,0.0
837a49fffffffff,6.0,0.0,0.0,0.0
837a4bfffffffff,7.0,0.0,0.0,0.0
837a4cfffffffff,23.0,0.0,3.0,0.0
837a4dfffffffff,46.0,0.0,1.0,0.0
837a68fffffffff,2.0,0.0,0.0,0.0
837a6bfffffffff,6.0,0.0,0.0,0.0
837a6dfffffffff,3.0,0.0,0.0,0.0
837ac8fffffffff,5.0,5.0,0.0,0.0
837accfffffffff,1.0,0.0,0.0,0.0
837acdfffffffff,12.0,11.0,0.0,0.0
837ad9fffffffff,3.0,3.0,0.0,0.0
837aedfffffffff,1.0,1.0,0.0,0.0
838284fffffffff,3.0,0.0,1.0,0.0
838310fffffffff,1.0,0.0,0.0,1.0
838311fffffffff,2.0,0.0,0.0,2.0
838312fffffffff,10.0,0.0,0.0,0.0
838315fffffffff,3.0,0.0,0.0,0.0
838330fffffffff,4.0,0.0,0.0,0.0
838333fffffffff,21.0,0.0,0.0,8.0
83838efffffffff,2.0,0.0,2.0,0.0
839600fffffffff,6.0,0.0,0.0,1.0
839601fffffffff,8.0,0.0,0.0,2.0
839602fffffffff,6.0,0.0,0.0,3.0
839603fffffffff,1.0,0.0,0.0,1.0
839604fffffffff,2.0,0.0,0.0,2.0
839606fffffffff,1.0,0.0,0.0,0.0
839608fffffffff,3.0,0.0,0.0,2.0
839609fffffffff,26.0,0.0,0.0,9.0
83960bfffffffff,6.0,0.0,0.0,0.0
839615fffffffff,21.0,0.0,0.0,6.0
83961efffffffff,1.0,0.0,0.0,0.0
839640fffffffff,1.0,0.0,0.0,0.0
83964cfffffffff,1.0,0.0,0.0,0.0
839656fffffffff,16.0,0.0,0.0,6.0
839666fffffffff,1.0,0.0,0.0,0.0
839670fffffffff,2.0,0.0,0.0,0.0
839690fffffffff,8.0,0.0,0.0,0.0
8396a0fffffffff,4.0,0.0,2.0,0.0
8396a1fffffffff,4.0,0.0,0.0,0.0
8396a2fffffffff,16.0,0.0,0.0,0.0
8396a3fffffffff,4.0,0.0,0.0,0.0
8396a8fffffffff,3.0,0.0,2.0,0.0
8396acfffffffff,2.0,0.0,0.0,0.0
8396adfffffffff,2.0,0.0,0.0,0.0
8396b1fffffffff,1.0,0.0,0.0,0.0
8396b5fffffffff,9.0,0.0,0.0,0.0
8396e4fffffffff,4.0,0.0,0.0,0.0
