cell_id,Chaetura brachyura,Chaetura brachyura [brachyura Group],Chaetura brachyura ocypetes
825e47fffffffff,65.0,0.0,0.0
825e77fffffffff,61.0,0.0,0.0
825f07fffffffff,28.0,0.0,0.0
825f0ffffffffff,207.0,0.0,0.0
825f17fffffffff,136.0,0.0,0.0
825f1ffffffffff,162.0,0.0,0.0
825f2ffffffffff,464.0,0.0,0.0
825f47fffffffff,78.0,1.0,0.0
825f4ffffffffff,80.0,0.0,0.0
825f57fffffffff,12.0,0.0,0.0
825f5ffffffffff,1614.0,0.0,0.0
825f6ffffffffff,31.0,0.0,0.0
825f77fffffffff,32.0,0.0,0.0
826607fffffffff,50.0,0.0,0.0
82660ffffffffff,358.0,6.0,0.0
826617fffffffff,952.0,52.0,0.0
82661ffffffffff,296.0,0.0,0.0
826627fffffffff,155.0,0.0,0.0
82662ffffffffff,35.0,0.0,0.0
826637fffffffff,12.0,0.0,0.0
826647fffffffff,463.0,5.0,0.0
82664ffffffffff,9.0,0.0,0.0
826657fffffffff,269.0,0.0,0.0
82665ffffffffff,695.0,39.0,0.0
826667fffffffff,13.0,0.0,0.0
82666ffffffffff,7.0,0.0,0.0
826677fffffffff,63.0,0.0,0.0
8266a7fffffffff,5369.0,387.0,0.0
8266c7fffffffff,1204.0,18.0,0.0
8266cffffffffff,183.0,10.0,0.0
8266d7fffffffff,90.0,0.0,0.0
8266dffffffffff,2655.0,421.0,0.0
8266e7fffffffff,999.0,0.0,0.0
8266effffffffff,462.0,0.0,0.0
8266f7fffffffff,10.0,0.0,0.0
826747fffffffff,36.0,0.0,0.0
82674ffffffffff,65.0,0.0,0.0
826757fffffffff,120.0,6.0,0.0
82675ffffffffff,59.0,0.0,0.0
828007fffffffff,1.0,0.0,0.0
82800ffffffffff,11.0,0.0,0.0
82802ffffffffff,3.0,0.0,0.0
828047fffffffff,304.0,1.0,0.0
82804ffffffffff,27.0,1.0,0.0
828057fffffffff,33.0,0.0,0.0
828067fffffffff,36.0,0.0,0.0
82806ffffffffff,32.0,0.0,0.0
828077fffffffff,16.0,0.0,0.0
828147fffffffff,10.0,0.0,0.0
82814ffffffffff,99.0,1.0,0.0
82815ffffffffff,44.0,1.0,0.0
828167fffffffff,3.0,0.0,0.0
828a07fffffffff,115.0,14.0,0.0
828a17fffffffff,32.0,1.0,0.0
828a1ffffffffff,20.0,3.0,0.0
828a27fffffffff,15.0,0.0,0.0
828a37fffffffff,11.0,2.0,0.0
828a47fffffffff,441.0,9.0,0.0
828a57fffffffff,4.0,0.0,0.0
828a5ffffffffff,1.0,1.0,0.0
828a6ffffffffff,1275.0,0.0,0.0
828a77fffffffff,17.0,0.0,0.0
828a87fffffffff,50.0,0.0,0.0
828a8ffffffffff,33.0,2.0,0.0
828a97fffffffff,7.0,0.0,0.0
828a9ffffffffff,16.0,0.0,0.0
828aa7fffffffff,3.0,0.0,0.0
828aaffffffffff,129.0,0.0,0.0
828ac7fffffffff,1.0,0.0,0.0
828adffffffffff,76.0,0.0,0.0
828ae7fffffffff,3.0,0.0,0.0
828af7fffffffff,422.0,53.0,0.0
828b07fffffffff,6.0,0.0,0.0
828b0ffffffffff,2.0,0.0,0.0
828b17fffffffff,14.0,0.0,0.0
828b1ffffffffff,9.0,0.0,0.0
828b27fffffffff,117.0,0.0,0.0
828b2ffffffffff,10.0,0.0,0.0
828b37fffffffff,9.0,0.0,0.0
828b47fffffffff,503.0,3.0,0.0
828b4ffffffffff,8.0,0.0,0.0
828b57fffffffff,46.0,1.0,0.0
828b5ffffffffff,40.0,0.0,0.0
828b67fffffffff,381.0,5.0,0.0
828b6ffffffffff,72.0,0.0,0.0
828b77fffffffff,59.0,0.0,0.0
828b87fffffffff,54.0,0.0,0.0
828b8ffffffffff,54.0,0.0,0.0
828b9ffffffffff,434.0,14.0,0.0
828ba7fffffffff,30.0,0.0,0.0
828bb7fffffffff,7.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0
828f0ffffffffff,333.0,0.0,197.0
828f2ffffffffff,323.0,0.0,132.0
828f47fffffffff,315.0,24.0,0.0
828f4ffffffffff,56.0,0.0,0.0
828f57fffffffff,88.0,0.0,30.0
828f5ffffffffff,2.0,0.0,0.0
828f67fffffffff,261.0,0.0,0.0
828f6ffffffffff,99.0,8.0,0.0
828f77fffffffff,146.0,21.0,2.0
82a847fffffffff,2.0,0.0,0.0
82a84ffffffffff,5.0,0.0,0.0
82a85ffffffffff,5.0,0.0,0.0
82a8cffffffffff,1.0,1.0,0.0
