cell_id,Crypturellus noctivagus,Crypturellus noctivagus zabele,Crypturellus noctivagus noctivagus
838024fffffffff,2.0,0.0,0.0
838036fffffffff,2.0,0.0,0.0
838100fffffffff,2.0,2.0,0.0
838102fffffffff,112.0,33.0,6.0
838104fffffffff,5.0,0.0,0.0
838106fffffffff,6.0,0.0,0.0
83810afffffffff,2.0,0.0,0.0
838110fffffffff,2.0,0.0,0.0
838119fffffffff,2.0,0.0,0.0
83811cfffffffff,2.0,1.0,0.0
838121fffffffff,81.0,62.0,0.0
838124fffffffff,162.0,90.0,0.0
838125fffffffff,1.0,0.0,0.0
83812bfffffffff,5.0,1.0,0.0
838130fffffffff,46.0,3.0,0.0
838133fffffffff,94.0,42.0,0.0
8381adfffffffff,2.0,2.0,0.0
83a806fffffffff,13.0,0.0,3.0
83a80efffffffff,1.0,0.0,1.0
83a810fffffffff,56.0,0.0,16.0
83a812fffffffff,9.0,0.0,2.0
83a814fffffffff,31.0,0.0,8.0
83a815fffffffff,183.0,0.0,94.0
83a816fffffffff,10.0,0.0,5.0
83a825fffffffff,1.0,0.0,1.0
83a831fffffffff,156.0,0.0,14.0
83a833fffffffff,111.0,0.0,10.0
83a835fffffffff,133.0,0.0,9.0
83a883fffffffff,58.0,0.0,37.0
83a88bfffffffff,3.0,2.0,0.0
83a891fffffffff,31.0,0.0,0.0
83a899fffffffff,1.0,0.0,0.0
83a89bfffffffff,1.0,0.0,0.0
