cell_id,Cyornis rufigastra,Cyornis rufigastra [rufigastra Group],Cyornis rufigastra [blythi Group]
846435bffffffff,4.0,0.0,0.0
8465019ffffffff,1.0,0.0,0.0
8465033ffffffff,14.0,0.0,0.0
8465057ffffffff,89.0,0.0,0.0
846506dffffffff,2.0,0.0,0.0
846518dffffffff,2.0,0.0,0.0
84651d1ffffffff,6.0,0.0,0.0
84651d9ffffffff,75.0,0.0,0.0
84651ebffffffff,4.0,0.0,0.0
8465201ffffffff,1.0,0.0,0.0
8465225ffffffff,2.0,0.0,0.0
8465237ffffffff,1.0,0.0,0.0
8465535ffffffff,1.0,0.0,0.0
846802dffffffff,2.0,0.0,0.0
8468101ffffffff,5.0,0.0,0.0
8468105ffffffff,4.0,0.0,0.0
846810bffffffff,4.0,0.0,0.0
8468153ffffffff,4.0,3.0,0.0
8468157ffffffff,60.0,1.0,0.0
8468189ffffffff,1.0,0.0,0.0
846818dffffffff,4.0,0.0,0.0
8468193ffffffff,7.0,0.0,0.0
8468197ffffffff,2.0,0.0,0.0
84681a9ffffffff,2.0,0.0,0.0
84681abffffffff,1.0,0.0,0.0
84681b1ffffffff,2.0,0.0,0.0
84681b9ffffffff,1.0,0.0,0.0
84681c3ffffffff,1.0,1.0,0.0
84681d5ffffffff,13.0,1.0,0.0
8468281ffffffff,1.0,0.0,0.0
8468285ffffffff,28.0,0.0,4.0
84682d1ffffffff,6.0,0.0,0.0
8468401ffffffff,19.0,0.0,4.0
8468407ffffffff,2.0,0.0,0.0
846842bffffffff,4.0,0.0,4.0
8468433ffffffff,6.0,0.0,0.0
8468445ffffffff,1.0,0.0,0.0
8468447ffffffff,1.0,0.0,0.0
8468449ffffffff,29.0,0.0,5.0
8468461ffffffff,5.0,0.0,0.0
8468469ffffffff,7.0,0.0,2.0
846846dffffffff,14.0,0.0,3.0
846856bffffffff,5.0,0.0,5.0
846859dffffffff,2.0,0.0,0.0
84685d5ffffffff,1.0,0.0,0.0
8468625ffffffff,10.0,0.0,4.0
8468629ffffffff,2.0,0.0,0.0
8468635ffffffff,1.0,0.0,1.0
8468645ffffffff,1.0,0.0,0.0
8468657ffffffff,2.0,0.0,0.0
846865bffffffff,2.0,0.0,0.0
846866dffffffff,1.0,0.0,0.0
8468713ffffffff,1.0,0.0,0.0
846871bffffffff,2.0,0.0,0.0
846871dffffffff,8.0,0.0,2.0
846875bffffffff,2.0,0.0,0.0
8468e45ffffffff,2.0,0.0,0.0
8468f63ffffffff,3.0,0.0,0.0
8469411ffffffff,3.0,0.0,0.0
8469419ffffffff,5.0,0.0,0.0
846941dffffffff,7.0,0.0,0.0
8469433ffffffff,33.0,0.0,0.0
8469437ffffffff,4.0,0.0,0.0
8469439ffffffff,2.0,0.0,0.0
846943bffffffff,2.0,0.0,0.0
8469451ffffffff,21.0,0.0,0.0
8469457ffffffff,2.0,0.0,0.0
846945dffffffff,2.0,0.0,2.0
846948dffffffff,1.0,0.0,0.0
84694a5ffffffff,8.0,0.0,0.0
84694adffffffff,2.0,0.0,0.0
84694b5ffffffff,1.0,0.0,0.0
84694e1ffffffff,38.0,0.0,5.0
84694e5ffffffff,16.0,0.0,0.0
84694e7ffffffff,1.0,0.0,0.0
84694e9ffffffff,5.0,0.0,0.0
84694edffffffff,108.0,0.0,15.0
8469583ffffffff,1.0,0.0,0.0
8469589ffffffff,5.0,0.0,0.0
846958bffffffff,11.0,0.0,0.0
8469593ffffffff,10.0,0.0,6.0
84695c3ffffffff,1.0,0.0,0.0
84695d1ffffffff,2.0,0.0,0.0
84695dbffffffff,6.0,0.0,0.0
84695ddffffffff,1.0,0.0,0.0
8469685ffffffff,2.0,0.0,2.0
84696a5ffffffff,3.0,0.0,0.0
84696adffffffff,4.0,0.0,0.0
84696dbffffffff,1.0,0.0,0.0
8469997ffffffff,1.0,0.0,0.0
84699a5ffffffff,19.0,0.0,0.0
848c101ffffffff,1.0,0.0,0.0
848c107ffffffff,1.0,0.0,0.0
848c881ffffffff,1.0,0.0,0.0
848c92dffffffff,4.0,0.0,0.0
848c959ffffffff,2.0,0.0,0.0
848caddffffffff,3.0,0.0,0.0
848da67ffffffff,3.0,0.0,0.0
