cell_id,Dicrurus adsimilis,Dicrurus adsimilis apivorus,Dicrurus adsimilis [adsimilis Group],Dicrurus adsimilis divaricatus/lugubris
84528adffffffff,2.0,0.0,0.0,0.0
84528edffffffff,4.0,0.0,0.0,0.0
8452993ffffffff,2.0,0.0,0.0,0.0
84529b9ffffffff,6.0,0.0,0.0,0.0
8452ca9ffffffff,2.0,0.0,0.0,0.0
8452d4dffffffff,3.0,0.0,0.0,0.0
8454a9bffffffff,4.0,0.0,0.0,4.0
846a459ffffffff,12.0,0.0,0.0,0.0
846a493ffffffff,1.0,0.0,0.0,0.0
846a49bffffffff,1.0,0.0,0.0,0.0
846a619ffffffff,4.0,0.0,0.0,0.0
846a653ffffffff,8.0,0.0,0.0,0.0
846a693ffffffff,4.0,0.0,0.0,0.0
846a697ffffffff,7.0,0.0,0.0,0.0
847a401ffffffff,12.0,0.0,4.0,0.0
847a403ffffffff,8.0,0.0,0.0,0.0
847a407ffffffff,9.0,0.0,3.0,0.0
847a40bffffffff,3.0,0.0,0.0,0.0
847a413ffffffff,14.0,0.0,0.0,0.0
847a419ffffffff,4.0,0.0,0.0,0.0
847a41bffffffff,1.0,0.0,0.0,0.0
847a457ffffffff,4.0,0.0,0.0,0.0
847a481ffffffff,7.0,0.0,0.0,0.0
847a489ffffffff,3.0,0.0,0.0,0.0
847a4c1ffffffff,6.0,0.0,0.0,0.0
847a4cdffffffff,5.0,0.0,0.0,0.0
847a5a5ffffffff,3.0,0.0,0.0,0.0
847a5adffffffff,4.0,0.0,0.0,0.0
847a603ffffffff,3.0,0.0,3.0,0.0
847a669ffffffff,1.0,0.0,0.0,0.0
847a683ffffffff,1.0,0.0,0.0,0.0
847a6a7ffffffff,2.0,0.0,0.0,0.0
847a6adffffffff,15.0,0.0,15.0,0.0
847a6c3ffffffff,1.0,0.0,0.0,0.0
847a6e5ffffffff,4.0,0.0,2.0,0.0
847a6e7ffffffff,4.0,0.0,4.0,0.0
847ac15ffffffff,1.0,0.0,0.0,0.0
847ac81ffffffff,38.0,0.0,0.0,0.0
847ac83ffffffff,11.0,0.0,0.0,0.0
847ac87ffffffff,11.0,0.0,0.0,0.0
847ac8bffffffff,38.0,0.0,0.0,0.0
847aca1ffffffff,3.0,0.0,0.0,0.0
847aca5ffffffff,2.0,0.0,0.0,0.0
847acb3ffffffff,1.0,0.0,0.0,0.0
847acc5ffffffff,1.0,0.0,0.0,0.0
847accdffffffff,9.0,0.0,0.0,0.0
847acd5ffffffff,13.0,0.0,0.0,0.0
847acd7ffffffff,9.0,0.0,0.0,1.0
847ad91ffffffff,1.0,0.0,0.0,0.0
847ad93ffffffff,22.0,0.0,0.0,0.0
847ad95ffffffff,1.0,0.0,0.0,0.0
847ad97ffffffff,9.0,0.0,0.0,0.0
847ad99ffffffff,90.0,0.0,0.0,0.0
847ad9dffffffff,1.0,0.0,0.0,0.0
847ae81ffffffff,16.0,0.0,0.0,0.0
847ae85ffffffff,12.0,0.0,0.0,0.0
847ae87ffffffff,16.0,0.0,0.0,0.0
847ae8bffffffff,6.0,0.0,0.0,0.0
847ae91ffffffff,3.0,0.0,0.0,0.0
847ae95ffffffff,2.0,0.0,0.0,0.0
847ae99ffffffff,18.0,0.0,0.0,0.0
847ae9bffffffff,20.0,0.0,0.0,0.0
847ae9dffffffff,3.0,0.0,0.0,0.0
847aea3ffffffff,4.0,0.0,0.0,0.0
847aea7ffffffff,4.0,0.0,0.0,0.0
847aeabffffffff,2.0,0.0,0.0,0.0
847aebdffffffff,3.0,0.0,0.0,0.0
847aed1ffffffff,5.0,0.0,0.0,0.0
847aed3ffffffff,4.0,0.0,0.0,0.0
847b4c7ffffffff,5.0,0.0,0.0,0.0
847b595ffffffff,1.0,0.0,0.0,0.0
847b597ffffffff,3.0,0.0,1.0,0.0
8482a09ffffffff,6.0,0.0,0.0,0.0
8482a0bffffffff,3.0,0.0,0.0,0.0
8482a55ffffffff,2.0,0.0,0.0,0.0
8496207ffffffff,1.0,0.0,1.0,0.0
8496907ffffffff,2.0,0.0,0.0,0.0
849693dffffffff,1.0,0.0,0.0,0.0
84969a5ffffffff,1.0,0.0,0.0,0.0
8496b13ffffffff,27.0,0.0,0.0,0.0
8496b19ffffffff,11.0,0.0,0.0,0.0
8496b1bffffffff,21.0,0.0,0.0,0.0
8496b57ffffffff,20.0,0.0,0.0,0.0
8496b63ffffffff,1.0,0.0,0.0,0.0
849721bffffffff,4.0,0.0,4.0,0.0
849728dffffffff,8.0,0.0,8.0,0.0
84972c9ffffffff,1.0,0.0,1.0,0.0
84972cdffffffff,2.0,0.0,2.0,0.0
84972e3ffffffff,5.0,0.0,5.0,0.0
84972ebffffffff,10.0,0.0,8.0,0.0
8497431ffffffff,1.0,0.0,0.0,0.0
84974abffffffff,2.0,0.0,0.0,0.0
84974e1ffffffff,1.0,0.0,0.0,0.0
84974e9ffffffff,3.0,0.0,0.0,0.0
8497513ffffffff,3.0,0.0,0.0,0.0
84975c7ffffffff,1.0,0.0,0.0,0.0
84ad861ffffffff,1.0,1.0,0.0,0.0
84ad867ffffffff,2.0,1.0,0.0,0.0
84bc0bdffffffff,2.0,0.0,0.0,0.0
84bc1b7ffffffff,2.0,0.0,0.0,0.0
84bc443ffffffff,2.0,0.0,0.0,0.0
84bc447ffffffff,2.0,0.0,0.0,0.0
84bc455ffffffff,3.0,0.0,0.0,0.0
84bcc4bffffffff,3.0,0.0,3.0,0.0
84bcc65ffffffff,2.0,0.0,2.0,0.0
84bcd05ffffffff,25.0,0.0,18.0,0.0
84bcd09ffffffff,2.0,0.0,2.0,0.0
84bcd0bffffffff,6.0,0.0,6.0,0.0
84bcd0dffffffff,3.0,0.0,2.0,0.0
84bcd13ffffffff,1.0,0.0,1.0,0.0
84bcd21ffffffff,11.0,0.0,8.0,0.0
84bcd23ffffffff,2.0,0.0,0.0,0.0
84bcd25ffffffff,3.0,0.0,3.0,0.0
84bcd27ffffffff,13.0,0.0,13.0,0.0
84bcd29ffffffff,13.0,0.0,9.0,0.0
84bcd63ffffffff,11.0,0.0,10.0,0.0
84bcd67ffffffff,4.0,0.0,2.0,0.0
84bcdc1ffffffff,3.0,2.0,1.0,0.0
84bcdc3ffffffff,2.0,2.0,0.0,0.0
84bcdc9ffffffff,7.0,7.0,0.0,0.0
84bcdcdffffffff,6.0,0.0,4.0,0.0
84bcdd1ffffffff,3.0,0.0,0.0,0.0
84bcde5ffffffff,6.0,0.0,6.0,0.0
84bcf5bffffffff,1.0,0.0,0.0,0.0
