cell_id,Phylloscopus sindianus,Phylloscopus sindianus lorenzii,Phylloscopus sindianus sindianus
83209bfffffffff,2.0,0.0,0.0
8320b3fffffffff,1.0,0.0,1.0
832c04fffffffff,92.0,9.0,0.0
832c09fffffffff,2.0,2.0,0.0
832c10fffffffff,3.0,1.0,0.0
832c21fffffffff,4.0,4.0,0.0
832c22fffffffff,4.0,2.0,0.0
832c93fffffffff,25.0,1.0,0.0
832c9cfffffffff,9.0,2.0,0.0
832cc3fffffffff,1.0,0.0,0.0
832cd4fffffffff,2.0,2.0,0.0
832ce4fffffffff,1.0,1.0,0.0
832cf1fffffffff,3.0,0.0,0.0
832cf3fffffffff,23.0,13.0,0.0
832da1fffffffff,3.0,0.0,0.0
833d00fffffffff,4.0,0.0,4.0
833d04fffffffff,31.0,0.0,6.0
833d10fffffffff,2.0,0.0,0.0
833d22fffffffff,8.0,0.0,2.0
833d30fffffffff,10.0,0.0,0.0
833d33fffffffff,1.0,0.0,0.0
833d34fffffffff,2.0,0.0,0.0
833d35fffffffff,4.0,0.0,0.0
833dacfffffffff,6.0,0.0,0.0
833dadfffffffff,5.0,0.0,0.0
834222fffffffff,2.0,0.0,0.0
834249fffffffff,7.0,0.0,0.0
83431efffffffff,3.0,3.0,0.0
834361fffffffff,2.0,0.0,0.0
834364fffffffff,1.0,0.0,0.0
8343adfffffffff,1.0,1.0,0.0
