cell_id,Ceyx meeki,Ceyx meeki pallidus,Ceyx meeki meeki
827687fffffffff,4.0,2.0,2.0
82768ffffffffff,1.0,0.0,0.0
829edffffffffff,8.0,0.0,6.0
