cell_id,Nyctanassa violacea,Nyctanassa violacea [violacea Group],Nyctanassa violacea pauper
83260bfffffffff,14.0,0.0,0.0
832619fffffffff,1.0,0.0,0.0
832640fffffffff,197.0,0.0,0.0
832641fffffffff,111.0,0.0,0.0
832642fffffffff,9.0,0.0,0.0
832643fffffffff,55.0,0.0,0.0
832646fffffffff,38.0,0.0,0.0
832648fffffffff,36.0,0.0,0.0
832649fffffffff,45.0,0.0,0.0
83264afffffffff,55.0,0.0,0.0
83264bfffffffff,8.0,0.0,0.0
83264cfffffffff,35.0,0.0,0.0
83264dfffffffff,162.0,0.0,0.0
83264efffffffff,63.0,0.0,0.0
832650fffffffff,8.0,0.0,0.0
832651fffffffff,16.0,0.0,0.0
832652fffffffff,101.0,0.0,0.0
832653fffffffff,231.0,0.0,0.0
832654fffffffff,14.0,0.0,0.0
832655fffffffff,48.0,0.0,0.0
832656fffffffff,59.0,0.0,0.0
832658fffffffff,4.0,0.0,0.0
832659fffffffff,229.0,0.0,0.0
83265afffffffff,19.0,0.0,0.0
83265bfffffffff,133.0,0.0,0.0
83265cfffffffff,67.0,0.0,0.0
83265dfffffffff,48.0,0.0,0.0
83265efffffffff,18.0,0.0,0.0
832661fffffffff,6.0,0.0,0.0
832663fffffffff,2.0,0.0,0.0
832664fffffffff,1.0,0.0,0.0
832668fffffffff,32.0,0.0,0.0
83266afffffffff,12.0,0.0,0.0
83266cfffffffff,3.0,0.0,0.0
83266efffffffff,79.0,0.0,0.0
832672fffffffff,1.0,0.0,0.0
832673fffffffff,5.0,0.0,0.0
8326c1fffffffff,275.0,0.0,0.0
8326c3fffffffff,76.0,0.0,0.0
8326c4fffffffff,11.0,0.0,0.0
8326c5fffffffff,88.0,0.0,0.0
8326c6fffffffff,6.0,0.0,0.0
8326c8fffffffff,1167.0,0.0,0.0
8326c9fffffffff,30.0,0.0,0.0
8326cafffffffff,166.0,0.0,0.0
8326cbfffffffff,995.0,0.0,0.0
8326ccfffffffff,14.0,0.0,0.0
8326cdfffffffff,8.0,0.0,0.0
8326cefffffffff,4.0,0.0,0.0
8326d3fffffffff,2.0,0.0,0.0
8326d5fffffffff,2.0,0.0,0.0
8326d8fffffffff,3.0,0.0,0.0
8326d9fffffffff,56.0,0.0,0.0
8326dafffffffff,3.0,0.0,0.0
8326dbfffffffff,4.0,0.0,0.0
8326dcfffffffff,5.0,0.0,0.0
8326ddfffffffff,34.0,0.0,0.0
8326defffffffff,202.0,0.0,0.0
8326e0fffffffff,7.0,0.0,0.0
8326e2fffffffff,312.0,0.0,0.0
8326e3fffffffff,37.0,0.0,0.0
8326e4fffffffff,2.0,0.0,0.0
8326e5fffffffff,210.0,0.0,0.0
8326e6fffffffff,3.0,0.0,0.0
8326e8fffffffff,15.0,0.0,0.0
8326e9fffffffff,15.0,0.0,0.0
8326eafffffffff,24.0,0.0,0.0
8326ebfffffffff,2.0,0.0,0.0
8326ecfffffffff,88.0,0.0,0.0
8326edfffffffff,133.0,0.0,0.0
8326eefffffffff,76.0,0.0,0.0
8326f1fffffffff,2.0,0.0,0.0
832912fffffffff,1367.0,0.0,0.0
832913fffffffff,4.0,0.0,0.0
8329a1fffffffff,47.0,0.0,0.0
8329a4fffffffff,2560.0,0.0,0.0
8329a5fffffffff,479.0,0.0,0.0
832a06fffffffff,2.0,0.0,0.0
832a10fffffffff,8703.0,0.0,0.0
832a13fffffffff,1657.0,0.0,0.0
832a14fffffffff,666.0,0.0,0.0
832a15fffffffff,366.0,0.0,0.0
832a30fffffffff,4.0,0.0,0.0
832a31fffffffff,289.0,0.0,0.0
832a33fffffffff,297.0,0.0,0.0
832a4cfffffffff,1176.0,0.0,0.0
832a89fffffffff,50.0,0.0,0.0
832a8afffffffff,152.0,0.0,0.0
832a8bfffffffff,503.0,0.0,0.0
832a8efffffffff,2.0,0.0,0.0
832a90fffffffff,7.0,0.0,0.0
832a99fffffffff,2.0,0.0,0.0
832a9bfffffffff,69.0,0.0,0.0
832aa1fffffffff,135.0,0.0,0.0
832aa8fffffffff,725.0,19.0,0.0
832aa9fffffffff,476.0,0.0,0.0
832aaafffffffff,316.0,0.0,0.0
832aacfffffffff,37.0,0.0,0.0
832aadfffffffff,3497.0,0.0,0.0
832aaefffffffff,74.0,0.0,0.0
832ac6fffffffff,63.0,0.0,0.0
832ad0fffffffff,50.0,0.0,0.0
832ad1fffffffff,41.0,0.0,0.0
832ad2fffffffff,9.0,0.0,0.0
832ad3fffffffff,495.0,0.0,0.0
832ad4fffffffff,4.0,0.0,0.0
832ad5fffffffff,87.0,0.0,0.0
832ad6fffffffff,25.0,0.0,0.0
832af0fffffffff,45.0,0.0,0.0
832af1fffffffff,97.0,0.0,0.0
832af2fffffffff,12.0,0.0,0.0
832af3fffffffff,86.0,0.0,0.0
832af6fffffffff,2095.0,0.0,0.0
832b0afffffffff,80.0,0.0,0.0
832b0cfffffffff,31.0,0.0,0.0
832b0efffffffff,5.0,0.0,0.0
832b19fffffffff,20.0,0.0,0.0
832b1dfffffffff,4.0,0.0,0.0
832b29fffffffff,7.0,0.0,0.0
832b2afffffffff,2.0,0.0,0.0
834412fffffffff,1038.0,0.0,0.0
834413fffffffff,5578.0,27.0,0.0
834414fffffffff,221.0,0.0,0.0
834415fffffffff,8.0,0.0,0.0
834416fffffffff,1339.0,0.0,0.0
83441afffffffff,2726.0,69.0,0.0
83441bfffffffff,248.0,0.0,0.0
83441efffffffff,3438.0,95.0,0.0
834424fffffffff,216.0,0.0,0.0
834430fffffffff,12.0,0.0,0.0
834432fffffffff,109.0,0.0,0.0
834434fffffffff,41.0,0.0,0.0
834436fffffffff,28.0,0.0,0.0
834440fffffffff,630.0,0.0,0.0
834441fffffffff,33.0,0.0,0.0
834442fffffffff,68.0,0.0,0.0
834443fffffffff,60.0,0.0,0.0
834444fffffffff,273.0,0.0,0.0
834445fffffffff,722.0,0.0,0.0
834446fffffffff,1811.0,0.0,0.0
834448fffffffff,28.0,0.0,0.0
834449fffffffff,151.0,0.0,0.0
83444afffffffff,2.0,0.0,0.0
83444bfffffffff,10.0,0.0,0.0
83444cfffffffff,322.0,0.0,0.0
83444dfffffffff,83.0,0.0,0.0
83444efffffffff,49.0,0.0,0.0
834450fffffffff,1571.0,0.0,0.0
834452fffffffff,28.0,0.0,0.0
834453fffffffff,2.0,0.0,0.0
834454fffffffff,9.0,0.0,0.0
834455fffffffff,1214.0,0.0,0.0
834456fffffffff,136.0,0.0,0.0
834458fffffffff,18.0,0.0,0.0
834459fffffffff,46.0,0.0,0.0
83445afffffffff,16.0,0.0,0.0
83445bfffffffff,2.0,0.0,0.0
83445cfffffffff,59.0,0.0,0.0
83445dfffffffff,21.0,0.0,0.0
834461fffffffff,1.0,0.0,0.0
834463fffffffff,321.0,0.0,0.0
834464fffffffff,4.0,0.0,0.0
834468fffffffff,115.0,0.0,0.0
834469fffffffff,148.0,0.0,0.0
83446afffffffff,77.0,0.0,0.0
83446bfffffffff,40.0,0.0,0.0
83446cfffffffff,13301.0,0.0,0.0
83446dfffffffff,592.0,0.0,0.0
83446efffffffff,1711.0,0.0,0.0
834471fffffffff,175.0,0.0,0.0
834473fffffffff,961.0,0.0,0.0
834480fffffffff,8.0,0.0,0.0
834484fffffffff,349.0,0.0,0.0
834485fffffffff,332.0,0.0,0.0
834486fffffffff,137.0,0.0,0.0
8344a0fffffffff,1.0,0.0,0.0
8344a1fffffffff,2728.0,45.0,0.0
8344a2fffffffff,14.0,0.0,0.0
8344a3fffffffff,947.0,0.0,0.0
