cell_id,Pampa curvipennis,Pampa curvipennis curvipennis,Pampa curvipennis pampa,Pampa curvipennis excellens
834424fffffffff,9.0,0.0,0.0,0.0
834501fffffffff,11.0,0.0,0.0,0.0
834505fffffffff,5.0,0.0,0.0,0.0
834508fffffffff,440.0,0.0,43.0,0.0
834509fffffffff,2.0,0.0,0.0,0.0
83450afffffffff,1084.0,0.0,43.0,0.0
83450bfffffffff,232.0,0.0,25.0,0.0
83450cfffffffff,139.0,0.0,5.0,0.0
83450dfffffffff,56.0,0.0,28.0,0.0
83450efffffffff,799.0,0.0,66.0,0.0
834520fffffffff,2.0,0.0,0.0,0.0
834521fffffffff,21.0,0.0,0.0,0.0
834523fffffffff,36.0,0.0,0.0,0.0
834525fffffffff,2.0,0.0,0.0,0.0
834528fffffffff,631.0,0.0,54.0,0.0
834529fffffffff,6.0,0.0,2.0,0.0
83452afffffffff,753.0,0.0,20.0,0.0
83452bfffffffff,366.0,0.0,29.0,0.0
83452cfffffffff,907.0,0.0,81.0,0.0
83452dfffffffff,83.0,0.0,8.0,0.0
83452efffffffff,3594.0,0.0,95.0,0.0
834530fffffffff,10.0,0.0,0.0,0.0
834534fffffffff,106.0,0.0,0.0,0.0
834535fffffffff,9.0,0.0,0.0,0.0
834564fffffffff,33.0,0.0,0.0,33.0
834572fffffffff,6.0,0.0,0.0,0.0
834574fffffffff,4.0,0.0,0.0,0.0
834576fffffffff,2.0,0.0,0.0,0.0
834990fffffffff,140.0,17.0,0.0,0.0
834991fffffffff,48.0,11.0,0.0,0.0
834993fffffffff,5.0,3.0,0.0,0.0
834994fffffffff,7.0,0.0,0.0,0.0
834996fffffffff,3407.0,1158.0,0.0,0.0
834998fffffffff,465.0,57.0,0.0,0.0
83499bfffffffff,2.0,2.0,0.0,0.0
83499cfffffffff,102.0,0.0,0.0,0.0
83499efffffffff,38.0,0.0,0.0,0.0
836d20fffffffff,28.0,0.0,0.0,0.0
836d21fffffffff,96.0,0.0,32.0,0.0
836d22fffffffff,40.0,0.0,0.0,40.0
836d23fffffffff,280.0,0.0,0.0,272.0
836d2cfffffffff,107.0,0.0,22.0,0.0
836d2dfffffffff,103.0,0.0,0.0,0.0
836d30fffffffff,102.0,17.0,0.0,0.0
836d31fffffffff,141.0,0.0,0.0,126.0
836d34fffffffff,57.0,0.0,0.0,57.0
836d35fffffffff,393.0,0.0,0.0,386.0
836d36fffffffff,127.0,4.0,0.0,0.0
