cell_id,Ptilopachus petrosus,Ptilopachus petrosus petrosus,Ptilopachus petrosus major
82540ffffffffff,6.0,0.0,0.0
82541ffffffffff,107.0,5.0,0.0
825447fffffffff,15.0,0.0,0.0
82544ffffffffff,1.0,0.0,0.0
825457fffffffff,4.0,0.0,0.0
82546ffffffffff,1.0,0.0,0.0
8254affffffffff,121.0,15.0,0.0
8254e7fffffffff,197.0,30.0,0.0
8254effffffffff,1.0,0.0,0.0
8254f7fffffffff,61.0,9.0,0.0
82580ffffffffff,2.0,0.0,0.0
82585ffffffffff,3.0,0.0,0.0
825897fffffffff,7.0,0.0,0.0
8258a7fffffffff,15.0,0.0,0.0
8258affffffffff,1.0,0.0,0.0
8258b7fffffffff,10.0,0.0,0.0
8258cffffffffff,5.0,0.0,0.0
8258e7fffffffff,153.0,0.0,0.0
8258effffffffff,1.0,0.0,0.0
8258f7fffffffff,2.0,0.0,0.0
825987fffffffff,4.0,0.0,0.0
82598ffffffffff,1.0,0.0,0.0
825997fffffffff,5.0,0.0,0.0
82599ffffffffff,6.0,0.0,0.0
826a17fffffffff,3.0,0.0,0.0
826a5ffffffffff,25.0,0.0,0.0
826aeffffffffff,3.0,0.0,0.0
826bb7fffffffff,2.0,0.0,0.0
827527fffffffff,372.0,37.0,0.0
82752ffffffffff,120.0,10.0,0.0
827537fffffffff,8.0,0.0,0.0
827577fffffffff,1.0,0.0,0.0
827a47fffffffff,9.0,0.0,0.0
827a4ffffffffff,42.0,0.0,0.0
