cell_id,Ficedula basilanica,Ficedula basilanica samarensis,Ficedula basilanica basilanica
826847fffffffff,5.0,0.0,0.0
82684ffffffffff,107.0,0.0,5.0
826857fffffffff,13.0,0.0,1.0
82685ffffffffff,30.0,0.0,2.0
82686ffffffffff,13.0,0.0,0.0
