cell_id,Aplopelia larvata,Aplopelia larvata inornata,Aplopelia larvata principalis,Aplopelia larvata simplex,Aplopelia larvata larvata/bronzina
846ac5bffffffff,3.0,0.0,0.0,0.0,3.0
847a451ffffffff,4.0,0.0,0.0,0.0,0.0
847a459ffffffff,2.0,0.0,0.0,0.0,0.0
847a4cbffffffff,1.0,0.0,0.0,0.0,0.0
847a4d1ffffffff,1.0,0.0,0.0,0.0,0.0
847a5c1ffffffff,1.0,0.0,0.0,0.0,0.0
847a5d5ffffffff,2.0,0.0,0.0,0.0,0.0
847a643ffffffff,2.0,0.0,0.0,0.0,0.0
847a657ffffffff,6.0,0.0,0.0,0.0,0.0
847a683ffffffff,2.0,0.0,0.0,0.0,0.0
847a6adffffffff,1.0,0.0,0.0,0.0,0.0
847a6e5ffffffff,3.0,0.0,0.0,0.0,0.0
8482c0dffffffff,3.0,0.0,3.0,0.0,0.0
8482e33ffffffff,2.0,0.0,0.0,0.0,0.0
8482e37ffffffff,5.0,0.0,0.0,2.0,0.0
8496903ffffffff,2.0,0.0,0.0,0.0,0.0
84972d9ffffffff,17.0,0.0,0.0,0.0,0.0
84ad361ffffffff,5.0,0.0,0.0,0.0,2.0
84bc455ffffffff,1.0,0.0,0.0,0.0,1.0
84bcf09ffffffff,6.0,0.0,0.0,0.0,0.0
