cell_id,Arremonops rufivirgatus,Arremonops rufivirgatus [rufivirgatus Group],Arremonops rufivirgatus [superciliosus Group]
82452ffffffffff,64.0,0.0,0.0
824817fffffffff,1.0,0.0,0.0
824887fffffffff,10.0,2.0,0.0
824897fffffffff,4.0,0.0,0.0
82489ffffffffff,15.0,2.0,0.0
8248a7fffffffff,4.0,2.0,0.0
8248b7fffffffff,53.0,9.0,0.0
824997fffffffff,22.0,13.0,0.0
82499ffffffffff,6.0,5.0,0.0
8249a7fffffffff,2.0,0.0,2.0
8249affffffffff,1.0,0.0,1.0
826d17fffffffff,4.0,0.0,0.0
826d27fffffffff,4.0,0.0,0.0
826d2ffffffffff,10.0,0.0,0.0
826d37fffffffff,2.0,2.0,0.0
826d6ffffffffff,28.0,0.0,1.0
