cell_id,Pipreola frontalis,Pipreola frontalis squamipectus,Pipreola frontalis frontalis
8366dafffffffff,13.0,0.0,0.0
8366defffffffff,104.0,5.0,0.0
838b21fffffffff,4.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0
838b2cfffffffff,4.0,0.0,0.0
838b2dfffffffff,5.0,0.0,0.0
838b61fffffffff,1.0,0.0,0.0
838b62fffffffff,1.0,0.0,0.0
838b63fffffffff,1.0,0.0,0.0
838b75fffffffff,10.0,0.0,0.0
838e64fffffffff,9.0,0.0,0.0
838e6cfffffffff,2.0,0.0,0.0
838f43fffffffff,109.0,0.0,4.0
838f46fffffffff,17.0,0.0,0.0
838f48fffffffff,1.0,0.0,0.0
838f70fffffffff,86.0,6.0,0.0
838f72fffffffff,13.0,2.0,0.0
838f74fffffffff,2.0,0.0,0.0
838f76fffffffff,20.0,0.0,0.0
83b325fffffffff,12.0,0.0,0.0
