cell_id,Cinclodes pabsti,Cinclodes pabsti espinhacensis,Cinclodes pabsti pabsti
84a88e3ffffffff,1.0,1.0,0.0
84a88e9ffffffff,14.0,9.0,0.0
84a88ebffffffff,97.0,86.0,0.0
84a90a5ffffffff,2.0,0.0,0.0
84a90e5ffffffff,90.0,0.0,38.0
84a9191ffffffff,23.0,0.0,14.0
84a9195ffffffff,8.0,0.0,3.0
84a9199ffffffff,2.0,0.0,0.0
84a919bffffffff,2.0,0.0,0.0
84a919dffffffff,1.0,0.0,1.0
84a91d1ffffffff,30.0,0.0,18.0
84a91d3ffffffff,3.0,0.0,1.0
84a91d7ffffffff,5.0,0.0,4.0
84a91d9ffffffff,8.0,0.0,1.0
84a91dbffffffff,40.0,0.0,27.0
