cell_id,Phylloscopus collybita,Phylloscopus collybita [collybita Group],Phylloscopus collybita tristis
840125dffffffff,6.0,0.0,0.0
8401261ffffffff,2.0,0.0,0.0
8401269ffffffff,2.0,0.0,0.0
840130bffffffff,1.0,0.0,0.0
840131dffffffff,2.0,0.0,0.0
8401351ffffffff,10.0,0.0,0.0
8401353ffffffff,7.0,0.0,0.0
840135bffffffff,5.0,0.0,0.0
8407411ffffffff,9.0,3.0,0.0
8407417ffffffff,9.0,0.0,0.0
8407433ffffffff,9.0,0.0,0.0
840744bffffffff,7.0,0.0,0.0
8407451ffffffff,1.0,1.0,0.0
840745dffffffff,12.0,0.0,0.0
84074e9ffffffff,2.0,2.0,0.0
84074edffffffff,5.0,0.0,0.0
84075cbffffffff,1.0,0.0,0.0
84075d1ffffffff,12.0,3.0,0.0
84075d9ffffffff,2.0,0.0,0.0
84075ddffffffff,2.0,0.0,0.0
8407621ffffffff,13.0,4.0,0.0
8407623ffffffff,50.0,9.0,0.0
8407635ffffffff,51.0,10.0,0.0
8407715ffffffff,9.0,4.0,0.0
8407731ffffffff,5.0,0.0,0.0
8407733ffffffff,1.0,1.0,0.0
8407739ffffffff,10.0,0.0,0.0
8407753ffffffff,3.0,0.0,0.0
8408001ffffffff,1.0,0.0,0.0
8408007ffffffff,4.0,0.0,0.0
8408021ffffffff,4.0,0.0,0.0
8408023ffffffff,2.0,0.0,0.0
8408025ffffffff,4.0,0.0,0.0
840802dffffffff,4.0,0.0,0.0
8408033ffffffff,1.0,0.0,0.0
8408065ffffffff,56.0,0.0,0.0
8408067ffffffff,2.0,0.0,0.0
840806dffffffff,1.0,0.0,0.0
8408105ffffffff,3.0,0.0,0.0
840810dffffffff,2.0,0.0,0.0
8408111ffffffff,1.0,1.0,0.0
8408115ffffffff,2.0,0.0,0.0
8408119ffffffff,2.0,0.0,0.0
8408133ffffffff,12.0,1.0,0.0
8408137ffffffff,3.0,0.0,0.0
840813bffffffff,4.0,0.0,0.0
8408141ffffffff,4.0,0.0,0.0
8408143ffffffff,2.0,0.0,0.0
8408149ffffffff,1.0,0.0,0.0
840814bffffffff,2.0,0.0,0.0
840814dffffffff,4.0,0.0,0.0
8408151ffffffff,44.0,4.0,0.0
8408153ffffffff,15.0,0.0,0.0
8408159ffffffff,26.0,0.0,0.0
840815bffffffff,22.0,0.0,0.0
8408165ffffffff,10.0,0.0,0.0
8408183ffffffff,2.0,2.0,0.0
8408193ffffffff,3.0,0.0,0.0
840819bffffffff,2.0,0.0,0.0
840819dffffffff,1.0,0.0,0.0
84081d9ffffffff,2.0,0.0,0.0
84081e1ffffffff,6.0,0.0,0.0
84081e5ffffffff,42.0,1.0,0.0
84081e7ffffffff,2.0,0.0,0.0
84081edffffffff,3.0,1.0,0.0
8408281ffffffff,2.0,0.0,0.0
8408283ffffffff,2.0,0.0,0.0
8408287ffffffff,2.0,0.0,0.0
8408295ffffffff,2.0,0.0,0.0
840829bffffffff,8.0,0.0,0.0
84082a5ffffffff,12.0,2.0,0.0
84082b1ffffffff,1.0,0.0,0.0
84082b7ffffffff,4.0,0.0,0.0
84082b9ffffffff,2.0,0.0,0.0
84082dbffffffff,1.0,0.0,0.0
8408305ffffffff,2.0,0.0,0.0
8408317ffffffff,1.0,0.0,0.0
8408321ffffffff,1.0,0.0,0.0
8408329ffffffff,10.0,0.0,0.0
840832bffffffff,4.0,2.0,0.0
840832dffffffff,14.0,0.0,0.0
8408331ffffffff,8.0,0.0,0.0
8408333ffffffff,15.0,0.0,0.0
8408337ffffffff,7.0,0.0,0.0
8408339ffffffff,6.0,0.0,0.0
840833bffffffff,20.0,0.0,0.0
840833dffffffff,7.0,0.0,0.0
8408361ffffffff,5.0,0.0,0.0
8408363ffffffff,4.0,0.0,0.0
8408365ffffffff,2.0,0.0,0.0
8408367ffffffff,1.0,0.0,0.0
840836dffffffff,11.0,0.0,0.0
8408803ffffffff,2.0,0.0,0.0
8408805ffffffff,4.0,0.0,0.0
8408809ffffffff,8.0,0.0,0.0
840880bffffffff,5.0,0.0,0.0
840880dffffffff,22.0,0.0,0.0
8408821ffffffff,4.0,0.0,0.0
8408823ffffffff,1.0,0.0,0.0
8408829ffffffff,3.0,0.0,0.0
840882bffffffff,2.0,0.0,0.0
8408837ffffffff,4.0,0.0,0.0
8408839ffffffff,6.0,0.0,0.0
840883dffffffff,7.0,0.0,0.0
8408843ffffffff,2.0,0.0,0.0
8408847ffffffff,2.0,0.0,0.0
840884dffffffff,4.0,0.0,0.0
8408863ffffffff,8.0,0.0,0.0
8408867ffffffff,31.0,4.0,0.0
8408869ffffffff,5.0,0.0,0.0
840886bffffffff,14.0,1.0,0.0
8408881ffffffff,4.0,0.0,0.0
8408885ffffffff,4.0,2.0,0.0
8408889ffffffff,60.0,0.0,0.0
840888dffffffff,14.0,9.0,0.0
840889bffffffff,1.0,0.0,0.0
84088a1ffffffff,2.0,2.0,0.0
84088a3ffffffff,2.0,0.0,0.0
84088a9ffffffff,7.0,2.0,0.0
84088adffffffff,14.0,2.0,0.0
84088b5ffffffff,2.0,0.0,0.0
84088dbffffffff,4.0,0.0,0.0
84088e1ffffffff,24.0,24.0,0.0
84088e3ffffffff,5.0,2.0,0.0
84088e7ffffffff,8.0,8.0,0.0
8408901ffffffff,8.0,0.0,0.0
840890dffffffff,1.0,0.0,0.0
8408933ffffffff,3.0,0.0,0.0
8408937ffffffff,21.0,0.0,0.0
8408959ffffffff,19.0,0.0,0.0
840895bffffffff,10.0,3.0,0.0
8408961ffffffff,1.0,0.0,0.0
8408965ffffffff,9.0,0.0,0.0
8408967ffffffff,4.0,0.0,0.0
8408969ffffffff,2.0,0.0,0.0
8408985ffffffff,62.0,0.0,0.0
8408987ffffffff,8.0,0.0,0.0
840898bffffffff,10.0,0.0,0.0
8408991ffffffff,25.0,2.0,0.0
8408993ffffffff,2.0,2.0,0.0
8408995ffffffff,17.0,2.0,0.0
8408997ffffffff,57.0,15.0,0.0
8408999ffffffff,12.0,3.0,0.0
840899bffffffff,4.0,0.0,0.0
84089a1ffffffff,58.0,2.0,0.0
84089a5ffffffff,13.0,0.0,0.0
84089a7ffffffff,24.0,0.0,0.0
84089a9ffffffff,246.0,2.0,0.0
84089abffffffff,15.0,0.0,0.0
84089adffffffff,20.0,0.0,0.0
84089b1ffffffff,28.0,4.0,2.0
84089b5ffffffff,6.0,0.0,0.0
84089b7ffffffff,12.0,2.0,0.0
84089bbffffffff,14.0,0.0,0.0
84089bdffffffff,13.0,0.0,0.0
84089c3ffffffff,3.0,0.0,0.0
84089d1ffffffff,3.0,0.0,0.0
84089d3ffffffff,38.0,0.0,0.0
84089d9ffffffff,4.0,0.0,0.0
84089dbffffffff,10.0,0.0,0.0
84089e1ffffffff,5.0,0.0,3.0
84089e3ffffffff,73.0,0.0,0.0
84089e5ffffffff,14.0,0.0,0.0
84089e7ffffffff,15.0,0.0,0.0
84089ebffffffff,34.0,0.0,0.0
84089edffffffff,6.0,0.0,0.0
8408a15ffffffff,4.0,2.0,0.0
8408a31ffffffff,1.0,0.0,0.0
8408a43ffffffff,2.0,0.0,0.0
8408a45ffffffff,15.0,7.0,0.0
8408a53ffffffff,6.0,0.0,0.0
8408a5dffffffff,2.0,0.0,0.0
8408a67ffffffff,2.0,0.0,0.0
8408a69ffffffff,2.0,0.0,0.0
8408a97ffffffff,2.0,0.0,0.0
8408a9bffffffff,3.0,0.0,0.0
8408b05ffffffff,4.0,2.0,0.0
8408b09ffffffff,5.0,0.0,0.0
8408b0dffffffff,10.0,2.0,0.0
8408b11ffffffff,26.0,0.0,0.0
8408b15ffffffff,17.0,0.0,0.0
8408b17ffffffff,3.0,0.0,0.0
8408b1bffffffff,2.0,0.0,0.0
8408b2dffffffff,2.0,0.0,0.0
8408b33ffffffff,2.0,0.0,0.0
8408b37ffffffff,2.0,0.0,0.0
8408b3bffffffff,1.0,1.0,0.0
8408b3dffffffff,1.0,0.0,0.0
8408b41ffffffff,8.0,0.0,0.0
8408b47ffffffff,2.0,0.0,0.0
8408b4dffffffff,2.0,0.0,0.0
8408b51ffffffff,2.0,0.0,0.0
8408b53ffffffff,2.0,0.0,0.0
8408b61ffffffff,1.0,0.0,0.0
8408b63ffffffff,2.0,0.0,0.0
8408b65ffffffff,2.0,0.0,0.0
8408b67ffffffff,4.0,0.0,0.0
8408b69ffffffff,1.0,0.0,0.0
8408b6dffffffff,1.0,0.0,0.0
8408c1bffffffff,2.0,0.0,0.0
8408c21ffffffff,2.0,0.0,0.0
8408c25ffffffff,2.0,0.0,0.0
8408c31ffffffff,2.0,0.0,0.0
8408c6bffffffff,1.0,0.0,0.0
8408c8bffffffff,1.0,0.0,0.0
8408c93ffffffff,7.0,0.0,0.0
8408c97ffffffff,4.0,0.0,0.0
8408cd3ffffffff,2.0,0.0,0.0
8408cd7ffffffff,1.0,0.0,0.0
8408d07ffffffff,2.0,0.0,0.0
8408d11ffffffff,11.0,0.0,0.0
8408d19ffffffff,51.0,2.0,0.0
8408d1dffffffff,2.0,0.0,0.0
8408d2dffffffff,3.0,0.0,0.0
8408d31ffffffff,5.0,0.0,0.0
8408d39ffffffff,3.0,0.0,0.0
8408d41ffffffff,2.0,0.0,0.0
8408d43ffffffff,1.0,1.0,0.0
8408d49ffffffff,6.0,0.0,0.0
8408d51ffffffff,4.0,0.0,0.0
8408d55ffffffff,6.0,0.0,0.0
8408d57ffffffff,15.0,0.0,0.0
8408d5dffffffff,7.0,0.0,0.0
8408d81ffffffff,6.0,0.0,0.0
8408d83ffffffff,3.0,0.0,0.0
8408d85ffffffff,10.0,0.0,0.0
8408d89ffffffff,2.0,0.0,0.0
8408d8bffffffff,34.0,2.0,0.0
8408da9ffffffff,2.0,0.0,0.0
8408dbdffffffff,2.0,0.0,0.0
8408de7ffffffff,2.0,0.0,0.0
8408e13ffffffff,4.0,0.0,0.0
8408e4bffffffff,2.0,0.0,0.0
8408e59ffffffff,2.0,0.0,0.0
8408e5bffffffff,2.0,0.0,0.0
8408e99ffffffff,2.0,0.0,0.0
8408e9bffffffff,1.0,0.0,0.0
8408ec9ffffffff,6.0,0.0,0.0
8408ed3ffffffff,24.0,0.0,0.0
8408ed7ffffffff,7.0,0.0,0.0
8408edbffffffff,4.0,0.0,0.0
8408eddffffffff,2.0,0.0,0.0
8408f05ffffffff,1.0,0.0,0.0
8408f0dffffffff,2.0,0.0,0.0
8408f47ffffffff,4.0,0.0,0.0
8408f63ffffffff,6.0,0.0,0.0
84094a7ffffffff,4.0,0.0,0.0
84094b7ffffffff,2.0,2.0,0.0
8409585ffffffff,11.0,0.0,0.0
8409587ffffffff,4.0,0.0,0.0
8409591ffffffff,1.0,0.0,0.0
840959bffffffff,2.0,0.0,0.0
840959dffffffff,3.0,0.0,0.0
84095a7ffffffff,2.0,0.0,0.0
84095a9ffffffff,11.0,0.0,0.0
84095abffffffff,2.0,0.0,0.0
84095adffffffff,5.0,0.0,0.0
8409805ffffffff,56.0,1.0,0.0
8409807ffffffff,2.0,0.0,0.0
8409811ffffffff,16.0,2.0,0.0
8409813ffffffff,2.0,0.0,0.0
8409815ffffffff,5.0,0.0,0.0
8409817ffffffff,1.0,0.0,0.0
8409819ffffffff,12.0,1.0,0.0
840981bffffffff,5.0,0.0,0.0
840981dffffffff,2.0,0.0,0.0
8409821ffffffff,38.0,0.0,0.0
8409823ffffffff,1.0,0.0,0.0
8409825ffffffff,9.0,0.0,0.0
8409829ffffffff,3.0,0.0,0.0
840982bffffffff,60.0,0.0,0.0
840982dffffffff,19.0,0.0,0.0
8409839ffffffff,2.0,0.0,0.0
840983bffffffff,1.0,0.0,0.0
8409889ffffffff,3.0,0.0,0.0
8409891ffffffff,2.0,0.0,0.0
8409893ffffffff,5.0,0.0,0.0
840989bffffffff,1.0,0.0,0.0
84098b1ffffffff,2.0,0.0,0.0
84098bbffffffff,8.0,1.0,0.0
84098c1ffffffff,2.0,2.0,0.0
84098c5ffffffff,3.0,0.0,0.0
84098c7ffffffff,7.0,0.0,0.0
84098cdffffffff,1.0,0.0,0.0
84098d1ffffffff,3.0,0.0,0.0
84098d5ffffffff,1.0,0.0,0.0
84098d9ffffffff,7.0,0.0,0.0
84098dbffffffff,4.0,0.0,0.0
84098ddffffffff,4.0,0.0,0.0
84098e3ffffffff,2.0,0.0,0.0
84098e9ffffffff,8.0,0.0,0.0
84098ebffffffff,1.0,0.0,0.0
8409911ffffffff,47.0,0.0,0.0
8409913ffffffff,6.0,2.0,0.0
