cell_id,Basileuterus rufifrons,Basileuterus rufifrons [rufifrons Group],Basileuterus rufifrons salvini
8445213ffffffff,32.0,0.0,11.0
8445217ffffffff,5.0,0.0,0.0
8445251ffffffff,2.0,2.0,0.0
8445253ffffffff,9.0,9.0,0.0
8445257ffffffff,3.0,0.0,0.0
844525bffffffff,16.0,15.0,0.0
84452e1ffffffff,8.0,2.0,0.0
84452e9ffffffff,2.0,0.0,0.0
844814bffffffff,2.0,0.0,0.0
8448337ffffffff,5.0,3.0,0.0
8448367ffffffff,2.0,0.0,0.0
8448833ffffffff,55.0,0.0,0.0
8448835ffffffff,18.0,11.0,0.0
8448839ffffffff,1.0,0.0,0.0
84488e1ffffffff,5.0,0.0,0.0
84488e9ffffffff,18.0,0.0,0.0
84488ebffffffff,2.0,0.0,0.0
84488edffffffff,9.0,1.0,0.0
844895bffffffff,4.0,0.0,0.0
84489d9ffffffff,23.0,0.0,0.0
8448a21ffffffff,5.0,2.0,0.0
8448a29ffffffff,2.0,0.0,0.0
8448a2dffffffff,1.0,1.0,0.0
8448a67ffffffff,1.0,0.0,0.0
8448ab3ffffffff,2.0,2.0,0.0
8448ab7ffffffff,3.0,0.0,0.0
8448c59ffffffff,4.0,0.0,0.0
8448e37ffffffff,1.0,0.0,0.0
8448e85ffffffff,5.0,0.0,0.0
8448e8dffffffff,890.0,41.0,0.0
8448ec7ffffffff,193.0,6.0,0.0
8448ee3ffffffff,48.0,0.0,0.0
8448ee9ffffffff,711.0,13.0,0.0
8448eebffffffff,147.0,2.0,0.0
844990dffffffff,2.0,0.0,0.0
8449917ffffffff,2.0,2.0,0.0
8449929ffffffff,1.0,0.0,0.0
844992bffffffff,3.0,0.0,0.0
844994bffffffff,12.0,0.0,0.0
8449961ffffffff,7.0,0.0,0.0
8449963ffffffff,10.0,3.0,0.0
8449969ffffffff,1.0,1.0,0.0
844996bffffffff,2.0,0.0,0.0
8449981ffffffff,2.0,2.0,0.0
84499b1ffffffff,1.0,0.0,0.0
84499cdffffffff,5.0,0.0,0.0
8449a91ffffffff,2.0,2.0,0.0
8449b57ffffffff,1.0,1.0,0.0
846d04dffffffff,95.0,5.0,0.0
846d231ffffffff,1.0,0.0,0.0
846d239ffffffff,8.0,1.0,7.0
846d23bffffffff,3.0,0.0,0.0
846d23dffffffff,4.0,0.0,0.0
846d281ffffffff,3.0,3.0,0.0
846d287ffffffff,3.0,3.0,0.0
846d28bffffffff,2.0,2.0,0.0
846d291ffffffff,2.0,2.0,0.0
846d2adffffffff,2.0,2.0,0.0
846d2b9ffffffff,3.0,3.0,0.0
846d2d7ffffffff,38.0,38.0,0.0
846d305ffffffff,28.0,28.0,0.0
846d30dffffffff,11.0,2.0,9.0
846d311ffffffff,10.0,0.0,2.0
846d313ffffffff,7.0,0.0,0.0
846d319ffffffff,100.0,9.0,17.0
846d31bffffffff,54.0,0.0,0.0
846d323ffffffff,2.0,2.0,0.0
846d32bffffffff,339.0,336.0,0.0
846d335ffffffff,3.0,3.0,0.0
846d337ffffffff,60.0,58.0,0.0
846d33dffffffff,11.0,11.0,0.0
846d35dffffffff,5.0,2.0,0.0
846d36dffffffff,15.0,7.0,0.0
