cell_id,Pycnonotus sinensis,Pycnonotus sinensis sinensis,Pycnonotus sinensis hainanus,Pycnonotus sinensis formosae/orii
84248b1ffffffff,2.0,0.0,0.0,0.0
8424d2bffffffff,2.0,0.0,0.0,0.0
84302b7ffffffff,13.0,0.0,0.0,0.0
8430305ffffffff,4.0,4.0,0.0,0.0
843030dffffffff,1.0,1.0,0.0,0.0
8430325ffffffff,1.0,1.0,0.0,0.0
8430833ffffffff,4.0,0.0,0.0,0.0
8430905ffffffff,1.0,0.0,0.0,0.0
8430929ffffffff,1.0,0.0,0.0,0.0
8430991ffffffff,9.0,0.0,0.0,0.0
8430995ffffffff,8.0,0.0,0.0,0.0
8430997ffffffff,5.0,0.0,0.0,0.0
84309a5ffffffff,2.0,0.0,0.0,0.0
84309b3ffffffff,16.0,0.0,0.0,0.0
84309b9ffffffff,2.0,0.0,0.0,0.0
84309d9ffffffff,9.0,0.0,0.0,0.0
8430a27ffffffff,4.0,0.0,0.0,0.0
8430e0bffffffff,2.0,0.0,0.0,0.0
8430e1dffffffff,2.0,0.0,0.0,0.0
8430ea7ffffffff,1.0,0.0,0.0,0.0
84318d1ffffffff,4.0,0.0,0.0,0.0
84318d7ffffffff,6.0,0.0,0.0,0.0
8440011ffffffff,4.0,4.0,0.0,0.0
8440899ffffffff,2.0,0.0,0.0,0.0
8440b53ffffffff,3.0,3.0,0.0,0.0
8440e39ffffffff,2.0,2.0,0.0,0.0
8440e3dffffffff,2.0,2.0,0.0,0.0
8441035ffffffff,2.0,2.0,0.0,0.0
8441855ffffffff,2.0,2.0,0.0,0.0
8441859ffffffff,2.0,2.0,0.0,0.0
8441921ffffffff,7.0,0.0,0.0,0.0
8441a0bffffffff,3.0,3.0,0.0,0.0
8441a37ffffffff,2.0,2.0,0.0,0.0
8441a43ffffffff,5.0,2.0,0.0,0.0
8441a55ffffffff,7.0,5.0,0.0,0.0
8441b0bffffffff,4.0,4.0,0.0,0.0
8441b43ffffffff,4.0,0.0,0.0,0.0
8441b51ffffffff,2.0,2.0,0.0,0.0
8441b55ffffffff,2.0,0.0,0.0,0.0
8441b5dffffffff,13.0,0.0,0.0,0.0
844a261ffffffff,4.0,0.0,0.0,0.0
844b265ffffffff,4.0,0.0,0.0,0.0
844b26dffffffff,70.0,0.0,0.0,0.0
844b913ffffffff,5.0,0.0,0.0,0.0
844b9cdffffffff,2.0,0.0,0.0,0.0
844ba01ffffffff,3.0,0.0,0.0,0.0
844ba03ffffffff,3.0,0.0,0.0,0.0
844ba05ffffffff,5.0,0.0,0.0,0.0
844ba07ffffffff,2.0,0.0,0.0,0.0
844ba0bffffffff,36.0,0.0,0.0,2.0
844ba11ffffffff,5.0,0.0,0.0,0.0
844ba15ffffffff,5.0,0.0,0.0,0.0
844ba1dffffffff,12.0,0.0,0.0,0.0
844ba21ffffffff,17.0,0.0,0.0,0.0
844ba25ffffffff,59.0,0.0,0.0,0.0
844ba27ffffffff,1.0,0.0,0.0,0.0
844ba29ffffffff,8.0,0.0,0.0,0.0
844ba2bffffffff,65.0,0.0,0.0,0.0
844ba2dffffffff,2.0,0.0,0.0,0.0
844ba39ffffffff,5.0,0.0,0.0,0.0
844ba57ffffffff,42.0,0.0,0.0,0.0
844ba67ffffffff,4.0,0.0,0.0,0.0
844ba85ffffffff,2.0,0.0,0.0,2.0
844bb11ffffffff,16.0,0.0,0.0,0.0
844bb13ffffffff,2.0,0.0,0.0,0.0
844bb17ffffffff,3.0,0.0,0.0,0.0
844bb19ffffffff,46.0,0.0,0.0,0.0
844bb51ffffffff,2.0,0.0,0.0,0.0
844bb53ffffffff,82.0,0.0,0.0,0.0
