cell_id,Columba vitiensis,Columba vitiensis [vitiensis Group],Columba vitiensis castaneiceps
836802fffffffff,29.0,2.0,0.0
83681bfffffffff,1.0,0.0,0.0
836841fffffffff,2.0,0.0,0.0
836843fffffffff,14.0,0.0,0.0
836855fffffffff,8.0,0.0,0.0
836858fffffffff,2.0,0.0,0.0
83685cfffffffff,1.0,0.0,0.0
83685dfffffffff,10.0,0.0,0.0
83685efffffffff,6.0,0.0,0.0
836862fffffffff,4.0,0.0,0.0
836871fffffffff,1.0,0.0,0.0
836875fffffffff,11.0,0.0,0.0
83694efffffffff,2.0,0.0,0.0
836958fffffffff,2.0,0.0,0.0
83695dfffffffff,1.0,0.0,0.0
8372dafffffffff,1.0,0.0,0.0
83769dfffffffff,4.0,0.0,0.0
837798fffffffff,1.0,0.0,0.0
839a02fffffffff,7.0,0.0,1.0
839a15fffffffff,2.0,0.0,0.0
839c8afffffffff,1.0,0.0,0.0
839c90fffffffff,1.0,0.0,0.0
839e22fffffffff,2.0,0.0,0.0
839edafffffffff,18.0,0.0,0.0
