cell_id,Eudyptes chrysocome,Eudyptes chrysocome chrysocome,Eudyptes chrysocome filholi
82c21ffffffffff,2.0,0.0,0.0
82c317fffffffff,1.0,0.0,0.0
82cf37fffffffff,19.0,0.0,0.0
82cf97fffffffff,27.0,2.0,0.0
82cfa7fffffffff,3.0,0.0,0.0
82d18ffffffffff,1.0,0.0,0.0
82d6affffffffff,12.0,1.0,3.0
82da07fffffffff,30.0,0.0,25.0
82da1ffffffffff,15.0,0.0,15.0
82da87fffffffff,7.0,0.0,7.0
82db87fffffffff,11.0,0.0,11.0
82de67fffffffff,7.0,1.0,0.0
82de77fffffffff,5.0,0.0,0.0
82df07fffffffff,3.0,0.0,2.0
82df0ffffffffff,3.0,0.0,0.0
82df2ffffffffff,1.0,0.0,0.0
82df37fffffffff,1.0,0.0,0.0
82df47fffffffff,22.0,1.0,0.0
82df5ffffffffff,2.0,0.0,0.0
82df67fffffffff,3.0,1.0,0.0
82df6ffffffffff,7.0,0.0,0.0
82df77fffffffff,5.0,0.0,0.0
82e097fffffffff,2.0,0.0,2.0
