cell_id,Thalasseus sandvicensis,Thalasseus sandvicensis sandvicensis,Thalasseus sandvicensis acuflavidus,Thalasseus sandvicensis eurygnathus,Thalasseus sandvicensis acuflavidus x eurygnathus
840886bffffffff,1.0,0.0,0.0,0.0,0.0
8408901ffffffff,16.0,0.0,0.0,0.0,0.0
8408937ffffffff,57.0,0.0,0.0,0.0,0.0
8408959ffffffff,2.0,2.0,0.0,0.0,0.0
8408965ffffffff,23.0,14.0,0.0,0.0,0.0
8408967ffffffff,2.0,2.0,0.0,0.0,0.0
8408985ffffffff,20.0,0.0,0.0,0.0,0.0
8408987ffffffff,2.0,0.0,0.0,0.0,0.0
84089a5ffffffff,3.0,0.0,0.0,0.0,0.0
84089a9ffffffff,72.0,0.0,0.0,0.0,0.0
84089adffffffff,15.0,0.0,0.0,0.0,0.0
84089b1ffffffff,5.0,0.0,0.0,0.0,0.0
84089b7ffffffff,1.0,0.0,0.0,0.0,0.0
84089e3ffffffff,2.0,2.0,0.0,0.0,0.0
8408b35ffffffff,1.0,0.0,0.0,0.0,0.0
8409821ffffffff,2.0,1.0,0.0,0.0,0.0
8409911ffffffff,2.0,0.0,0.0,0.0,0.0
840991bffffffff,7.0,0.0,0.0,0.0,0.0
8409937ffffffff,1.0,0.0,0.0,0.0,0.0
84099a7ffffffff,1.0,0.0,0.0,0.0,0.0
84099e9ffffffff,1.0,0.0,0.0,0.0,0.0
8409a45ffffffff,3.0,0.0,0.0,0.0,0.0
8409a47ffffffff,2.0,0.0,0.0,0.0,0.0
8409a69ffffffff,2.0,0.0,0.0,0.0,0.0
8409a6bffffffff,1.0,0.0,0.0,0.0,0.0
8411359ffffffff,2.0,0.0,0.0,0.0,0.0
8418011ffffffff,2.0,0.0,0.0,0.0,0.0
8418019ffffffff,29.0,2.0,0.0,0.0,0.0
841801bffffffff,4.0,1.0,0.0,0.0,0.0
841801dffffffff,6.0,2.0,0.0,0.0,0.0
8418051ffffffff,3.0,0.0,0.0,0.0,0.0
8418053ffffffff,219.0,188.0,0.0,0.0,0.0
8418057ffffffff,16.0,16.0,0.0,0.0,0.0
